species,Real_PR_Multi,Real_PR_Layer,StrengthIn,StrengthOut,DegreeIn,DegreeOut,Delta,Ratio,Plot
A2 CETE,0.01333333333333334,0.16666666666666666,1,1,1,1,-0.15333333333333332,0.08000000000000004,1
Bombilus_major CETE,0.01333333333333334,0.16666666666666666,1,1,1,1,-0.15333333333333332,0.08000000000000004,1
A3 CETE,0.013852977948673106,0.21637426900584794,1.5,1,2,2,-0.20252129105717484,0.06402322241143517,1
Small.bee.1_8_6 CETE,0.01747939020394519,0.11695906432748536,1.9375,2.7142857142857144,3,3,-0.09947967412354017,0.14944878624373142,1
Tabanidae CETE,0.015009809202639647,0.21637426900584794,1.5,1,2,2,-0.2013644598032083,0.06936965874733458,1
F4 CETE,0.008379168911121851,0.11695906432748536,0.5,1,1,1,-0.10857989541636351,0.07164189419009184,1
B1 CHFU,0.008337550867022541,0.059471674249067366,0.15384615384615385,1,1,1,-0.05113412338204482,0.14019364634170006,1
Ulidiidae CHFU,0.048463624277231186,0.35050531645008737,6.666666666666666,1,7,7,-0.3020416921728562,0.13826787213406647,1
B4 CHFU,0.005168775433511272,0.03655401894271551,0.07692307692307693,1,1,1,-0.03138524350920424,0.14140101644121147,1
C1 CHFU,0.011709836424530835,0.09360603733037513,1.1538461538461537,1,2,2,-0.08189620090584429,0.12509702107356485,1
Other_Black_small_fly_jarE CHFU,0.006852772790658562,0.04015807421330325,0.8333333333333333,1.7272727272727273,2,2,-0.03330530142264469,0.17064495558874257,1
D1 CHFU,0.008337550867022541,0.05947167424906738,0.15384615384615385,1,1,1,-0.05113412338204484,0.14019364634170003,1
E3 CHFU,0.01150632630053381,0.08238932955541925,0.23076923076923078,1,1,1,-0.07088300325488545,0.13965796739241665,1
F2 CHFU,0.01333333333333334,0.09090909090909086,1,1,1,1,-0.07757575757575752,0.1466666666666668,1
Eucera_sp. CHFU,0.01333333333333334,0.09090909090909086,1,1,1,1,-0.07757575757575752,0.1466666666666668,1
F3 CHFU,0.0051687754335112725,0.036554018942715504,0.07692307692307693,1,1,1,-0.03138524350920423,0.14140101644121153,1
F5 CHFU,0.008337550867022543,0.059471674249067394,0.15384615384615385,1,1,1,-0.05113412338204485,0.14019364634170003,1
A1 LEMA,0.005186394235265005,0.007129038156608646,0.017094017094017096,1,1,1,-0.0019426439213436411,0.7275026618362531,1
Brassicogethes_sp. LEMA,0.21929889736823854,0.2994690966607126,24.951944838786947,1.0000000000000002,36,36,-0.08017019929247404,0.7322922458897189,1
A2 LEMA,0.010009339372489644,0.013707165121750894,0.056643356643356645,1,2,2,-0.0036978257492612503,0.7302268035428098,1
Psilothrix_viridicoerulea LEMA,0.05434985749751303,0.07370333180964907,6.116771094402673,1.0000000000000002,29,29,-0.019353474312136035,0.7374138476925364,1
A3 LEMA,0.011679140616131387,0.016022562947984098,0.5427350427350427,1,2,2,-0.0043434223318527115,0.7289183792909245,1
Malachius_bipustulatus LEMA,0.004030953006985597,0.0055685511132450806,0.20202020202020202,1,2,2,-0.0015375981062594832,0.7238782449886779,1
A4 LEMA,0.012572550186246928,0.017175555993457846,0.12509712509712512,1,2,2,-0.004603005807210918,0.7320025151462812,1
A5 LEMA,0.017081137686892057,0.02328296621454199,0.4822843822843823,1,3,3,-0.006201828527649934,0.7336323700982559,1
Elateridae LEMA,0.006741785180896803,0.008967383895719985,0.44722222222222224,1,4,4,-0.002225598714823182,0.7518118170578789,1
A6 LEMA,0.015245103976302765,0.020952406265057073,2.056643356643357,1,4,4,-0.005707302288754308,0.7276063562077575,1
Black_small_fly_LEMA LEMA,0.0030798615316547794,0.004261906554885988,0.08333333333333333,1,1,1,-0.0011820450232312087,0.7226487704485041,1
Oedemeridae LEMA,0.00307986153165478,0.00426190655488599,0.08333333333333333,1,1,1,-0.00118204502323121,0.722648770448504,1
B1 LEMA,0.011762587780839016,0.016147088265323944,1.0523698523698524,1,3,3,-0.004384500484484927,0.7284649459741487,1
Mordellidae LEMA,0.0029998199613713175,0.004150280280330315,0.1,1,1,1,-0.001150460318958997,0.7227993674520137,1
B2 LEMA,0.009965985588162508,0.013655928724854946,0.042735042735042736,1,1,1,-0.003689943136692438,0.7297918573654805,1
B3 LEMA,0.010052693156816771,0.013758401518646844,0.07055167055167055,1,2,2,-0.003705708361830073,0.7306585102340774,1
B4 LEMA,0.014759215666192722,0.019426017496143463,1.093006993006993,1,3,3,-0.004666801829950742,0.7597653852171596,1
Other_Black_small_fly_jarE LEMA,0.005417596954264088,0.0040479404602179305,0.8041958041958042,1.5,2,2,0.0013696564940461576,1.3383588537200024,1
B5 LEMA,0.009212740813673391,0.012619350027043178,0.05236985236985237,1,2,2,-0.003406609213369787,0.730048757973315,1
B6 LEMA,0.010271666133375395,0.014078142224398514,0.2523698523698524,1,3,3,-0.003806476091023119,0.7296180113576207,1
Andrena_sp. LEMA,0.006228972468835323,0.008581130572678428,0.29047619047619044,1,2,2,-0.002352158103843105,0.7258918176432169,1
C1 LEMA,0.008765647176793347,0.011968175099900138,0.24382284382284383,1,3,3,-0.003202527923106791,0.7324130123118342,1
C2 LEMA,0.01194854780515176,0.016439995043763044,1.5299145299145298,1,3,3,-0.004491447238611284,0.7267975308596436,1
Beetle.black.with.red.end LEMA,0.0031284739593754455,0.004330443976355401,0.1111111111111111,1,1,1,-0.0012019700169799553,0.7224372319460047,1
C3 LEMA,0.006779591352897504,0.009304668346024076,0.02564102564102564,1,1,1,-0.0025250769931265717,0.7286225688844087,1
C4 LEMA,0.00602634657840839,0.008268089648212315,0.03527583527583528,1,2,2,-0.002241743069803925,0.7288680741035962,1
C5 LEMA,0.003923035353901717,0.005418145785109181,0.14713064713064714,1,2,2,-0.0014951104312074638,0.7240549644646862,1
Musca_sp. LEMA,0.009276538312468535,0.012785729868665618,0.8157894736842105,1,2,2,-0.0035091915561970832,0.7255384250845807,1
C6 LEMA,0.007485155711091849,0.010317096042603193,1.0267288267288268,1,3,3,-0.0028319403315113442,0.725509938085563,1
