Year,Plot,Subplot,Plant,Seeds_GF,Fruit_GF,visits_GF,ID,homo_motif,hete_motif,Strength,StrengthIn,StrengthOut,Degree,DegreeIn,DegreeOut,PageRank,Hub,Authority,Katz,Multiplexity,Kcore
2020,1,A1,CETE,3108,28,0,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,1,A1,LEMA,612,12,4,Brassicogethes_sp.,30,0,1.01709401709402,0.0170940170940171,1,2,1,1,0.0484057935276251,1,3.55740557244569e-11,1.23553594621529e-4,0.25,2
2020,1,A1,PUPA,276,12,0,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,1,A2,CETE,1443,13,0,None,0,0,2,1,1,2,1,1,0.0827686738958914,0,0,1.04606028509917e-5,0.25,2
2020,1,A2,LEMA,810,15,9,Brassicogethes_sp.,30,0,1.05664335664336,0.0566433566433566,1,4,2,2,0.0698456870503654,0.919611522444935,1.61199800323591e-10,1.35681198721382e-4,0.25,4
2020,1,A2,LEMA,810,15,1,Psilothrix_viridicoerulea,26,0,1.05664335664336,0.0566433566433566,1,4,2,2,0.0698456870503654,0.919611522444935,1.61199800323591e-10,1.35681198721382e-4,0.25,4
2020,1,A3,CETE,1665,15,0,None,0,0,2.5,1.5,1,4,2,2,0.0731866516035665,9.23100095367609e-5,1.79509008573872e-4,0.138873717546539,0.25,2
2020,1,A3,CHFU,1216,38,0,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,1,A3,LEMA,511,7,10,Brassicogethes_sp.,58,0,1.54273504273504,0.542735042735043,1,4,2,2,0.077063502561901,0.909867067804491,9.09347569954449e-11,1.16449335322545e-4,0.25,4
2020,1,A3,LEMA,511,7,1,Malachius_bipustulatus,1,0,1.54273504273504,0.542735042735043,1,4,2,2,0.077063502561901,0.909867067804491,9.09347569954449e-11,1.16449335322545e-4,0.25,4
2020,1,A4,CETE,2775,25,0,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,1,A4,LEMA,923,13,8,Brassicogethes_sp.,58,0,1.12509712509713,0.125097125097125,1,4,2,2,0.0812826539296324,0.690813547865135,4.76939027334538e-10,1.70198225774809e-4,0.25,4
2020,1,A4,LEMA,923,13,5,Psilothrix_viridicoerulea,26,0,1.12509712509713,0.125097125097125,1,4,2,2,0.0812826539296324,0.690813547865135,4.76939027334538e-10,1.70198225774809e-4,0.25,4
2020,1,A4,PUPA,345,15,0,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,1,A5,CETE,3774,34,0,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,1,A5,CHFU,224,7,0,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0
