Plot,G_F,Subplot_Plant_Label,Visits_tot,homo_motif,hete_motif
1,Flower_beetles,A1 LEMA,3,44,20
1,Small_flies,A1 CHFU,1,8,28
1,Flower_beetles,A2 LEMA,3,44,20
1,Small_flies,A2 LEMA,2,26,10
1,Flower_beetles,A3 CHFU,1,18,46
1,Flower_beetles,A3 LEMA,1,44,20
1,Small_flies,A3 LEMA,1,26,10
1,Bees,A4 LEMA,1,2,0
1,Flower_beetles,A4 LEMA,2,44,20
1,Small_flies,A5 LEMA,1,26,10
1,Flower_beetles,A6 LEMA,2,44,20
1,Small_flies,A6 LEMA,1,26,10
1,Flower_beetles,B1 LEMA,1,44,20
1,Hoverflies,B1 LEMA,2,12,12
1,Flower_beetles,B2 CHFU,1,18,46
1,Flower_beetles,B2 LEMA,1,44,20
1,Hoverflies,B2 LEMA,2,12,12
1,Small_flies,B2 CHFU,1,8,28
1,Small_flies,B2 LEMA,3,26,10
1,Flower_beetles,B5 LEMA,1,44,20
1,Flower_beetles,C1 LEMA,1,44,20
1,House_flies,C1 LEMA,1,2,0
1,Small_flies,C2 LEMA,1,26,10
1,Flower_beetles,C3 LEMA,1,44,20
1,Small_flies,C3 CHFU,1,8,28
1,Bees,C4 LEMA,2,2,0
1,Flower_beetles,C4 LEMA,2,44,20
1,Small_flies,C4 LEMA,1,26,10
1,Hoverflies,C5 CHFU,1,10,14
1,Small_flies,C5 CHFU,1,8,28
1,Small_flies,C5 LEMA,2,26,10
1,Flower_beetles,D1 LEMA,2,44,20
1,Flower_beetles,D2 CHFU,1,18,46
1,House_flies,D2 LEMA,1,2,0
1,Flower_beetles,D3 CHFU,1,18,46
1,Flower_beetles,D3 LEMA,4,44,20
1,Small_flies,D3 LEMA,2,26,10
1,Flower_beetles,D4 LEMA,1,44,20
1,Flower_beetles,D5 CHFU,1,18,46
1,Flower_beetles,D5 LEMA,2,44,20
1,Hoverflies,D5 LEMA,1,12,12
1,Small_flies,D5 LEMA,1,26,10
1,Flower_beetles,E1 CHFU,2,18,46
1,Flower_beetles,E1 LEMA,2,44,20
1,Flower_beetles,E2 LEMA,2,44,20
1,Hoverflies,E2 CHFU,1,10,14
1,Hoverflies,E2 LEMA,1,12,12
1,Small_flies,E2 LEMA,1,26,10
1,Flower_beetles,E3 CHFU,1,18,46
1,Flower_beetles,E3 LEMA,2,44,20
1,Hoverflies,E3 CHFU,1,10,14
1,Hoverflies,E3 LEMA,2,12,12
1,Flower_beetles,E4 CHFU,1,18,46
1,Flower_beetles,E4 LEMA,3,44,20
1,Flower_beetles,E5 LEMA,2,44,20
1,Small_flies,E5 CHFU,1,8,28
1,Flower_beetles,E6 LEMA,3,44,20
1,Hoverflies,F1 CHFU,2,10,14
1,Hoverflies,F1 LEMA,1,12,12
1,Small_flies,F1 LEMA,1,26,10
1,Small_flies,F2 LEMA,1,26,10
1,Flower_beetles,F3 CHFU,1,18,46
1,Flower_beetles,F3 LEMA,2,44,20
1,Hoverflies,F3 CHFU,1,10,14
1,Small_flies,F3 LEMA,1,26,10
1,Flower_beetles,F4 CHFU,1,18,46
1,Flower_beetles,F5 LEMA,2,44,20
1,Hoverflies,F6 CHFU,1,10,14
1,Hoverflies,F6 LEMA,1,12,12
2,Flower_beetles,A1 LEMA,1,28,24
2,Hoverflies,A1 LEMA,1,14,2
2,Small_flies,A1 LEMA,1,16,26
2,Flower_beetles,A3 CHFU,1,6,46
2,Flower_beetles,A3 LEMA,1,28,24
2,Small_flies,A3 CHFU,1,8,34
2,Small_flies,A4 LEMA,4,16,26
2,Hoverflies,A5 LEMA,2,14,2
2,Flower_beetles,B1 LEMA,1,28,24
2,Flower_beetles,B1 ME,2,14,38
2,Small_flies,B1 ME,1,14,28
2,Small_beetles,B2 LEMA,1,10,6
2,Flower_beetles,B3 CHFU,1,6,46
2,Flower_beetles,B4 LEMA,2,28,24
2,Flower_beetles,B5 LEMA,1,28,24
2,House_flies,B5 LEMA,2,2,4
2,Flower_beetles,B6 LEMA,1,28,24
2,Flower_beetles,C1 LEMA,2,28,24
2,Hoverflies,C1 LEMA,1,14,2
2,Small_flies,C1 CHFU,1,8,34
2,Small_flies,C1 ME,1,14,28
2,Flower_beetles,C3 LEMA,2,28,24
2,Small_flies,C3 LEMA,1,16,26
2,Flower_beetles,C5 LEMA,1,28,24
2,Hoverflies,C5 LEMA,1,14,2
2,Flower_beetles,C6 LEMA,1,28,24
2,Small_beetles,C6 LEMA,1,10,6
2,Flower_beetles,D1 LEMA,2,28,24
2,House_flies,D1 CHFU,1,0,6
2,Hoverflies,D1 LEMA,1,14,2
2,Small_beetles,D1 LEMA,1,10,6
2,Small_flies,D1 LEMA,2,16,26
2,Small_flies,D1 ME,1,14,28
2,Bees,D2 ME,1,4,2
2,House_flies,D3 LEMA,1,2,4
2,House_flies,D3 ME,1,0,6
2,Flower_beetles,D4 ME,1,14,38
2,Small_flies,D4 CHFU,1,8,34
2,Small_flies,D4 ME,1,14,28
2,Hoverflies,D5 ME,1,0,16
2,Hoverflies,D6 LEMA,1,14,2
2,Small_flies,D6 LEMA,1,16,26
2,Flower_beetles,E1 CHFU,1,6,46
2,Flower_beetles,E1 ME,2,14,38
2,Small_flies,E1 CHFU,3,8,34
2,Small_flies,E1 LEMA,2,16,26
2,Small_flies,E1 ME,1,14,28
2,Hoverflies,E2 LEMA,1,14,2
2,Small_flies,E2 LEMA,2,16,26
2,Small_beetles,E3 ME,1,4,12
2,Bees,E4 ME,1,4,2
2,Flower_beetles,E4 ME,4,14,38
2,Flower_beetles,E5 ME,1,14,38
2,Small_flies,E5 ME,1,14,28
2,Bees,E6 ME,1,4,2
2,Flower_beetles,E6 LEMA,5,28,24
2,Hoverflies,E6 LEMA,1,14,2
2,Small_beetles,E6 LEMA,1,10,6
2,Flower_beetles,F1 ME,2,14,38
2,Small_flies,F1 ME,2,14,28
2,Flower_beetles,F2 CHFU,1,6,46
2,Flower_beetles,F2 ME,1,14,38
2,Small_flies,F2 ME,1,14,28
2,Bees,F3 LEMA,1,0,6
2,Flower_beetles,F3 LEMA,3,28,24
2,Flower_beetles,F3 ME,1,14,38
2,Small_beetles,F3 LEMA,1,10,6
2,Small_beetles,F3 ME,2,4,12
2,Small_flies,F3 CHFU,1,8,34
2,Small_flies,F3 LEMA,2,16,26
2,Flower_beetles,F4 LEMA,1,28,24
2,Flower_beetles,F6 LEMA,1,28,24
2,Small_beetles,F6 LEMA,2,10,6
2,Small_beetles,F6 ME,1,4,12
2,Small_flies,F6 LEMA,1,16,26
3,Small_flies,A1 LEMA,1,10,4
3,Flower_beetles,A5 LEMA,1,42,16
3,Hoverflies,A6 LEMA,3,14,8
3,Flower_beetles,B1 CHFU,2,12,46
3,Hoverflies,B1 LEMA,2,14,8
3,Flower_beetles,B2 LEMA,2,42,16
3,Flower_beetles,B3 LEMA,2,42,16
3,Hoverflies,B3 CHFU,1,2,20
3,Flower_beetles,B5 CHFU,1,12,46
3,Flower_beetles,B5 LEMA,1,42,16
3,Flower_beetles,B6 LEMA,2,42,16
3,Flower_beetles,C1 LEMA,2,42,16
3,Bees,C3 ME,1,0,8
3,Flower_beetles,C3 LEMA,1,42,16
3,Hoverflies,C3 ME,1,2,20
3,Small_flies,C3 ME,1,0,14
3,Hoverflies,C4 LEMA,1,14,8
3,Flower_beetles,C5 CHFU,1,12,46
3,Flower_beetles,C6 CHFU,1,12,46
3,Flower_beetles,C6 LEMA,2,42,16
3,Flower_beetles,C6 ME,1,0,58
3,Small_beetles,C6 LEMA,1,12,0
3,Flower_beetles,D1 LEMA,3,42,16
3,Bees,D2 CHFU,4,2,6
3,Bees,D2 LEMA,1,2,6
3,Flower_beetles,D2 LEMA,3,42,16
3,Hoverflies,D2 CHFU,1,2,20
3,Small_beetles,D2 LEMA,1,12,0
3,Small_flies,D2 CHFU,2,0,14
3,Flower_beetles,D3 LEMA,4,42,16
3,Hoverflies,D3 LEMA,2,14,8
3,Hoverflies,D3 ME,1,2,20
3,Small_flies,D3 LEMA,1,10,4
3,Flower_beetles,D4 CHFU,1,12,46
3,Flower_beetles,D5 LEMA,2,42,16
3,Small_flies,D5 LEMA,1,10,4
3,Flower_beetles,D6 LEMA,5,42,16
3,Hoverflies,D6 LEMA,3,14,8
3,Flower_beetles,E1 CHFU,1,12,46
3,Flower_beetles,E1 LEMA,5,42,16
3,Small_beetles,E1 LEMA,1,12,0
3,Flower_beetles,E2 CHFU,1,12,46
3,Flower_beetles,E2 LEMA,4,42,16
3,Small_flies,E2 LEMA,1,10,4
3,Hoverflies,E3 LEMA,1,14,8
3,Small_beetles,E3 LEMA,1,12,0
3,Small_flies,E4 LEMA,1,10,4
3,Flower_beetles,E5 LEMA,2,42,16
3,Flower_beetles,F1 LEMA,4,42,16
3,Hoverflies,F1 LEMA,1,14,8
3,Small_beetles,F1 LEMA,1,12,0
3,Bees,F2 CHFU,1,2,6
3,Flower_beetles,F2 LEMA,4,42,16
3,Hoverflies,F2 LEMA,1,14,8
3,Flower_beetles,F3 LEMA,1,42,16
3,Small_beetles,F3 LEMA,1,12,0
3,Flower_beetles,F4 LEMA,3,42,16
3,Small_beetles,F4 LEMA,1,12,0
3,Bees,F5 LEMA,1,2,6
3,Flower_beetles,F5 LEMA,2,42,16
3,Small_flies,F5 LEMA,1,10,4
3,Flower_beetles,F6 LEMA,2,42,16
4,Flower_beetles,A1 LEMA,1,24,16
4,Small_flies,A1 CHFU,1,14,18
4,Bees,A2 LEMA,1,10,0
4,Flower_beetles,A2 LEMA,3,24,16
4,Hoverflies,A2 LEMA,1,14,4
4,Small_beetles,A2 CHFU,2,2,6
4,Small_beetles,A2 LEMA,2,4,4
4,Small_flies,A2 CHFU,2,14,18
4,Small_flies,A2 LEMA,1,16,16
4,Hoverflies,A5 CHFU,1,2,16
4,Hoverflies,A6 LEMA,1,14,4
4,Flower_beetles,B1 LEMA,2,24,16
4,Small_flies,B1 LEMA,1,16,16
4,Bees,B2 LEMA,1,10,0
4,Flower_beetles,B2 CHFU,1,14,26
4,Flower_beetles,B2 LEMA,1,24,16
4,Small_flies,B2 CHFU,1,14,18
4,Small_flies,B2 LEMA,1,16,16
4,Bees,B4 LEMA,3,10,0
4,Flower_beetles,B5 CHFU,1,14,26
4,Flower_beetles,B5 LEMA,1,24,16
4,Small_flies,B5 CHFU,1,14,18
4,Flower_beetles,B6 CHFU,2,14,26
4,Small_flies,B6 CHFU,2,14,18
4,Small_flies,C1 CHFU,1,14,18
4,Bees,C2 LEMA,1,10,0
4,Flower_beetles,C2 LEMA,2,24,16
4,Hoverflies,C2 LEMA,1,14,4
4,Small_flies,C2 LEMA,2,16,16
4,Flower_beetles,C3 LEMA,1,24,16
4,Bees,C4 LEMA,1,10,0
4,Flower_beetles,C4 LEMA,1,24,16
4,Hoverflies,C4 LEMA,2,14,4
4,Small_beetles,C4 LEMA,1,4,4
4,Hoverflies,C5 LEMA,1,14,4
4,Small_flies,C6 LEMA,1,16,16
4,Flower_beetles,D2 CHFU,1,14,26
4,Hoverflies,D5 CHFU,1,2,16
4,Small_flies,D5 LEMA,1,16,16
4,Small_flies,D6 CHFU,1,14,18
4,Flower_beetles,E1 CHFU,1,14,26
4,Flower_beetles,E1 LEMA,2,24,16
4,Small_beetles,E1 CHFU,1,2,6
4,Small_flies,E1 CHFU,1,14,18
4,Small_flies,E1 LEMA,2,16,16
4,Flower_beetles,E2 CHFU,1,14,26
4,Hoverflies,E2 LEMA,1,14,4
4,Flower_beetles,E4 LEMA,1,24,16
4,Hoverflies,E4 LEMA,2,14,4
4,Small_beetles,E4 LEMA,1,4,4
4,Small_flies,E5 LEMA,2,16,16
4,Bees,F1 LEMA,1,10,0
4,Flower_beetles,F1 LEMA,1,24,16
4,Hoverflies,F1 LEMA,1,14,4
4,Flower_beetles,F3 LEMA,1,24,16
4,Flower_beetles,F4 CHFU,1,14,26
4,Flower_beetles,F4 LEMA,2,24,16
4,Small_flies,F5 LEMA,3,16,16
4,Flower_beetles,F6 CHFU,3,14,26
5,Hoverflies,A1 CHFU,1,14,12
5,Small_beetles,A1 CHFU,1,0,10
5,Small_flies,A1 CHFU,2,22,14
5,Hoverflies,A2 CHFU,4,14,12
5,Hoverflies,A3 CHFU,2,14,12
5,Small_flies,A3 CHFU,2,22,14
5,Small_beetles,A4 LEMA,1,8,2
5,Small_flies,A4 CHFU,1,22,14
5,Small_flies,A4 LEMA,1,12,24
5,Small_flies,A5 CHFU,1,22,14
5,Small_flies,A5 LEMA,1,12,24
5,Flower_beetles,A6 CHFU,1,12,16
5,Small_flies,B1 CHFU,1,22,14
5,Flower_beetles,B2 CHFU,1,12,16
5,Flower_beetles,B2 LEMA,1,14,14
5,Hoverflies,B2 CHFU,1,14,12
5,Hoverflies,B2 LEMA,1,10,16
5,Small_flies,B2 LEMA,1,12,24
5,Hoverflies,B3 CHFU,1,14,12
5,Flower_beetles,B4 CHFU,1,12,16
5,Flower_beetles,B4 LEMA,1,14,14
5,Flower_beetles,B5 LEMA,1,14,14
5,Flower_beetles,C1 CHFU,1,12,16
5,Hoverflies,C1 CHFU,1,14,12
5,Small_flies,C1 CHFU,1,22,14
5,Flower_beetles,C3 LEMA,1,14,14
5,Hoverflies,C3 CHFU,1,14,12
5,Hoverflies,C3 LEMA,1,10,16
5,Flower_beetles,C4 CHFU,1,12,16
5,Small_flies,C4 CHFU,1,22,14
5,Small_flies,C4 LEMA,1,12,24
5,Small_flies,C5 CHFU,3,22,14
5,Flower_beetles,D1 CHFU,2,12,16
5,Flower_beetles,D1 LEMA,1,14,14
5,Small_beetles,D1 LEMA,1,8,2
5,Small_flies,D1 CHFU,5,22,14
5,Small_flies,D1 LEMA,3,12,24
5,Hoverflies,D2 CHFU,1,14,12
5,Hoverflies,D2 LEMA,1,10,16
5,Small_flies,D2 CHFU,1,22,14
5,Small_flies,D2 LEMA,2,12,24
5,Flower_beetles,D4 LEMA,1,14,14
5,Hoverflies,D5 LEMA,1,10,16
5,Small_flies,D5 LEMA,1,12,24
5,Flower_beetles,E1 CHFU,2,12,16
5,Flower_beetles,E1 LEMA,2,14,14
5,Hoverflies,E1 LEMA,2,10,16
5,Small_beetles,E1 LEMA,1,8,2
5,Small_flies,E1 CHFU,2,22,14
5,Small_beetles,E5 LEMA,1,8,2
5,Flower_beetles,F1 LEMA,1,14,14
5,Small_beetles,F4 LEMA,2,8,2
5,Small_flies,F5 CHFU,1,22,14
5,Hoverflies,F6 LEMA,4,10,16
6,Flower_beetles,A1 CHFU,3,12,12
6,Small_flies,A1 CHFU,2,24,10
6,Small_beetles,A2 LEMA,1,6,14
6,Small_flies,A2 CHFU,1,24,10
6,Small_beetles,A3 CHFU,2,12,8
6,Small_flies,A3 CHFU,1,24,10
6,Small_flies,A3 LEMA,1,8,26
6,Hoverflies,A4 CHFU,1,12,8
6,Small_flies,A4 CHFU,1,24,10
6,Flower_beetles,A5 LEMA,1,10,14
6,Small_flies,A6 CHFU,2,24,10
6,Small_beetles,B1 CHFU,1,12,8
6,Small_flies,B1 CHFU,1,24,10
6,Small_beetles,B2 CHFU,1,12,8
6,Flower_beetles,B3 CHFU,1,12,12
6,Hoverflies,B3 CHFU,5,12,8
6,Hoverflies,B3 LEMA,1,6,14
