"","Bees","Flower_beetles","House_flies","Hoverflies","Small_beetles","Small_flies"
"A1 CHFU 1",0,0,0,0,0,1.08333333333333
"A1 CHFU 10",0,0,0,0,0,0.0833333333333333
"A1 CHFU 11",0,0,0,0,0,0.0833333333333333
"A1 CHFU 12",0,0,0,0,0,0.0833333333333333
"A1 CHFU 2",0,0,0,0,0,0.0833333333333333
"A1 CHFU 3",0,0,0,0,0,0.0833333333333333
"A1 CHFU 4",0,0,0,0,0,0.0833333333333333
"A1 CHFU 5",0,0,0,0,0,0.0833333333333333
"A1 CHFU 6",0,0,0,0,0,0.0833333333333333
"A1 CHFU 7",0,0,0,0,0,0.0833333333333333
"A1 CHFU 8",0,0,0,0,0,0.0833333333333333
"A1 CHFU 9",0,0,0,0,0,0.0833333333333333
"A2 CHFU 1",0.05,0,0,0.05,0.0714285714285714,1.32142857142857
"A2 CHFU 10",0.05,0,0,0.05,0.0714285714285714,0.321428571428571
"A2 CHFU 11",0.05,0,0,0.05,0.0714285714285714,0.321428571428571
"A2 CHFU 12",0.05,0,0,0.05,0.0714285714285714,0.321428571428571
"A2 CHFU 13",0.05,0,0,0.05,0.0714285714285714,0.321428571428571
"A2 CHFU 14",0.05,0,0,0.05,0.0714285714285714,0.321428571428571
"A2 CHFU 15",0.05,0,0,0.05,0,0.25
"A2 CHFU 16",0.05,0,0,0.05,0,0.25
"A2 CHFU 17",0.05,0,0,0.05,0,0.25
"A2 CHFU 18",0.05,0,0,0.05,0,0.25
"A2 CHFU 19",0.05,0,0,0.05,0,0.25
"A2 CHFU 2",0.05,0,0,0.05,0.0714285714285714,0.321428571428571
"A2 CHFU 20",0.05,0,0,0.05,0,0.25
"A2 CHFU 3",0.05,0,0,0.05,0.0714285714285714,0.321428571428571
"A2 CHFU 4",0.05,0,0,0.05,0.0714285714285714,0.321428571428571
"A2 CHFU 5",0.05,0,0,0.05,0.0714285714285714,0.321428571428571
"A2 CHFU 6",0.05,0,0,0.05,0.0714285714285714,0.321428571428571
"A2 CHFU 7",0.05,0,0,0.05,0.0714285714285714,0.321428571428571
"A2 CHFU 8",0.05,0,0,0.05,0.0714285714285714,0.321428571428571
"A2 CHFU 9",0.05,0,0,0.05,0.0714285714285714,0.321428571428571
"A3 CHFU 1",0,0,0,0.160714285714286,0.166666666666667,0.660714285714286
"A3 CHFU 10",0,0,0,0.160714285714286,0.166666666666667,0.208333333333333
"A3 CHFU 11",0,0,0,0.160714285714286,0.166666666666667,0.208333333333333
"A3 CHFU 12",0,0,0,0.160714285714286,0.166666666666667,0.208333333333333
"A3 CHFU 13",0,0,0,0.160714285714286,0,0.125
"A3 CHFU 14",0,0,0,0.160714285714286,0,0.125
"A3 CHFU 15",0,0,0,0.160714285714286,0,0.125
"A3 CHFU 16",0,0,0,0.160714285714286,0,0.125
"A3 CHFU 17",0,0,0,0.0357142857142857,0,0
"A3 CHFU 18",0,0,0,0.0357142857142857,0,0
"A3 CHFU 19",0,0,0,0.0357142857142857,0,0
"A3 CHFU 2",0,0,0,0.160714285714286,0.166666666666667,0.660714285714286
"A3 CHFU 20",0,0,0,0.0357142857142857,0,0
