"","Bees","Flower_beetles","House_flies","Hoverflies","Small_beetles","Small_flies"
"A1 LEMA 1",0,4.53333333333333,0,1.28333333333333,2.25,3.11666666666667
"A1 LEMA 10",0,0.283333333333333,0,0.0333333333333333,0,0.116666666666667
"A1 LEMA 11",0,0.283333333333333,0,0.0333333333333333,0,0.116666666666667
"A1 LEMA 12",0,0.283333333333333,0,0.0333333333333333,0,0.116666666666667
"A1 LEMA 13",0,0.0333333333333333,0,0.0333333333333333,0,0.0333333333333333
"A1 LEMA 14",0,0.0333333333333333,0,0.0333333333333333,0,0.0333333333333333
"A1 LEMA 15",0,0.0333333333333333,0,0.0333333333333333,0,0.0333333333333333
"A1 LEMA 16",0,0.0333333333333333,0,0.0333333333333333,0,0.0333333333333333
"A1 LEMA 17",0,0.0333333333333333,0,0.0333333333333333,0,0.0333333333333333
"A1 LEMA 18",0,0.0333333333333333,0,0.0333333333333333,0,0.0333333333333333
"A1 LEMA 19",0,0.0333333333333333,0,0.0333333333333333,0,0.0333333333333333
"A1 LEMA 2",0,0.533333333333333,0,0.283333333333333,0.25,1.11666666666667
"A1 LEMA 20",0,0.0333333333333333,0,0.0333333333333333,0,0.0333333333333333
"A1 LEMA 21",0,0.0333333333333333,0,0.0333333333333333,0,0.0333333333333333
"A1 LEMA 22",0,0.0333333333333333,0,0.0333333333333333,0,0.0333333333333333
"A1 LEMA 23",0,0.0333333333333333,0,0.0333333333333333,0,0.0333333333333333
"A1 LEMA 24",0,0.0333333333333333,0,0.0333333333333333,0,0.0333333333333333
"A1 LEMA 25",0,0.0333333333333333,0,0.0333333333333333,0,0.0333333333333333
"A1 LEMA 26",0,0.0333333333333333,0,0.0333333333333333,0,0.0333333333333333
"A1 LEMA 27",0,0.0333333333333333,0,0.0333333333333333,0,0.0333333333333333
"A1 LEMA 28",0,0.0333333333333333,0,0.0333333333333333,0,0.0333333333333333
"A1 LEMA 29",0,0.0333333333333333,0,0.0333333333333333,0,0.0333333333333333
"A1 LEMA 3",0,0.533333333333333,0,0.283333333333333,0.25,0.616666666666667
"A1 LEMA 30",0,0.0333333333333333,0,0.0333333333333333,0,0.0333333333333333
"A1 LEMA 4",0,0.533333333333333,0,0.283333333333333,0.25,0.616666666666667
"A1 LEMA 5",0,0.283333333333333,0,0.0333333333333333,0,0.116666666666667
"A1 LEMA 6",0,0.283333333333333,0,0.0333333333333333,0,0.116666666666667
"A1 LEMA 7",0,0.283333333333333,0,0.0333333333333333,0,0.116666666666667
"A1 LEMA 8",0,0.283333333333333,0,0.0333333333333333,0,0.116666666666667
"A1 LEMA 9",0,0.283333333333333,0,0.0333333333333333,0,0.116666666666667
"A2 LEMA 1",0,0.633333333333333,0,2.71666666666667,0.2,0.1
"A2 LEMA 10",0,0.3,0,0.05,0.2,0.1
"A2 LEMA 11",0,0.3,0,0.05,0.2,0.1
