"","Hoverflies","Small_flies"
"A2 CHFU 1",0,1
"A3 CHFU 1",0,0.142857142857143
"A3 CHFU 2",0,0.142857142857143
"A3 CHFU 3",0,0.142857142857143
"A3 CHFU 4",0,0.142857142857143
"A3 CHFU 5",0,0.142857142857143
"A3 CHFU 6",0,0.142857142857143
"A3 CHFU 7",0,0.142857142857143
"B1 CHFU 1",0.333333333333333,0
"B1 CHFU 2",0.333333333333333,0
"B1 CHFU 3",0.333333333333333,0
"B2 CHFU 1",0.333333333333333,0.666666666666667
"B2 CHFU 2",0.333333333333333,0.666666666666667
"B2 CHFU 3",0.333333333333333,0.666666666666667
"C4 CHFU 1",0,0.333333333333333
"C4 CHFU 2",0,0.333333333333333
"C4 CHFU 3",0,0.333333333333333
"C5 CHFU 1",0,0.5
"C5 CHFU 2",0,0.5
"C5 CHFU 3",0,0.5
"C5 CHFU 4",0,0.5
