"","Bees","Flower_beetles","House_flies","Hoverflies","Small_flies"
"A5 ME 1",0,0,0,0.333333333333333,0
"A5 ME 2",0,0,0,0.333333333333333,0
"A5 ME 3",0,0,0,0.333333333333333,0
"B5 ME 1",0,0.5,1,0,0
"B5 ME 2",0,0.5,1,0,0
"C1 ME 1",0,0.333333333333333,0,0,0
"C1 ME 2",0,0.333333333333333,0,0,0
"C1 ME 3",0,0.333333333333333,0,0,0
"D2 ME 1",0.111111111111111,0,0,0,0
"D2 ME 2",0.111111111111111,0,0,0,0
"D2 ME 3",0.111111111111111,0,0,0,0
"D2 ME 4",0.111111111111111,0,0,0,0
"D2 ME 5",0.111111111111111,0,0,0,0
"D2 ME 6",0.111111111111111,0,0,0,0
"D2 ME 7",0.111111111111111,0,0,0,0
"D2 ME 8",0.111111111111111,0,0,0,0
"D2 ME 9",0.111111111111111,0,0,0,0
"D3 ME 1",0,0,0.1,0,0
"D3 ME 10",0,0,0.1,0,0
"D3 ME 11",0,0,0.1,0,0
"D3 ME 12",0,0,0.1,0,0
"D3 ME 13",0,0,0.1,0,0
"D3 ME 14",0,0,0.1,0,0
"D3 ME 15",0,0,0.1,0,0
"D3 ME 16",0,0,0.1,0,0
"D3 ME 17",0,0,0.1,0,0
"D3 ME 18",0,0,0.1,0,0
"D3 ME 19",0,0,0.1,0,0
"D3 ME 2",0,0,0.1,0,0
"D3 ME 20",0,0,0.1,0,0
"D3 ME 3",0,0,0.1,0,0
"D3 ME 4",0,0,0.1,0,0
"D3 ME 5",0,0,0.1,0,0
"D3 ME 6",0,0,0.1,0,0
"D3 ME 7",0,0,0.1,0,0
"D3 ME 8",0,0,0.1,0,0
"D3 ME 9",0,0,0.1,0,0
"E2 ME 1",0,0,0,0,0.0333333333333333
"E2 ME 10",0,0,0,0,0.0333333333333333
"E2 ME 11",0,0,0,0,0.0333333333333333
"E2 ME 12",0,0,0,0,0.0333333333333333
"E2 ME 13",0,0,0,0,0.0333333333333333
"E2 ME 14",0,0,0,0,0.0333333333333333
