"","Bees","Flower_beetles","Hoverflies","Small_beetles","Small_flies"
"A1 LEMA 1",0,0.25,0,0,0.25
"A1 LEMA 2",0,0.25,0,0,0.25
"A1 LEMA 3",0,0.25,0,0,0.25
"A1 LEMA 4",0,0.25,0,0,0.25
"A2 LEMA 1",0,0.15,0.05,0.2,0.05
"A2 LEMA 10",0,0.15,0.05,0.2,0.05
"A2 LEMA 11",0,0.15,0.05,0.2,0.05
"A2 LEMA 12",0,0.15,0.05,0.2,0.05
"A2 LEMA 13",0,0.15,0.05,0.2,0.05
"A2 LEMA 14",0,0.15,0.05,0.2,0.05
"A2 LEMA 15",0,0.15,0.05,0.2,0.05
"A2 LEMA 16",0,0.15,0.05,0.2,0.05
"A2 LEMA 17",0,0.15,0.05,0.2,0.05
"A2 LEMA 18",0,0.15,0.05,0.2,0.05
"A2 LEMA 19",0,0.15,0.05,0.2,0.05
"A2 LEMA 2",0,0.15,0.05,0.2,0.05
"A2 LEMA 20",0,0.15,0.05,0.2,0.05
"A2 LEMA 3",0,0.15,0.05,0.2,0.05
"A2 LEMA 4",0,0.15,0.05,0.2,0.05
"A2 LEMA 5",0,0.15,0.05,0.2,0.05
"A2 LEMA 6",0,0.15,0.05,0.2,0.05
"A2 LEMA 7",0,0.15,0.05,0.2,0.05
"A2 LEMA 8",0,0.15,0.05,0.2,0.05
"A2 LEMA 9",0,0.15,0.05,0.2,0.05
"B2 LEMA 1",0.0526315789473684,0.105263157894737,0,0,0.0526315789473684
"B2 LEMA 10",0.0526315789473684,0.105263157894737,0,0,0.0526315789473684
"B2 LEMA 11",0.0526315789473684,0.105263157894737,0,0,0.0526315789473684
"B2 LEMA 12",0.0526315789473684,0.105263157894737,0,0,0.0526315789473684
"B2 LEMA 13",0.0526315789473684,0.105263157894737,0,0,0.0526315789473684
"B2 LEMA 14",0.0526315789473684,0.105263157894737,0,0,0.0526315789473684
"B2 LEMA 15",0.0526315789473684,0.105263157894737,0,0,0.0526315789473684
"B2 LEMA 16",0.0526315789473684,0.105263157894737,0,0,0.0526315789473684
"B2 LEMA 17",0.0526315789473684,0.105263157894737,0,0,0.0526315789473684
"B2 LEMA 18",0.0526315789473684,0.105263157894737,0,0,0.0526315789473684
"B2 LEMA 19",0.0526315789473684,0.105263157894737,0,0,0.0526315789473684
"B2 LEMA 2",0.0526315789473684,0.105263157894737,0,0,0.0526315789473684
"B2 LEMA 3",0.0526315789473684,0.105263157894737,0,0,0.0526315789473684
"B2 LEMA 4",0.0526315789473684,0.105263157894737,0,0,0.0526315789473684
"B2 LEMA 5",0.0526315789473684,0.105263157894737,0,0,0.0526315789473684
"B2 LEMA 6",0.0526315789473684,0.105263157894737,0,0,0.0526315789473684
"B2 LEMA 7",0.0526315789473684,0.105263157894737,0,0,0.0526315789473684
"B2 LEMA 8",0.0526315789473684,0.105263157894737,0,0,0.0526315789473684
"B2 LEMA 9",0.0526315789473684,0.105263157894737,0,0,0.0526315789473684
