"","Hoverflies","Small_beetles","Small_flies"
"A1 CHFU 1",0,0,0.0833333333333333
"A1 CHFU 10",0,0,0.0833333333333333
"A1 CHFU 11",0,0,0.0833333333333333
"A1 CHFU 12",0,0,0.0833333333333333
"A1 CHFU 2",0,0,0.0833333333333333
"A1 CHFU 3",0,0,0.0833333333333333
"A1 CHFU 4",0,0,0.0833333333333333
"A1 CHFU 5",0,0,0.0833333333333333
"A1 CHFU 6",0,0,0.0833333333333333
"A1 CHFU 7",0,0,0.0833333333333333
"A1 CHFU 8",0,0,0.0833333333333333
"A1 CHFU 9",0,0,0.0833333333333333
"A3 CHFU 1",0.125,0,0.125
"A3 CHFU 10",0.125,0,0.125
"A3 CHFU 11",0.125,0,0.125
"A3 CHFU 12",0.125,0,0.125
"A3 CHFU 13",0.125,0,0.125
"A3 CHFU 14",0.125,0,0.125
"A3 CHFU 15",0.125,0,0.125
"A3 CHFU 16",0.125,0,0.125
"A3 CHFU 2",0.125,0,0.125
"A3 CHFU 3",0.125,0,0.125
"A3 CHFU 4",0.125,0,0.125
"A3 CHFU 5",0.125,0,0.125
"A3 CHFU 6",0.125,0,0.125
"A3 CHFU 7",0.125,0,0.125
"A3 CHFU 8",0.125,0,0.125
"A3 CHFU 9",0.125,0,0.125
"A4 CHFU 1",0,0,0.181818181818182
"A4 CHFU 10",0,0,0.181818181818182
"A4 CHFU 11",0,0,0.181818181818182
"A4 CHFU 2",0,0,0.181818181818182
"A4 CHFU 3",0,0,0.181818181818182
"A4 CHFU 4",0,0,0.181818181818182
"A4 CHFU 5",0,0,0.181818181818182
"A4 CHFU 6",0,0,0.181818181818182
"A4 CHFU 7",0,0,0.181818181818182
"A4 CHFU 8",0,0,0.181818181818182
"A4 CHFU 9",0,0,0.181818181818182
"A5 CHFU 1",0,0,0.4
"A5 CHFU 2",0,0,0.4
"A5 CHFU 3",0,0,0.4
"A5 CHFU 4",0,0,0.4
"A5 CHFU 5",0,0,0.4
"B1 CHFU 1",0,0,0.0454545454545455
"B1 CHFU 10",0,0,0.0454545454545455
"B1 CHFU 11",0,0,0.0454545454545455
"B1 CHFU 12",0,0,0.0454545454545455
"B1 CHFU 13",0,0,0.0454545454545455
"B1 CHFU 14",0,0,0.0454545454545455
"B1 CHFU 15",0,0,0.0454545454545455
"B1 CHFU 16",0,0,0.0454545454545455
"B1 CHFU 17",0,0,0.0454545454545455
"B1 CHFU 18",0,0,0.0454545454545455
"B1 CHFU 19",0,0,0.0454545454545455
"B1 CHFU 2",0,0,0.0454545454545455
"B1 CHFU 20",0,0,0.0454545454545455
"B1 CHFU 21",0,0,0.0454545454545455
"B1 CHFU 22",0,0,0.0454545454545455
"B1 CHFU 3",0,0,0.0454545454545455
"B1 CHFU 4",0,0,0.0454545454545455
"B1 CHFU 5",0,0,0.0454545454545455
"B1 CHFU 6",0,0,0.0454545454545455
"B1 CHFU 7",0,0,0.0454545454545455
"B1 CHFU 8",0,0,0.0454545454545455
"B1 CHFU 9",0,0,0.0454545454545455
"B2 CHFU 1",0.0588235294117647,0,0.0588235294117647
"B2 CHFU 10",0.0588235294117647,0,0.0588235294117647
"B2 CHFU 11",0.0588235294117647,0,0.0588235294117647
"B2 CHFU 12",0.0588235294117647,0,0.0588235294117647
"B2 CHFU 13",0.0588235294117647,0,0.0588235294117647
"B2 CHFU 14",0.0588235294117647,0,0.0588235294117647
"B2 CHFU 15",0.0588235294117647,0,0.0588235294117647
"B2 CHFU 16",0.0588235294117647,0,0.0588235294117647
"B2 CHFU 17",0.0588235294117647,0,0.0588235294117647
"B2 CHFU 2",0.0588235294117647,0,0.0588235294117647
"B2 CHFU 3",0.0588235294117647,0,0.0588235294117647
"B2 CHFU 4",0.0588235294117647,0,0.0588235294117647
"B2 CHFU 5",0.0588235294117647,0,0.0588235294117647
"B2 CHFU 6",0.0588235294117647,0,0.0588235294117647
"B2 CHFU 7",0.0588235294117647,0,0.0588235294117647
"B2 CHFU 8",0.0588235294117647,0,0.0588235294117647
"B2 CHFU 9",0.0588235294117647,0,0.0588235294117647
"B3 CHFU 1",0.1,0,0
"B3 CHFU 10",0.1,0,0
"B3 CHFU 2",0.1,0,0
"B3 CHFU 3",0.1,0,0
"B3 CHFU 4",0.1,0,0
"B3 CHFU 5",0.1,0,0
"B3 CHFU 6",0.1,0,0
"B3 CHFU 7",0.1,0,0
"B3 CHFU 8",0.1,0,0
"B3 CHFU 9",0.1,0,0
"C3 CHFU 1",0.5,0,0
"C3 CHFU 2",0.5,0,0
"C3 CHFU 3",0.5,0,0
"C3 CHFU 4",0.5,0,0
"C4 CHFU 1",0,0,0.5
"C4 CHFU 2",0,0,0.5
"D2 CHFU 1",0,0,0.222222222222222
"D2 CHFU 2",0,0,0.222222222222222
"D2 CHFU 3",0,0,0.222222222222222
"D2 CHFU 4",0,0,0.222222222222222
"D2 CHFU 5",0,0,0.222222222222222
"D2 CHFU 6",0,0,0.222222222222222
"D2 CHFU 7",0,0,0.222222222222222
"D2 CHFU 8",0,0,0.222222222222222
"D2 CHFU 9",0,0,0.222222222222222
"D5 CHFU 1",0,0,0.166666666666667
"D5 CHFU 2",0,0,0.166666666666667
"D5 CHFU 3",0,0,0.166666666666667
"D5 CHFU 4",0,0,0.166666666666667
"D5 CHFU 5",0,0,0.166666666666667
"D5 CHFU 6",0,0,0.166666666666667
"E1 CHFU 1",0,0.0384615384615385,0
"E1 CHFU 10",0,0.0384615384615385,0
"E1 CHFU 11",0,0.0384615384615385,0
"E1 CHFU 12",0,0.0384615384615385,0
"E1 CHFU 13",0,0.0384615384615385,0
"E1 CHFU 14",0,0.0384615384615385,0
"E1 CHFU 15",0,0.0384615384615385,0
"E1 CHFU 16",0,0.0384615384615385,0
"E1 CHFU 17",0,0.0384615384615385,0
"E1 CHFU 18",0,0.0384615384615385,0
"E1 CHFU 19",0,0.0384615384615385,0
"E1 CHFU 2",0,0.0384615384615385,0
"E1 CHFU 20",0,0.0384615384615385,0
"E1 CHFU 21",0,0.0384615384615385,0
"E1 CHFU 22",0,0.0384615384615385,0
"E1 CHFU 23",0,0.0384615384615385,0
"E1 CHFU 24",0,0.0384615384615385,0
"E1 CHFU 25",0,0.0384615384615385,0
"E1 CHFU 26",0,0.0384615384615385,0
"E1 CHFU 3",0,0.0384615384615385,0
"E1 CHFU 4",0,0.0384615384615385,0
"E1 CHFU 5",0,0.0384615384615385,0
"E1 CHFU 6",0,0.0384615384615385,0
"E1 CHFU 7",0,0.0384615384615385,0
"E1 CHFU 8",0,0.0384615384615385,0
"E1 CHFU 9",0,0.0384615384615385,0
"F5 CHFU 1",0,0,0.166666666666667
"F5 CHFU 2",0,0,0.166666666666667
"F5 CHFU 3",0,0,0.166666666666667
"F5 CHFU 4",0,0,0.166666666666667
"F5 CHFU 5",0,0,0.166666666666667
"F5 CHFU 6",0,0,0.166666666666667
"F6 CHFU 1",4,0,0
