"","Flower_beetles","Hoverflies","Small_beetles","Small_flies"
"A1 LEMA 1",0,0.25,0.25,0.25
"A1 LEMA 2",0,0.25,0.25,0.25
"A1 LEMA 3",0,0.25,0.25,0.25
"A1 LEMA 4",0,0.25,0.25,0.25
"A2 LEMA 1",0,2,0,0
"A2 LEMA 2",0,2,0,0
"A4 LEMA 1",0,0,0.125,0
"A4 LEMA 2",0,0,0.125,0
"A4 LEMA 3",0,0,0.125,0
"A4 LEMA 4",0,0,0.125,0
"A4 LEMA 5",0,0,0.125,0
"A4 LEMA 6",0,0,0.125,0
"A4 LEMA 7",0,0,0.125,0
"A4 LEMA 8",0,0,0.125,0
"A6 LEMA 1",0.0909090909090909,0,0,0
"A6 LEMA 10",0.0909090909090909,0,0,0
"A6 LEMA 11",0.0909090909090909,0,0,0
"A6 LEMA 2",0.0909090909090909,0,0,0
"A6 LEMA 3",0.0909090909090909,0,0,0
"A6 LEMA 4",0.0909090909090909,0,0,0
"A6 LEMA 5",0.0909090909090909,0,0,0
"A6 LEMA 6",0.0909090909090909,0,0,0
"A6 LEMA 7",0.0909090909090909,0,0,0
"A6 LEMA 8",0.0909090909090909,0,0,0
"A6 LEMA 9",0.0909090909090909,0,0,0
"B2 LEMA 1",0.0571428571428571,0.0285714285714286,0,0
"B2 LEMA 10",0.0571428571428571,0.0285714285714286,0,0
"B2 LEMA 11",0.0571428571428571,0.0285714285714286,0,0
"B2 LEMA 12",0.0571428571428571,0.0285714285714286,0,0
"B2 LEMA 13",0.0571428571428571,0.0285714285714286,0,0
"B2 LEMA 14",0.0571428571428571,0.0285714285714286,0,0
"B2 LEMA 15",0.0571428571428571,0.0285714285714286,0,0
"B2 LEMA 16",0.0571428571428571,0.0285714285714286,0,0
"B2 LEMA 17",0.0571428571428571,0.0285714285714286,0,0
"B2 LEMA 18",0.0571428571428571,0.0285714285714286,0,0
"B2 LEMA 19",0.0571428571428571,0.0285714285714286,0,0
"B2 LEMA 2",0.0571428571428571,0.0285714285714286,0,0
"B2 LEMA 20",0.0571428571428571,0.0285714285714286,0,0
"B2 LEMA 21",0.0571428571428571,0.0285714285714286,0,0
"B2 LEMA 22",0.0571428571428571,0.0285714285714286,0,0
"B2 LEMA 23",0.0571428571428571,0.0285714285714286,0,0
"B2 LEMA 24",0.0571428571428571,0.0285714285714286,0,0
"B2 LEMA 25",0.0571428571428571,0.0285714285714286,0,0
"B2 LEMA 26",0.0571428571428571,0.0285714285714286,0,0
"B2 LEMA 27",0.0571428571428571,0.0285714285714286,0,0
"B2 LEMA 28",0.0571428571428571,0.0285714285714286,0,0
"B2 LEMA 29",0.0571428571428571,0.0285714285714286,0,0
"B2 LEMA 3",0.0571428571428571,0.0285714285714286,0,0
"B2 LEMA 30",0.0571428571428571,0.0285714285714286,0,0
"B2 LEMA 31",0.0571428571428571,0.0285714285714286,0,0
"B2 LEMA 32",0.0571428571428571,0.0285714285714286,0,0
"B2 LEMA 33",0.0571428571428571,0.0285714285714286,0,0
"B2 LEMA 34",0.0571428571428571,0.0285714285714286,0,0
"B2 LEMA 35",0.0571428571428571,0.0285714285714286,0,0
"B2 LEMA 4",0.0571428571428571,0.0285714285714286,0,0
"B2 LEMA 5",0.0571428571428571,0.0285714285714286,0,0
"B2 LEMA 6",0.0571428571428571,0.0285714285714286,0,0
"B2 LEMA 7",0.0571428571428571,0.0285714285714286,0,0
"B2 LEMA 8",0.0571428571428571,0.0285714285714286,0,0
"B2 LEMA 9",0.0571428571428571,0.0285714285714286,0,0
"B4 LEMA 1",0.0666666666666667,0,0,0
"B4 LEMA 10",0.0666666666666667,0,0,0
"B4 LEMA 11",0.0666666666666667,0,0,0
"B4 LEMA 12",0.0666666666666667,0,0,0
"B4 LEMA 13",0.0666666666666667,0,0,0
"B4 LEMA 14",0.0666666666666667,0,0,0
"B4 LEMA 15",0.0666666666666667,0,0,0
"B4 LEMA 16",0.0666666666666667,0,0,0
"B4 LEMA 17",0.0666666666666667,0,0,0
"B4 LEMA 18",0.0666666666666667,0,0,0
"B4 LEMA 19",0.0666666666666667,0,0,0
"B4 LEMA 2",0.0666666666666667,0,0,0
"B4 LEMA 20",0.0666666666666667,0,0,0
"B4 LEMA 21",0.0666666666666667,0,0,0
"B4 LEMA 22",0.0666666666666667,0,0,0
"B4 LEMA 23",0.0666666666666667,0,0,0
"B4 LEMA 24",0.0666666666666667,0,0,0
"B4 LEMA 25",0.0666666666666667,0,0,0
"B4 LEMA 26",0.0666666666666667,0,0,0
"B4 LEMA 27",0.0666666666666667,0,0,0
"B4 LEMA 28",0.0666666666666667,0,0,0
"B4 LEMA 29",0.0666666666666667,0,0,0
"B4 LEMA 3",0.0666666666666667,0,0,0
"B4 LEMA 30",0.0666666666666667,0,0,0
"B4 LEMA 4",0.0666666666666667,0,0,0
"B4 LEMA 5",0.0666666666666667,0,0,0
"B4 LEMA 6",0.0666666666666667,0,0,0
"B4 LEMA 7",0.0666666666666667,0,0,0
"B4 LEMA 8",0.0666666666666667,0,0,0
"B4 LEMA 9",0.0666666666666667,0,0,0
"B5 LEMA 1",0.111111111111111,0,0,0
"B5 LEMA 2",0.111111111111111,0,0,0
"B5 LEMA 3",0.111111111111111,0,0,0
"B5 LEMA 4",0.111111111111111,0,0,0
"B5 LEMA 5",0.111111111111111,0,0,0
"B5 LEMA 6",0.111111111111111,0,0,0
"B5 LEMA 7",0.111111111111111,0,0,0
"B5 LEMA 8",0.111111111111111,0,0,0
"B5 LEMA 9",0.111111111111111,0,0,0
"C1 LEMA 1",0.333333333333333,0.333333333333333,0,0.333333333333333
"C1 LEMA 2",0.333333333333333,0.333333333333333,0,0.333333333333333
"C1 LEMA 3",0.333333333333333,0.333333333333333,0,0.333333333333333
"C3 LEMA 1",0.04,0,0,0
"C3 LEMA 10",0.04,0,0,0
"C3 LEMA 11",0.04,0,0,0
"C3 LEMA 12",0.04,0,0,0
"C3 LEMA 13",0.04,0,0,0
"C3 LEMA 14",0.04,0,0,0
"C3 LEMA 15",0.04,0,0,0
"C3 LEMA 16",0.04,0,0,0
"C3 LEMA 17",0.04,0,0,0
"C3 LEMA 18",0.04,0,0,0
"C3 LEMA 19",0.04,0,0,0
"C3 LEMA 2",0.04,0,0,0
"C3 LEMA 20",0.04,0,0,0
"C3 LEMA 21",0.04,0,0,0
"C3 LEMA 22",0.04,0,0,0
"C3 LEMA 23",0.04,0,0,0
"C3 LEMA 24",0.04,0,0,0
"C3 LEMA 25",0.04,0,0,0
"C3 LEMA 3",0.04,0,0,0
"C3 LEMA 4",0.04,0,0,0
"C3 LEMA 5",0.04,0,0,0
"C3 LEMA 6",0.04,0,0,0
"C3 LEMA 7",0.04,0,0,0
"C3 LEMA 8",0.04,0,0,0
"C3 LEMA 9",0.04,0,0,0
"C4 LEMA 1",0.1,0,0,0.1
"C4 LEMA 10",0.1,0,0,0.1
"C4 LEMA 2",0.1,0,0,0.1
"C4 LEMA 3",0.1,0,0,0.1
"C4 LEMA 4",0.1,0,0,0.1
"C4 LEMA 5",0.1,0,0,0.1
"C4 LEMA 6",0.1,0,0,0.1
"C4 LEMA 7",0.1,0,0,0.1
"C4 LEMA 8",0.1,0,0,0.1
"C4 LEMA 9",0.1,0,0,0.1
"C5 LEMA 1",0,0,0,0.6
"C5 LEMA 2",0,0,0,0.6
"C5 LEMA 3",0,0,0,0.6
"C5 LEMA 4",0,0,0,0.6
"C5 LEMA 5",0,0,0,0.6
"D1 LEMA 1",0.214285714285714,0,0.0714285714285714,0.571428571428571
"D1 LEMA 10",0.214285714285714,0,0.0714285714285714,0.571428571428571
"D1 LEMA 11",0.214285714285714,0,0.0714285714285714,0.571428571428571
"D1 LEMA 12",0.214285714285714,0,0.0714285714285714,0.571428571428571
"D1 LEMA 13",0.214285714285714,0,0.0714285714285714,0.571428571428571
"D1 LEMA 14",0.214285714285714,0,0.0714285714285714,0.571428571428571
"D1 LEMA 2",0.214285714285714,0,0.0714285714285714,0.571428571428571
"D1 LEMA 3",0.214285714285714,0,0.0714285714285714,0.571428571428571
"D1 LEMA 4",0.214285714285714,0,0.0714285714285714,0.571428571428571
"D1 LEMA 5",0.214285714285714,0,0.0714285714285714,0.571428571428571
"D1 LEMA 6",0.214285714285714,0,0.0714285714285714,0.571428571428571
"D1 LEMA 7",0.214285714285714,0,0.0714285714285714,0.571428571428571
"D1 LEMA 8",0.214285714285714,0,0.0714285714285714,0.571428571428571
"D1 LEMA 9",0.214285714285714,0,0.0714285714285714,0.571428571428571
"D2 LEMA 1",0,0.125,0,0.0625
"D2 LEMA 10",0,0.125,0,0.0625
"D2 LEMA 11",0,0.125,0,0.0625
"D2 LEMA 12",0,0.125,0,0.0625
"D2 LEMA 13",0,0.125,0,0.0625
"D2 LEMA 14",0,0.125,0,0.0625
"D2 LEMA 15",0,0.125,0,0.0625
"D2 LEMA 16",0,0.125,0,0.0625
"D2 LEMA 2",0,0.125,0,0.0625
"D2 LEMA 3",0,0.125,0,0.0625
"D2 LEMA 4",0,0.125,0,0.0625
"D2 LEMA 5",0,0.125,0,0.0625
"D2 LEMA 6",0,0.125,0,0.0625
"D2 LEMA 7",0,0.125,0,0.0625
"D2 LEMA 8",0,0.125,0,0.0625
"D2 LEMA 9",0,0.125,0,0.0625
"D4 LEMA 1",0.0833333333333333,0,0,0
"D4 LEMA 10",0.0833333333333333,0,0,0
"D4 LEMA 11",0.0833333333333333,0,0,0
"D4 LEMA 12",0.0833333333333333,0,0,0
"D4 LEMA 2",0.0833333333333333,0,0,0
"D4 LEMA 3",0.0833333333333333,0,0,0
"D4 LEMA 4",0.0833333333333333,0,0,0
"D4 LEMA 5",0.0833333333333333,0,0,0
"D4 LEMA 6",0.0833333333333333,0,0,0
"D4 LEMA 7",0.0833333333333333,0,0,0
"D4 LEMA 8",0.0833333333333333,0,0,0
"D4 LEMA 9",0.0833333333333333,0,0,0
"D5 LEMA 1",0,0.0588235294117647,0,0
"D5 LEMA 10",0,0.0588235294117647,0,0
"D5 LEMA 11",0,0.0588235294117647,0,0
"D5 LEMA 12",0,0.0588235294117647,0,0
"D5 LEMA 13",0,0.0588235294117647,0,0
"D5 LEMA 14",0,0.0588235294117647,0,0
"D5 LEMA 15",0,0.0588235294117647,0,0
"D5 LEMA 16",0,0.0588235294117647,0,0
"D5 LEMA 17",0,0.0588235294117647,0,0
"D5 LEMA 2",0,0.0588235294117647,0,0
"D5 LEMA 3",0,0.0588235294117647,0,0
"D5 LEMA 4",0,0.0588235294117647,0,0
"D5 LEMA 5",0,0.0588235294117647,0,0
"D5 LEMA 6",0,0.0588235294117647,0,0
"D5 LEMA 7",0,0.0588235294117647,0,0
"D5 LEMA 8",0,0.0588235294117647,0,0
"D5 LEMA 9",0,0.0588235294117647,0,0
"E1 LEMA 1",0.2,0.1,0,0.1
"E1 LEMA 10",0.2,0.1,0,0.1
"E1 LEMA 11",0.2,0.1,0,0.1
"E1 LEMA 12",0.2,0.1,0,0.1
"E1 LEMA 13",0.2,0.1,0,0.1
"E1 LEMA 14",0.2,0.1,0,0.1
"E1 LEMA 15",0.2,0.1,0,0.1
