"","Bees","Flower_beetles","Hoverflies","Small_beetles","Small_flies"
"A2 CHFU 1",0,0,0,0.0714285714285714,0.0714285714285714
"A2 CHFU 10",0,0,0,0.0714285714285714,0.0714285714285714
"A2 CHFU 11",0,0,0,0.0714285714285714,0.0714285714285714
"A2 CHFU 12",0,0,0,0.0714285714285714,0.0714285714285714
"A2 CHFU 13",0,0,0,0.0714285714285714,0.0714285714285714
"A2 CHFU 14",0,0,0,0.0714285714285714,0.0714285714285714
"A2 CHFU 2",0,0,0,0.0714285714285714,0.0714285714285714
"A2 CHFU 3",0,0,0,0.0714285714285714,0.0714285714285714
"A2 CHFU 4",0,0,0,0.0714285714285714,0.0714285714285714
"A2 CHFU 5",0,0,0,0.0714285714285714,0.0714285714285714
"A2 CHFU 6",0,0,0,0.0714285714285714,0.0714285714285714
"A2 CHFU 7",0,0,0,0.0714285714285714,0.0714285714285714
"A2 CHFU 8",0,0,0,0.0714285714285714,0.0714285714285714
"A2 CHFU 9",0,0,0,0.0714285714285714,0.0714285714285714
"A3 CHFU 1",0,0,0,0.166666666666667,0.0833333333333333
"A3 CHFU 10",0,0,0,0.166666666666667,0.0833333333333333
"A3 CHFU 11",0,0,0,0.166666666666667,0.0833333333333333
"A3 CHFU 12",0,0,0,0.166666666666667,0.0833333333333333
"A3 CHFU 2",0,0,0,0.166666666666667,0.0833333333333333
"A3 CHFU 3",0,0,0,0.166666666666667,0.0833333333333333
"A3 CHFU 4",0,0,0,0.166666666666667,0.0833333333333333
"A3 CHFU 5",0,0,0,0.166666666666667,0.0833333333333333
"A3 CHFU 6",0,0,0,0.166666666666667,0.0833333333333333
"A3 CHFU 7",0,0,0,0.166666666666667,0.0833333333333333
"A3 CHFU 8",0,0,0,0.166666666666667,0.0833333333333333
"A3 CHFU 9",0,0,0,0.166666666666667,0.0833333333333333
"A5 CHFU 1",0,0.0714285714285714,0,0,0
"A5 CHFU 10",0,0.0714285714285714,0,0,0
"A5 CHFU 11",0,0.0714285714285714,0,0,0
"A5 CHFU 12",0,0.0714285714285714,0,0,0
"A5 CHFU 13",0,0.0714285714285714,0,0,0
"A5 CHFU 14",0,0.0714285714285714,0,0,0
"A5 CHFU 2",0,0.0714285714285714,0,0,0
"A5 CHFU 3",0,0.0714285714285714,0,0,0
"A5 CHFU 4",0,0.0714285714285714,0,0,0
"A5 CHFU 5",0,0.0714285714285714,0,0,0
"A5 CHFU 6",0,0.0714285714285714,0,0,0
"A5 CHFU 7",0,0.0714285714285714,0,0,0
"A5 CHFU 8",0,0.0714285714285714,0,0,0
"A5 CHFU 9",0,0.0714285714285714,0,0,0
"A6 CHFU 1",0,0,0,0,0.05
"A6 CHFU 10",0,0,0,0,0.05
"A6 CHFU 11",0,0,0,0,0.05
"A6 CHFU 12",0,0,0,0,0.05
"A6 CHFU 13",0,0,0,0,0.05
"A6 CHFU 14",0,0,0,0,0.05
"A6 CHFU 15",0,0,0,0,0.05
"A6 CHFU 16",0,0,0,0,0.05
"A6 CHFU 17",0,0,0,0,0.05
"A6 CHFU 18",0,0,0,0,0.05
"A6 CHFU 19",0,0,0,0,0.05
"A6 CHFU 2",0,0,0,0,0.05
"A6 CHFU 20",0,0,0,0,0.05
"A6 CHFU 3",0,0,0,0,0.05
"A6 CHFU 4",0,0,0,0,0.05
"A6 CHFU 5",0,0,0,0,0.05
"A6 CHFU 6",0,0,0,0,0.05
"A6 CHFU 7",0,0,0,0,0.05
"A6 CHFU 8",0,0,0,0,0.05
"A6 CHFU 9",0,0,0,0,0.05
"B3 CHFU 1",0,0,0.285714285714286,0,0
"B3 CHFU 2",0,0,0.285714285714286,0,0
"B3 CHFU 3",0,0,0.285714285714286,0,0
"B3 CHFU 4",0,0,0.285714285714286,0,0
"B3 CHFU 5",0,0,0.285714285714286,0,0
"B3 CHFU 6",0,0,0.285714285714286,0,0
"B3 CHFU 7",0,0,0.285714285714286,0,0
"E3 CHFU 1",0.0526315789473684,0,0,0,0
"E3 CHFU 10",0.0526315789473684,0,0,0,0
"E3 CHFU 11",0.0526315789473684,0,0,0,0
"E3 CHFU 12",0.0526315789473684,0,0,0,0
"E3 CHFU 13",0.0526315789473684,0,0,0,0
"E3 CHFU 14",0.0526315789473684,0,0,0,0
"E3 CHFU 15",0.0526315789473684,0,0,0,0
"E3 CHFU 16",0.0526315789473684,0,0,0,0
"E3 CHFU 17",0.0526315789473684,0,0,0,0
"E3 CHFU 18",0.0526315789473684,0,0,0,0
"E3 CHFU 19",0.0526315789473684,0,0,0,0
"E3 CHFU 2",0.0526315789473684,0,0,0,0
"E3 CHFU 3",0.0526315789473684,0,0,0,0
"E3 CHFU 4",0.0526315789473684,0,0,0,0
"E3 CHFU 5",0.0526315789473684,0,0,0,0
"E3 CHFU 6",0.0526315789473684,0,0,0,0
"E3 CHFU 7",0.0526315789473684,0,0,0,0
"E3 CHFU 8",0.0526315789473684,0,0,0,0
"E3 CHFU 9",0.0526315789473684,0,0,0,0
"F2 CHFU 1",0.0285714285714286,0,0,0,0
"F2 CHFU 10",0.0285714285714286,0,0,0,0
"F2 CHFU 11",0.0285714285714286,0,0,0,0
"F2 CHFU 12",0.0285714285714286,0,0,0,0
"F2 CHFU 13",0.0285714285714286,0,0,0,0
"F2 CHFU 14",0.0285714285714286,0,0,0,0
"F2 CHFU 15",0.0285714285714286,0,0,0,0
"F2 CHFU 16",0.0285714285714286,0,0,0,0
"F2 CHFU 17",0.0285714285714286,0,0,0,0
"F2 CHFU 18",0.0285714285714286,0,0,0,0
"F2 CHFU 19",0.0285714285714286,0,0,0,0
"F2 CHFU 2",0.0285714285714286,0,0,0,0
"F2 CHFU 20",0.0285714285714286,0,0,0,0
"F2 CHFU 21",0.0285714285714286,0,0,0,0
"F2 CHFU 22",0.0285714285714286,0,0,0,0
"F2 CHFU 23",0.0285714285714286,0,0,0,0
"F2 CHFU 24",0.0285714285714286,0,0,0,0
"F2 CHFU 25",0.0285714285714286,0,0,0,0
"F2 CHFU 26",0.0285714285714286,0,0,0,0
"F2 CHFU 27",0.0285714285714286,0,0,0,0
"F2 CHFU 28",0.0285714285714286,0,0,0,0
"F2 CHFU 29",0.0285714285714286,0,0,0,0
"F2 CHFU 3",0.0285714285714286,0,0,0,0
"F2 CHFU 30",0.0285714285714286,0,0,0,0
"F2 CHFU 31",0.0285714285714286,0,0,0,0
"F2 CHFU 32",0.0285714285714286,0,0,0,0
"F2 CHFU 33",0.0285714285714286,0,0,0,0
"F2 CHFU 34",0.0285714285714286,0,0,0,0
"F2 CHFU 35",0.0285714285714286,0,0,0,0
"F2 CHFU 4",0.0285714285714286,0,0,0,0
"F2 CHFU 5",0.0285714285714286,0,0,0,0
"F2 CHFU 6",0.0285714285714286,0,0,0,0
"F2 CHFU 7",0.0285714285714286,0,0,0,0
"F2 CHFU 8",0.0285714285714286,0,0,0,0
"F2 CHFU 9",0.0285714285714286,0,0,0,0
