"","Bees","Butterflies","Humbleflies","Small_flies"
"A6 PUPA 1",0,0,0.166666666666667,0
"A6 PUPA 2",0,0,0.166666666666667,0
"A6 PUPA 3",0,0,0.166666666666667,0
"A6 PUPA 4",0,0,0.166666666666667,0
"A6 PUPA 5",0,0,0.166666666666667,0
"A6 PUPA 6",0,0,0.166666666666667,0
"B4 PUPA 1",0,0.333333333333333,0.333333333333333,0
"B4 PUPA 2",0,0.333333333333333,0.333333333333333,0
"B4 PUPA 3",0,0.333333333333333,0.333333333333333,0
"B5 PUPA 1",0.333333333333333,0,0.333333333333333,0
"B5 PUPA 2",0.333333333333333,0,0.333333333333333,0
"B5 PUPA 3",0.333333333333333,0,0.333333333333333,0
"C2 PUPA 1",2,0,1,1
"C3 PUPA 1",0,0.333333333333333,0,0
"C3 PUPA 2",0,0.333333333333333,0,0
"C3 PUPA 3",0,0.333333333333333,0,0
"C4 PUPA 1",0,0,0.333333333333333,0
"C4 PUPA 2",0,0,0.333333333333333,0
"C4 PUPA 3",0,0,0.333333333333333,0
"D2 PUPA 1",2,0,0,0
"D3 PUPA 1",0.2,0,0,0
"D3 PUPA 2",0.2,0,0,0
"D3 PUPA 3",0.2,0,0,0
"D3 PUPA 4",0.2,0,0,0
"D3 PUPA 5",0.2,0,0,0
"D5 PUPA 1",0.181818181818182,0,0,0
"D5 PUPA 10",0.181818181818182,0,0,0
"D5 PUPA 11",0.181818181818182,0,0,0
"D5 PUPA 2",0.181818181818182,0,0,0
"D5 PUPA 3",0.181818181818182,0,0,0
"D5 PUPA 4",0.181818181818182,0,0,0
"D5 PUPA 5",0.181818181818182,0,0,0
"D5 PUPA 6",0.181818181818182,0,0,0
"D5 PUPA 7",0.181818181818182,0,0,0
"D5 PUPA 8",0.181818181818182,0,0,0
"D5 PUPA 9",0.181818181818182,0,0,0
"E3 PUPA 1",0.666666666666667,0,0,0
"E3 PUPA 2",0.666666666666667,0,0,0
"E3 PUPA 3",0.666666666666667,0,0,0
"E4 PUPA 1",0,0.0833333333333333,0.25,0
"E4 PUPA 10",0,0.0833333333333333,0.25,0
"E4 PUPA 11",0,0.0833333333333333,0.25,0
"E4 PUPA 12",0,0.0833333333333333,0.25,0
"E4 PUPA 2",0,0.0833333333333333,0.25,0
"E4 PUPA 3",0,0.0833333333333333,0.25,0
"E4 PUPA 4",0,0.0833333333333333,0.25,0
"E4 PUPA 5",0,0.0833333333333333,0.25,0
"E4 PUPA 6",0,0.0833333333333333,0.25,0
"E4 PUPA 7",0,0.0833333333333333,0.25,0
"E4 PUPA 8",0,0.0833333333333333,0.25,0
"E4 PUPA 9",0,0.0833333333333333,0.25,0
"E6 PUPA 1",0,0,0.111111111111111,0
"E6 PUPA 2",0,0,0.111111111111111,0
"E6 PUPA 3",0,0,0.111111111111111,0
"E6 PUPA 4",0,0,0.111111111111111,0
"E6 PUPA 5",0,0,0.111111111111111,0
"E6 PUPA 6",0,0,0.111111111111111,0
"E6 PUPA 7",0,0,0.111111111111111,0
"E6 PUPA 8",0,0,0.111111111111111,0
"E6 PUPA 9",0,0,0.111111111111111,0
"F3 PUPA 1",0,1,1,0
"F4 PUPA 1",0,0.166666666666667,0,0
"F4 PUPA 2",0,0.166666666666667,0,0
"F4 PUPA 3",0,0.166666666666667,0,0
"F4 PUPA 4",0,0.166666666666667,0,0
"F4 PUPA 5",0,0.166666666666667,0,0
"F4 PUPA 6",0,0.166666666666667,0,0
"F6 PUPA 1",0,1,0,0
