"","Bees","House_flies","Hoverflies","Small_beetles","Small_flies"
"A3 CHFU 1",0,0,0.0357142857142857,0,0
"A3 CHFU 10",0,0,0.0357142857142857,0,0
"A3 CHFU 11",0,0,0.0357142857142857,0,0
"A3 CHFU 12",0,0,0.0357142857142857,0,0
"A3 CHFU 13",0,0,0.0357142857142857,0,0
"A3 CHFU 14",0,0,0.0357142857142857,0,0
"A3 CHFU 15",0,0,0.0357142857142857,0,0
"A3 CHFU 16",0,0,0.0357142857142857,0,0
"A3 CHFU 17",0,0,0.0357142857142857,0,0
"A3 CHFU 18",0,0,0.0357142857142857,0,0
"A3 CHFU 19",0,0,0.0357142857142857,0,0
"A3 CHFU 2",0,0,0.0357142857142857,0,0
"A3 CHFU 20",0,0,0.0357142857142857,0,0
"A3 CHFU 21",0,0,0.0357142857142857,0,0
"A3 CHFU 22",0,0,0.0357142857142857,0,0
"A3 CHFU 23",0,0,0.0357142857142857,0,0
"A3 CHFU 24",0,0,0.0357142857142857,0,0
"A3 CHFU 25",0,0,0.0357142857142857,0,0
"A3 CHFU 26",0,0,0.0357142857142857,0,0
"A3 CHFU 27",0,0,0.0357142857142857,0,0
"A3 CHFU 28",0,0,0.0357142857142857,0,0
"A3 CHFU 3",0,0,0.0357142857142857,0,0
"A3 CHFU 4",0,0,0.0357142857142857,0,0
"A3 CHFU 5",0,0,0.0357142857142857,0,0
"A3 CHFU 6",0,0,0.0357142857142857,0,0
"A3 CHFU 7",0,0,0.0357142857142857,0,0
"A3 CHFU 8",0,0,0.0357142857142857,0,0
"A3 CHFU 9",0,0,0.0357142857142857,0,0
"A4 CHFU 1",0,0,0,0,0.02
"A4 CHFU 10",0,0,0,0,0.02
"A4 CHFU 11",0,0,0,0,0.02
"A4 CHFU 12",0,0,0,0,0.02
"A4 CHFU 13",0,0,0,0,0.02
"A4 CHFU 14",0,0,0,0,0.02
"A4 CHFU 15",0,0,0,0,0.02
"A4 CHFU 16",0,0,0,0,0.02
"A4 CHFU 17",0,0,0,0,0.02
"A4 CHFU 18",0,0,0,0,0.02
"A4 CHFU 19",0,0,0,0,0.02
"A4 CHFU 2",0,0,0,0,0.02
"A4 CHFU 20",0,0,0,0,0.02
"A4 CHFU 21",0,0,0,0,0.02
"A4 CHFU 22",0,0,0,0,0.02
"A4 CHFU 23",0,0,0,0,0.02
"A4 CHFU 24",0,0,0,0,0.02
"A4 CHFU 25",0,0,0,0,0.02
"A4 CHFU 26",0,0,0,0,0.02
"A4 CHFU 27",0,0,0,0,0.02
"A4 CHFU 28",0,0,0,0,0.02
"A4 CHFU 29",0,0,0,0,0.02
"A4 CHFU 3",0,0,0,0,0.02
"A4 CHFU 30",0,0,0,0,0.02
"A4 CHFU 31",0,0,0,0,0.02
"A4 CHFU 32",0,0,0,0,0.02
"A4 CHFU 33",0,0,0,0,0.02
"A4 CHFU 34",0,0,0,0,0.02
"A4 CHFU 35",0,0,0,0,0.02
