"","Bees","Flower_beetles","House_flies","Hoverflies","Small_beetles","Small_flies"
"A2 CHFU 1",0,0,0,0.05,0,0.15
"A2 CHFU 10",0,0,0,0.05,0,0.15
"A2 CHFU 11",0,0,0,0.05,0,0.15
"A2 CHFU 12",0,0,0,0.05,0,0.15
"A2 CHFU 13",0,0,0,0.05,0,0.15
"A2 CHFU 14",0,0,0,0.05,0,0.15
"A2 CHFU 15",0,0,0,0.05,0,0.15
"A2 CHFU 16",0,0,0,0.05,0,0.15
"A2 CHFU 17",0,0,0,0.05,0,0.15
"A2 CHFU 18",0,0,0,0.05,0,0.15
"A2 CHFU 19",0,0,0,0.05,0,0.15
"A2 CHFU 2",0,0,0,0.05,0,0.15
"A2 CHFU 20",0,0,0,0.05,0,0.15
"A2 CHFU 3",0,0,0,0.05,0,0.15
"A2 CHFU 4",0,0,0,0.05,0,0.15
"A2 CHFU 5",0,0,0,0.05,0,0.15
"A2 CHFU 6",0,0,0,0.05,0,0.15
"A2 CHFU 7",0,0,0,0.05,0,0.15
"A2 CHFU 8",0,0,0,0.05,0,0.15
"A2 CHFU 9",0,0,0,0.05,0,0.15
"A3 CHFU 1",0,0,0,0,0,0.166666666666667
"A3 CHFU 2",0,0,0,0,0,0.166666666666667
"A3 CHFU 3",0,0,0,0,0,0.166666666666667
"A3 CHFU 4",0,0,0,0,0,0.166666666666667
"A3 CHFU 5",0,0,0,0,0,0.166666666666667
"A3 CHFU 6",0,0,0,0,0,0.166666666666667
"A4 CHFU 1",0,0,0,0,0,0.333333333333333
"A4 CHFU 2",0,0,0,0,0,0.333333333333333
"A4 CHFU 3",0,0,0,0,0,0.333333333333333
"A6 CHFU 1",0,0,0,0,0,0.0526315789473684
"A6 CHFU 10",0,0,0,0,0,0.0526315789473684
"A6 CHFU 11",0,0,0,0,0,0.0526315789473684
"A6 CHFU 12",0,0,0,0,0,0.0526315789473684
"A6 CHFU 13",0,0,0,0,0,0.0526315789473684
"A6 CHFU 14",0,0,0,0,0,0.0526315789473684
"A6 CHFU 15",0,0,0,0,0,0.0526315789473684
"A6 CHFU 16",0,0,0,0,0,0.0526315789473684
"A6 CHFU 17",0,0,0,0,0,0.0526315789473684
"A6 CHFU 18",0,0,0,0,0,0.0526315789473684
"A6 CHFU 19",0,0,0,0,0,0.0526315789473684
