species,Real_PR_Multi,Real_PR_Layer,StrengthIn,StrengthOut,DegreeIn,DegreeOut,Delta,Ratio,Plot
A2 CHFU,0.01913925423030127,0.08886082321211307,0.195,0.3,2,2,-0.0697215689818118,0.2153846153846153,1
Dilophus_sp. CHFU,0.025437507076353807,0.11810271142592844,0.7,0.3,4,4,-0.09266520434957463,0.21538461538461529,1
Diptera CHFU,0.03360615196730523,0.15602856270534574,1.1,0.3,5,5,-0.1224224107380405,0.21538461538461534,1
A3 CHFU,0.006347331938890963,0.035189822020707855,0.09999999999999999,0.3,1,1,-0.028842490081816892,0.18037408473267647,1
Empididae CHFU,0.023762586065874444,0.08638424578737225,0.7,0.5,3,3,-0.0626216597214978,0.27508008953813295,1
B1 CHFU,0.015384615384615379,0.07142857142857142,0.6,0.6,1,1,-0.056043956043956046,0.2153846153846153,1
Eupeodes_corollae CHFU,0.015384615384615379,0.07142857142857142,0.6,0.6,2,2,-0.056043956043956046,0.2153846153846153,1
B2 CHFU,0.020349119532245104,0.10766732083643499,0.7999999999999999,0.39999999999999997,2,2,-0.08731820130418988,0.18899996186548457,1
Sphaerophoria_scripta CHFU,0.015626898764165467,0.05647289706977058,0.4,0.8,3,3,-0.04084599830560511,0.27671501861962033,1
C4 CHFU,0.00771316256141749,0.03581111189229551,0.075,0.3,1,1,-0.028097949330878016,0.21538461538461526,1
C5 CHFU,0.013118632815142677,0.0609079380703053,0.15,0.3,1,1,-0.04778930525516262,0.21538461538461534,1
E2 CHFU,0.008020738142134198,0.03723914137419449,0.06,0.3,1,1,-0.02921840323206029,0.21538461538461537,1
E5 CHFU,0.008020738142134198,0.0372391413741945,0.06,0.3,1,1,-0.0292184032320603,0.21538461538461534,1
F4 CHFU,0.008020738142134196,0.03723914137419449,0.06,0.3,1,1,-0.029218403232060295,0.21538461538461534,1
A1 LEMA,0.009508829806675802,0.014620713169491373,0.03197674418604651,0.15000000000000002,2,2,-0.00511188336281557,0.65036703042076,1
Dilophus_sp. LEMA,0.048546827065755055,0.07643063017500813,1.515714285714286,0.3,12,12,-0.027883803109253077,0.6351750202058293,1
Psilothrix_viridicoerulea LEMA,0.063444458177194,0.09904406740395429,1.3395238095238098,0.09999999999999999,20,20,-0.03559960922676028,0.640567979891555,1
A2 LEMA,0.012025158525575575,0.018526973807503518,0.1069767441860465,0.225,2,2,-0.006501815281927942,0.649062207920072,1
Odontomyia_sp. LEMA,0.04203573390158182,0.06578891959111918,1.04,0.6,6,6,-0.02375318568953736,0.63894853666598606,1
A3 LEMA,0.005598514067308464,0.008319197348289033,0.03565891472868217,0.1,2,2,-0.0027206832809805693,0.6729632478859131,1
Anthaxia_semicuprea LEMA,0.007188307486693283,0.010687115897378977,0.10333333333333335,0.1,3,3,-0.0034988084106856946,0.6726143475674499,1
A4 LEMA,0.01313308505115913,0.019436570683292385,0.337984496124031,0.39999999999999997,2,2,-0.006303485632133255,0.6756894137939822,1
Andrena_cinerea LEMA,0.029354553411861297,0.04301485292433792,0.8333333333333333,1,2,2,-0.013660299512476621,0.6824283105999512,1
A5 LEMA,0.005746425891516625,0.008747169637396409,0.024999999999999998,0.3,1,1,-0.0030007437458797843,0.6569468902202571,1
A6 LEMA,0.011553576370032554,0.017639294290364257,0.13565891472868216,0.26666666666666666,3,3,-0.006085717920331702,0.6549908505321484,1
B1 LEMA,0.011547042705466035,0.01768631568551808,0.25,0.35,2,2,-0.006139272980052046,0.652880052057478,1
Eupeodes_corollae LEMA,0.028639963158956405,0.04561961683978022,0.9199999999999999,0.6,5,5,-0.016979653680823815,0.6277992921234361,1
Oedemeridae LEMA,0.0037098332076417545,0.00548095738086053,0.05,0.1,1,1,-0.001771124173218775,0.6768586124381244,1
Oedemeridae LEMA,0.0037098332076417545,0.023255813953488382,0.05,0.1,1,1,-0.01954598074584663,0.15952282792859537,1
B2 LEMA,0.013217043305275407,0.024177938061721728,0.20465116279069767,0.35,3,3,-0.010960894756446321,0.5466571744676813,1
Sphaerophoria_scripta LEMA,0.04604271845809354,0.053709261869999074,1.79,1.6,6,6,-0.007666543411905535,0.8572584477056849,1
B5 LEMA,0.0035618269460787,0.005291181177364991,0.002325581395348837,0.1,1,1,-0.0017293542312862907,0.6731629151758682,1
C1 LEMA,0.007713934799418137,0.017734274511756232,0.3023255813953488,0.2,2,2,-0.010020339712338094,0.434973237518371,1
Musca_sp. LEMA,0.021167608664083393,0.014638933334577933,0.9500000000000001,1.3,2,2,0.0065286753295054605,1.4459802623791165,1
C2 LEMA,0.0057464258915166265,0.008747169637396413,0.024999999999999998,0.3,1,1,-0.003000743745879786,0.656946890220257,1
C3 LEMA,0.009516889248802793,0.014611278119440208,0.10232558139534884,0.35,2,2,-0.005094388870637415,0.6513385872889953,1
C4 LEMA,0.022963158955558113,0.03353569830514478,0.7166666666666667,0.55,2,2,-0.010572539349586667,0.6847377605384555,1
Melyridae LEMA,0.009461693445829976,0.013711250936517549,0.15000000000000002,0.1,2,2,-0.004249557490687573,0.6900678493623357,1
Melyridae LEMA,0.009461693445829976,0.023255813953488382,0.15000000000000002,0.1,2,2,-0.013794120507658407,0.40685281817068875,1
C5 LEMA,0.016834729549148216,0.02596451142539502,0.475,0.39999999999999997,3,3,-0.009129781876246804,0.648374593818959,1
Diptera LEMA,0.005885072336886303,0.008850792011229772,0.09999999999999999,0.3,2,2,-0.0029657196743434694,0.6649204194855554,1
D1 LEMA,0.006328912022170049,0.009160614981353293,0.05,0.1,1,1,-0.0028317029591832443,0.6908828757733776,1
D2 LEMA,0.0035618269460787025,0.005291181177364989,0.002325581395348837,0.1,1,1,-0.0017293542312862864,0.673162915175869,1
D3 LEMA,0.019156370725361367,0.029175000555657728,0.1819767441860465,0.15714285714285714,4,4,-0.01001862983029636,0.6566022402918683,1
Chrysomelidae LEMA,0.003787957318288412,0.00558776519445234,0.014285714285714285,0.1,1,1,-0.0017998078761639284,0.6779020210171289,1
Chrysomelidae LEMA,0.003787957318288412,0.023255813953488382,0.014285714285714285,0.1,1,1,-0.01946785663519997,0.16288216468640165,1
Mordellidae LEMA,0.014066087596781613,0.020662826667382554,0.2342857142857143,0.1,4,4,-0.006596739070600941,0.6807436283142099,1
D4 LEMA,0.0052967359220084,0.007724184000152129,0.025,0.1,1,1,-0.002427448078143729,0.6857340428327549,1
D5 LEMA,0.017981353568172966,0.027443981261246114,0.18565891472868215,0.24000000000000005,5,5,-0.009462627693073149,0.6552020786271484,1
E1 LEMA,0.007324230861237881,0.011164724709459952,0.009302325581395349,0.1,1,1,-0.003840493848222071,0.656015356566025,1
E2 LEMA,0.01314673400446185,0.027880489521959453,0.22965116279069767,0.33999999999999997,3,3,-0.014733755517497603,0.4715388513572229,1
E3 LEMA,0.018111150696853814,0.02822114238595681,0.2569767441860465,0.3,3,3,-0.010109991689102996,0.6417582410082077,1
E4 LEMA,0.00732423086123788,0.011164724709459955,0.009302325581395349,0.1,1,1,-0.0038404938482220754,0.6560153565660247,1
E5 LEMA,0.008254695168289415,0.012662865325459722,0.029651162790697672,0.16666666666666666,2,2,-0.0044081701571703075,0.6518820943070979,1
E6 LEMA,0.006070096222851489,0.0092068768654283,0.0069767441860465115,0.1,1,1,-0.003136780642576811,0.6593002504078902,1
F1 LEMA,0.01593943010715909,0.033084313978582795,0.5249999999999999,0.525,3,3,-0.017144883871423704,0.4817820952091531,1
Scaeva_sp. LEMA,0.012472859716400065,0.021457694458086242,0.27,0.6,2,2,-0.008984834741686177,0.5812767881826055,1
F2 LEMA,0.005746425891516627,0.008747169637396413,0.024999999999999998,0.3,1,1,-0.003000743745879785,0.6569468902202571,1
F3 LEMA,0.014809795186145832,0.023740233314178027,0.3319767441860465,0.24,3,3,-0.008930438128032195,0.623826859245785,1
F4 LEMA,0.005296735922008401,0.0077241840001521294,0.025,0.1,1,1,-0.002427448078143728,0.6857340428327551,1
