species,Real_PR_Multi,Real_PR_Layer,StrengthIn,StrengthOut,DegreeIn,DegreeOut,Delta,Ratio,Plot
A2 CHFU,1.2440515249695827,1.2440515249695825,0.65,1,2,2,2.220446049250313e-16,1.0000000000000002,1
Dilophus_sp. CHFU,1.6534379599629976,1.6534379599629978,2.333333333333333,1,4,4,-2.220446049250313e-16,0.9999999999999999,1
Diptera CHFU,2.1843998778748404,2.1843998778748395,3.6666666666666665,1,5,5,8.881784197001252e-16,1.0000000000000004,1
A3 CHFU,0.5118777371666573,0.5584415584415585,0.3333333333333333,1,1,1,-0.04656382127490122,0.9166182735309909,1
Empididae CHFU,1.5326586515293719,1.441558441558442,1.8666666666666665,1.2,3,3,0.09110020997092994,1.0631956411510055,1
B1 CHFU,0.9999999999999998,0.9999999999999998,1,1,1,1,0,1,1
Eupeodes_corollae CHFU,0.9999999999999998,0.9999999999999998,1,1,2,2,0,1,1
B2 CHFU,1.3614090557749023,1.441558441558442,1.6666666666666665,1,2,2,-0.08014938578353958,0.9444008765285357,1
Sphaerophoria_scripta CHFU,0.6884521149763595,0.5584415584415585,0.5333333333333333,1.2,3,3,0.13001055653480098,1.2328096012367367,1
C4 CHFU,0.5013555664921369,0.5013555664921371,0.25,1,1,1,-2.220446049250313e-16,0.9999999999999996,1
C5 CHFU,0.8527111329842743,0.852711132984274,0.5,1,1,1,2.220446049250313e-16,1.0000000000000002,1
E2 CHFU,0.521347979238723,0.5213479792387228,0.2,1,1,1,2.220446049250313e-16,1.0000000000000004,1
E5 CHFU,0.521347979238723,0.5213479792387229,0.2,1,1,1,1.1102230246251565e-16,1.0000000000000002,1
F4 CHFU,0.5213479792387229,0.5213479792387228,0.2,1,1,1,1.1102230246251565e-16,1.0000000000000002,1
A1 LEMA,0.8382755279136539,0.8655913525101072,0.15310077519379844,1,2,2,-0.02731582459645332,0.9684425860803244,1
Dilophus_sp. LEMA,2.770822273028056,2.8963459970789787,5.052380952380953,1.0000000000000002,12,12,-0.1255237240509226,0.956661350481774,1
Psilothrix_viridicoerulea LEMA,8.296621513865032,8.607310186339173,13.395238095238096,1,20,20,-0.3106886724741411,0.9639040924809191,1
A2 LEMA,0.8249662778048932,0.8496620012366854,0.23643410852713176,1,2,2,-0.02469572343179227,0.9709346500186573,1
Odontomyia_sp. LEMA,1.291463488687482,1.335730518962392,1.7333333333333332,0.9999999999999999,6,6,-0.04426703027490997,0.9668593105821247,1
