Plot,Subplot,Plant,Seeds_GF,Fruit_GF,visits_GF,ID,homo_motif,hete_motif,Real_PR_Multi,Real_PR_Layer,StrengthIn,StrengthOut,DegreeIn,DegreeOut,Delta,Ratio
1,A1,LEMA,612,12,3,Brassicogethes_sp,30,0,0.007713536278413309,0.007658959337510232,1.0128755364806867,1,2,2,5.457694090307656e-5,1.007125895111596
1,A1,LEMA,612,12,1,Phaedon_sp,0,0,0.007713536278413309,0.007658959337510232,1.0128755364806867,1,2,2,5.457694090307656e-5,1.007125895111596
1,A2,CETE,1443,13,1,Bombilus_major,0,0,0.013888888888888888,0.013888888888888886,1,1,1,1,1.734723475976807e-18,1.0000000000000002
1,A2,LEMA,810,15,9,Brassicogethes_sp,30,0,0.010350000457500848,0.010193655174341402,0.05680842762387827,1,2,2,1.5634528315944599e-4,1.0153375095081678
1,A2,LEMA,810,15,1,Psilothrix_viridicoerulea,26,0,0.010350000457500848,0.010193655174341402,0.05680842762387827,1,2,2,1.5634528315944599e-4,1.0153375095081678
1,A3,CETE,1665,15,1,Lasioglossum_malachurum,0,3,0.008081445259736825,0.013888888888888886,1,1,1,1,-0.005807443629152061,0.5818640587010515
1,A3,LEMA,511,7,10,Brassicogethes_sp,58,0,0.01201489070444392,0.011855407542534243,0.5429184549356223,1,2,2,1.5948316190967683e-4,1.0134523559259765
1,A3,LEMA,511,7,1,Malachius_bipustulatus,1,0,0.01201489070444392,0.011855407542534243,0.5429184549356223,1,2,2,1.5948316190967683e-4,1.0134523559259765
1,A4,LEMA,923,13,8,Brassicogethes_sp,58,0,0.013001286122852642,0.012771093805469069,0.12524385485758877,1,2,2,2.3019231738357314e-4,1.0180244794134232
1,A4,LEMA,923,13,5,Psilothrix_viridicoerulea,26,0,0.013001286122852642,0.012771093805469069,0.12524385485758877,1,2,2,2.3019231738357314e-4,1.0180244794134232
1,A5,LEMA,441,7,15,Brassicogethes_sp,58,0,0.017667593819803547,0.01731180590441825,0.48255950058525166,1,3,3,3.557879153852951e-4,1.0205517504845922
1,A5,LEMA,441,7,2,Elateridae,3,0,0.017667593819803547,0.01731180590441825,0.48255950058525166,1,3,3,3.557879153852951e-4,1.0205517504845922
1,A5,LEMA,441,7,1,Psilothrix_viridicoerulea,26,0,0.017667593819803547,0.01731180590441825,0.48255950058525166,1,3,3,3.557879153852951e-4,1.0205517504845922
1,A6,LEMA,2231,23,9,Brassicogethes_sp,58,0,0.012972918676640816,0.01280558244557744,1.0568084276238783,1,3,3,1.673362310633756e-4,1.0130674439662968
1,A6,LEMA,2231,23,1,Oedemeridae,0,0,0.012972918676640816,0.01280558244557744,1.0568084276238783,1,3,3,1.673362310633756e-4,1.0130674439662968
1,A6,LEMA,2231,23,1,Psilothrix_viridicoerulea,26,0,0.012972918676640816,0.01280558244557744,1.0568084276238783,1,3,3,1.673362310633756e-4,1.0130674439662968
1,B1,CHFU,4608,64,2,Ulidiidae,6,0,0.008684672091381079,0.009085950232496406,0.15384615384615385,1,1,1,-4.0127814111532746e-4,0.9558353137704702
1,B1,LEMA,406,7,8,Brassicogethes_sp,58,0,0.012178708075467271,0.012026254336663407,1.052516582130316,1,3,3,1.5245373880386388e-4,1.0126767432765071
1,B1,LEMA,406,7,1,Mordellidae,0,0,0.012178708075467271,0.012026254336663407,1.052516582130316,1,3,3,1.5245373880386388e-4,1.0126767432765071
1,B1,LEMA,406,7,1,Psilothrix_viridicoerulea,2,0,0.012178708075467271,0.012026254336663407,1.052516582130316,1,3,3,1.5245373880386388e-4,1.0126767432765071
1,B2,LEMA,2576,32,10,Brassicogethes_sp,58,0,0.010303707071527456,0.010154643801685936,0.04291845493562232,1,1,1,1.4906326984152028e-4,1.0146793203929785
1,B3,LEMA,1117.2058823529412,15.735294117647058,8,Brassicogethes_sp,65,0,0.010396293843474238,0.010232666546996876,0.07069840031213422,1,2,2,1.6362729647736128e-4,1.015990680017359
1,B3,LEMA,1117.2058823529412,15.735294117647058,2,Psilothrix_viridicoerulea,26,0,0.010396293843474238,0.010232666546996876,0.07069840031213422,1,2,2,1.6362729647736128e-4,1.015990680017359
1,B4,CHFU,608,19,1,Ulidiidae,6,0,0.005384002712357207,0.0055846417829148705,0.07692307692307693,1,1,1,-2.0063907055766373e-4,0.964073063527283
1,B4,LEMA,2470,38,9,Brassicogethes_sp,65,0,0.015280597503955518,0.014460440114561652,1.0931720639875147,1,3,3,8.201573893938663e-4,1.056717318622133
1,B4,LEMA,2470,38,1,Empis_sp,0,1,0.015280597503955518,0.014460440114561652,1.0931720639875147,1,3,3,8.201573893938663e-4,1.056717318622133
1,B4,LEMA,2470,38,3,Psilothrix_viridicoerulea,27,0,0.015280597503955518,0.014460440114561652,1.0931720639875147,1,3,3,8.201573893938663e-4,1.056717318622133
1,B5,LEMA,1248,18,8,Brassicogethes_sp,58,0,0.009527963083681434,0.009386524127506147,0.052516582130316035,1,2,2,1.414389561752872e-4,1.0150682994316091
1,B5,LEMA,1248,18,1,Psilothrix_viridicoerulea,26,0,0.009527963083681434,0.009386524127506147,0.052516582130316035,1,2,2,1.414389561752872e-4,1.0150682994316091
1,B6,LEMA,2232,36,1,Andrena_sp,1,0,0.010626505651806525,0.010475477100389607,0.252516582130316,1,3,3,1.510285514169183e-4,1.0144173434746282
1,B6,LEMA,2232,36,8,Brassicogethes_sp,65,0,0.010626505651806525,0.010475477100389607,0.252516582130316,1,3,3,1.510285514169183e-4,1.0144173434746282
1,B6,LEMA,2232,36,1,Psilothrix_viridicoerulea,26,0,0.010626505651806525,0.010475477100389607,0.252516582130316,1,3,3,1.510285514169183e-4,1.0144173434746282
1,C1,CHFU,448,7,1,Empis_sp,0,1,0.01219629488758086,0.014300922369918428,1.1538461538461537,1,2,2,-0.0021046274823375687,0.8528327454762924
1,C1,CHFU,448,7,2,Ulidiidae,6,0,0.01219629488758086,0.014300922369918428,1.1538461538461537,1,2,2,-0.0021046274823375687,0.8528327454762924
1,C1,LEMA,216,3,6,Brassicogethes_sp,30,0,0.009076572895735725,0.00890994425836827,0.24393289114319158,1,3,3,1.6662863736745422e-4,1.0187014230993596
1,C1,LEMA,216,3,1,Elateridae,3,0,0.009076572895735725,0.00890994425836827,0.24393289114319158,1,3,3,1.6662863736745422e-4,1.0187014230993596
1,C1,LEMA,216,3,1,Psilothrix_viridicoerulea,26,0,0.009076572895735725,0.00890994425836827,0.24393289114319158,1,3,3,1.6662863736745422e-4,1.0187014230993596
1,C2,LEMA,3848.5,43,7,Brassicogethes_sp,65,0,0.009548778582985687,0.009434014402028464,0.5300429184549357,1,2,2,1.14764180957223e-4,1.012164935950548
1,C2,LEMA,3848.5,43,1,Malachius_bipustulatus,1,0,0.009548778582985687,0.009434014402028464,0.5300429184549357,1,2,2,1.14764180957223e-4,1.012164935950548
1,C2,PUPA,217.5,7.5,1,Lasioglossum_malachurum,1,2,0.0032010923421306697,0.006614114114114117,0.2,1,1,1,-0.0034130217719834477,0.48397900110307035
1,C3,LEMA,812,14,6,Brassicogethes_sp,58,0,0.007015557576249806,0.006926119614344891,0.02575107296137339,1,1,1,8.943796190491547e-5,1.0129131413958947
1,C4,LEMA,236,4,4,Brassicogethes_sp,28,0,0.006239813588403786,0.006157999940165106,0.03534920015606711,1,2,2,8.181364823867977e-5,1.0132857500866566
1,C4,LEMA,236,4,1,Psilothrix_viridicoerulea,26,0,0.006239813588403786,0.006157999940165106,0.03534920015606711,1,2,2,8.181364823867977e-5,1.0132857500866566
1,C5,LEMA,1541,23,1,Brassicogethes_sp,28,0,0.0040476290225371185,0.004023110709828987,0.14714898835070508,1,2,2,2.4518312708131373e-5,1.0060943668908315
1,C5,LEMA,1541,23,1,Musca_sp,1,0,0.0040476290225371185,0.004023110709828987,0.14714898835070508,1,2,2,2.4518312708131373e-5,1.0060943668908315
1,C6,LEMA,984,16,2,Brassicogethes_sp,28,0,0.007770034689975033,0.007706570471185865,1.0267655091689427,1,3,3,6.346421878916826e-5,1.0082350792776702
1,C6,LEMA,984,16,1,Psilothrix_viridicoerulea,26,0,0.007770034689975033,0.007706570471185865,1.0267655091689427,1,3,3,6.346421878916826e-5,1.0082350792776702
1,C6,LEMA,984,16,1,Sphaerophoria_scripta,0,0,0.007770034689975033,0.007706570471185865,1.0267655091689427,1,3,3,6.346421878916826e-5,1.0082350792776702
1,D1,CHFU,32,1,2,Ulidiidae,6,0,0.00868467209138108,0.009085950232496408,0.15384615384615385,1,1,1,-4.0127814111532746e-4,0.9558353137704702
1,D1,LEMA,832,16,4,Brassicogethes_sp,30,0,0.007108144348196586,0.007004142359655838,0.05353101833788529,1,2,2,1.0400198854074866e-4,1.0148486400190557
1,D1,LEMA,832,16,2,Psilothrix_viridicoerulea,26,0,0.007108144348196586,0.007004142359655838,0.05353101833788529,1,2,2,1.0400198854074866e-4,1.0148486400190557
1,D2,LEMA,900,12,7,Brassicogethes_sp,58,0,0.009574256469654822,0.009425535500161617,0.06640655481857198,1,2,2,1.4872096949320422e-4,1.0157785167209497
1,D2,LEMA,900,12,2,Psilothrix_viridicoerulea,26,0,0.009574256469654822,0.009425535500161617,0.06640655481857198,1,2,2,1.4872096949320422e-4,1.0157785167209497
1,D3,LEMA,248,4,3,Brassicogethes_sp,58,0,0.006286106974377176,0.006197011312820574,0.049239172844323054,1,2,2,8.909566155660201e-5,1.0143771984686034
1,D3,LEMA,248,4,2,Psilothrix_viridicoerulea,26,0,0.006286106974377176,0.006197011312820574,0.049239172844323054,1,2,2,8.909566155660201e-5,1.0143771984686034
1,D4,LEMA,864.5,13,7,Brassicogethes_sp,65,0,0.014771009331766677,0.014543054302225434,1.1209520093640266,1,3,3,2.279550295412429e-4,1.0156744948347172
1,D4,LEMA,864.5,13,1,Geometridae,0,0,0.014771009331766677,0.014543054302225434,1.1209520093640266,1,3,3,2.279550295412429e-4,1.0156744948347172
1,D4,LEMA,864.5,13,5,Psilothrix_viridicoerulea,28,0,0.014771009331766677,0.014543054302225434,1.1209520093640266,1,3,3,2.279550295412429e-4,1.0156744948347172
1,D5,LEMA,1235,19,5,Brassicogethes_sp,65,0,0.010859527801294717,0.010641240470005203,0.2941865001950839,1,3,3,2.1828733128951422e-4,1.020513335066979
1,D5,LEMA,1235,19,1,Elateridae,3,0,0.010859527801294717,0.010641240470005203,0.2941865001950839,1,3,3,2.1828733128951422e-4,1.020513335066979
1,D5,LEMA,1235,19,4,Psilothrix_viridicoerulea,27,0,0.010859527801294717,0.010641240470005203,0.2941865001950839,1,3,3,2.1828733128951422e-4,1.020513335066979
1,D6,LEMA,770,14,18,Brassicogethes_sp,59,0,0.01948499834146115,0.01915011943484021,0.13179867342957471,1,2,2,3.348789066209418e-4,1.0174870401075249
1,D6,LEMA,770,14,3,Psilothrix_viridicoerulea,26,0,0.01948499834146115,0.01915011943484021,0.13179867342957471,1,2,2,3.348789066209418e-4,1.0174870401075249
1,D6,PUPA,575,25,1,Lasioglossum_malachurum,1,2,0.0032010923421306693,0.0066141141141141165,0.2,1,1,1,-0.0034130217719834472,0.48397900110307035
1,E1,LEMA,1200,15,3,Brassicogethes_sp,58,0,0.005417776214584374,0.005350868893329847,0.031057354662504876,1,2,2,6.690732125452705e-5,1.0125040105800258
1,E1,LEMA,1200,15,1,Psilothrix_viridicoerulea,0,0,0.005417776214584374,0.005350868893329847,0.031057354662504876,1,2,2,6.690732125452705e-5,1.0125040105800258
1,E2,LEMA,994.5,13,4,Andrena_sp,1,0,0.021465883720737478,0.021196762810448935,1.6484761780899122,1,4,4,2.691209102885436e-4,1.0126963212588236
1,E2,LEMA,994.5,13,8,Brassicogethes_sp,65,0,0.021465883720737478,0.021196762810448935,1.6484761780899122,1,4,4,2.691209102885436e-4,1.0126963212588236
1,E2,LEMA,994.5,13,7,Episyrphus_balteatus,1,0,0.021465883720737478,0.021196762810448935,1.6484761780899122,1,4,4,2.691209102885436e-4,1.0126963212588236
1,E2,LEMA,994.5,13,2,Psilothrix_viridicoerulea,26,0,0.021465883720737478,0.021196762810448935,1.6484761780899122,1,4,4,2.691209102885436e-4,1.0126963212588236
1,E3,CHFU,25,1,3,Ulidiidae,6,0,0.011985341470404951,0.012587258682077941,0.23076923076923078,1,1,1,-6.019172116729903e-4,0.9521804368309348
1,E3,LEMA,875.5,17,2,Anastoechus_sp,1,0,0.011710405456032753,0.011567345974932735,0.7105995578098583,0.9999999999999999,4,4,1.430594811000184e-4,1.0123675285074067
1,E3,LEMA,875.5,17,1,Braconidae,0,0,0.011710405456032753,0.011567345974932735,0.7105995578098583,0.9999999999999999,4,4,1.430594811000184e-4,1.0123675285074067
1,E3,LEMA,875.5,17,6,Brassicogethes_sp,58,0,0.011710405456032753,0.011567345974932735,0.7105995578098583,0.9999999999999999,4,4,1.430594811000184e-4,1.0123675285074067
1,E3,LEMA,875.5,17,1,Psilothrix_viridicoerulea,26,0,0.011710405456032753,0.011567345974932735,0.7105995578098583,0.9999999999999999,4,4,1.430594811000184e-4,1.0123675285074067
1,E4,LEMA,1340,20,5,Brassicogethes_sp,58,0,0.006193520202430396,0.006118988567509632,0.02145922746781116,1,1,1,7.453163492076448e-5,1.0121803847316384
1,E5,LEMA,708,12,3,Anastoechus_sp,1,0,0.008279558027963424,0.008188031052390653,0.5406554818571986,1,3,3,9.152697557277163e-5,1.0111781422160153
1,E5,LEMA,708,12,1,Brassicogethes_sp,28,0,0.008279558027963424,0.008188031052390653,0.5406554818571986,1,3,3,9.152697557277163e-5,1.0111781422160153
1,E5,LEMA,708,12,2,Psilothrix_viridicoerulea,26,0,0.008279558027963424,0.008188031052390653,0.5406554818571986,1,3,3,9.152697557277163e-5,1.0111781422160153
1,E6,LEMA,944.1176470588234,15.735294117647058,5,Brassicogethes_sp,31,0,0.0070618509622232,0.006965130987000364,0.039641045649629336,1,2,2,9.671997522283596e-5,1.0138863110260745
1,E6,LEMA,944.1176470588234,15.735294117647058,1,Psilothrix_viridicoerulea,26,0,0.0070618509622232,0.006965130987000364,0.039641045649629336,1,2,2,9.671997522283596e-5,1.0138863110260745
1,F1,LEMA,224,4,6,Brassicogethes_sp,58,0,0.007883888336042606,0.007772262033835624,0.04393289114319157,1,2,2,1.1162630220698175e-4,1.0143621382965513
1,F1,LEMA,224,4,1,Psilothrix_viridicoerulea,26,0,0.007883888336042606,0.007772262033835624,0.04393289114319157,1,2,2,1.1162630220698175e-4,1.0143621382965513
1,F2,CHFU,401.88235294117646,12.558823529411764,1,Eucera_sp,0,0,0.013888888888888888,0.013888888888888886,1,1,1,1,1.734723475976807e-18,1.0000000000000002
1,F2,LEMA,720,12,8,Brassicogethes_sp,58,0,0.012178708075467282,0.012026254336663407,1.052516582130316,1,3,3,1.524537388038743e-4,1.012676743276508
1,F2,LEMA,720,12,1,Cylindromyia_sp,0,0,0.012178708075467282,0.012026254336663407,1.052516582130316,1,3,3,1.524537388038743e-4,1.012676743276508
1,F2,LEMA,720,12,1,Psilothrix_viridicoerulea,26,0,0.012178708075467282,0.012026254336663407,1.052516582130316,1,3,3,1.524537388038743e-4,1.012676743276508
1,F3,CHFU,144,4.5,1,Ulidiidae,6,0,0.005384002712357207,0.0055846417829148705,0.07692307692307693,1,1,1,-2.0063907055766373e-4,0.964073063527283
1,F3,LEMA,1089,18,1,Anastoechus_sp,0,0,0.010227915692822904,0.010093984219855523,0.44241990722677416,1,4,4,1.3393147296738087e-4,1.0132684448529183
1,F3,LEMA,1089,18,4,Brassicogethes_sp,37,0,0.010227915692822904,0.010093984219855523,0.44241990722677416,1,4,4,1.3393147296738087e-4,1.0132684448529183
1,F3,LEMA,1089,18,2,Episyrphus_balteatus,1,0,0.010227915692822904,0.010093984219855523,0.44241990722677416,1,4,4,1.3393147296738087e-4,1.0132684448529183
1,F3,LEMA,1089,18,2,Psilothrix_viridicoerulea,28,0,0.010227915692822904,0.010093984219855523,0.44241990722677416,1,4,4,1.3393147296738087e-4,1.0132684448529183
1,F4,LEMA,1704,24,2,Braconidae,0,0,0.020874880947946744,0.020618801009667925,1.59879976961522,1,4,4,2.5607993827881856e-4,1.0124197298455302
1,F4,LEMA,1704,24,9,Brassicogethes_sp,58,0,0.020874880947946744,0.020618801009667925,1.59879976961522,1,4,4,2.5607993827881856e-4,1.0124197298455302
1,F4,LEMA,1704,24,6,Musca_sp,1,0,0.020874880947946744,0.020618801009667925,1.59879976961522,1,4,4,2.5607993827881856e-4,1.0124197298455302
1,F4,LEMA,1704,24,2,Psilothrix_viridicoerulea,26,0,0.020874880947946744,0.020618801009667925,1.59879976961522,1,4,4,2.5607993827881856e-4,1.0124197298455302
1,F5,CHFU,32,1,2,Ulidiidae,6,0,0.00868467209138108,0.009085950232496408,0.15384615384615385,1,1,1,-4.0127814111532746e-4,0.9558353137704702
1,F5,LEMA,245,5,1,Brassicogethes_sp,28,0,0.008135751984370745,0.007516283512410782,0.24368578488750162,0.9999999999999999,3,3,6.19468471959963e-4,1.0824168581370175
1,F5,LEMA,245,5,1,Lasioglossum_malachurum,1,2,0.008135751984370745,0.007516283512410782,0.24368578488750162,0.9999999999999999,3,3,6.19468471959963e-4,1.0824168581370175
1,F5,LEMA,245,5,4,Psilothrix_viridicoerulea,26,0,0.008135751984370745,0.007516283512410782,0.24368578488750162,0.9999999999999999,3,3,6.19468471959963e-4,1.0824168581370175
1,F6,LEMA,372,6,2,Brassicogethes_sp,30,0,0.014573714590692018,0.011887667342423558,1.060098842502276,1,4,4,0.00268604724826846,1.2259524237091288
1,F6,LEMA,372,6,1,Elateridae,3,0,0.014573714590692018,0.011887667342423558,1.060098842502276,1,4,4,0.00268604724826846,1.2259524237091288
1,F6,LEMA,372,6,5,Lasioglossum_malachurum,1,5,0.014573714590692018,0.011887667342423558,1.060098842502276,1,4,4,0.00268604724826846,1.2259524237091288
1,F6,LEMA,372,6,1,Psilothrix_viridicoerulea,26,0,0.014573714590692018,0.011887667342423558,1.060098842502276,1,4,4,0.00268604724826846,1.2259524237091288
1,F6,PUPA,287.5,12.5,3,Lasioglossum_malachurum,2,4,0.00543661035972534,0.015675675675675686,0.6,1,1,1,-0.010239065315950344,0.3468182470859267
2,A1,LEMA,756,6,4,Brassicogethes_sp,33,0,0.0051015928038417495,0.004744945954187467,0.026143790849673203,1,1,1,3.566468496542822e-4,1.0751635220079878
2,A2,CHFU,139.55555555555554,4.361111111111111,4,Ulidiidae,5,0,0.005453975074464663,0.012260698198198194,0.23529411764705882,1,1,1,-0.006806723123733531,0.4448339716302753
2,A2,LEMA,462,6,1,Anastoechus_sp,3,4,0.009571914487867123,0.008569273208431738,0.46345811051693403,1,3,3,0.0010026412794353848,1.117004237704644
2,A2,LEMA,462,6,1,Braconidae,0,0,0.009571914487867123,0.008569273208431738,0.46345811051693403,1,3,3,0.0010026412794353848,1.117004237704644
2,A2,LEMA,462,6,6,Brassicogethes_sp,38,0,0.009571914487867123,0.008569273208431738,0.46345811051693403,1,3,3,0.0010026412794353848,1.117004237704644
2,A2,PUPA,611,13,1,Lasioglossum_malachurum,2,1,0.00241461548043073,0.004347952628524449,0.2,1,1,1,-0.001933337148093719,0.555345397415282
2,A3,CETE,3990,21,1,Bombilus_major,1,1,0.0042206167623740146,0.005774211711711715,0.2,1,1,1,-0.0015535949493377006,0.7309425031668694
