name,Plot,consp_prob_UNCOUPLED,heter_prob_UNCOUPLED,type,layer,number_plant_nodes_with_visits
A2 CETE,1,0.01020408163265306,0,plant,CETE,49
A3 CETE,1,0.01020408163265306,0,plant,CETE,49
B1 CHFU,1,0.010204081713067775,0,plant,CHFU,49
B4 CHFU,1,0.005102040856533888,0,plant,CHFU,49
C1 CHFU,1,0.015306122569601665,0,plant,CHFU,49
D1 CHFU,1,0.010204081713067775,0,plant,CHFU,49
E3 CHFU,1,0.015306122569601665,0,plant,CHFU,49
F2 CHFU,1,0.01020408163265306,0,plant,CHFU,49
F3 CHFU,1,0.005102040856533888,0,plant,CHFU,49
F5 CHFU,1,0.010204081713067775,0,plant,CHFU,49
A1 LEMA,1,0.004347301048473448,0,plant,LEMA,49
A2 LEMA,1,0.010868252621183627,0,plant,LEMA,49
A3 LEMA,1,0.011955077883301985,0,plant,LEMA,49
A4 LEMA,1,0.014128728407538706,0,plant,LEMA,49
A5 LEMA,1,0.01956285471813052,0,plant,LEMA,49
A6 LEMA,1,0.01195507788330199,0,plant,LEMA,49
B1 LEMA,1,0.010868252621183627,0,plant,LEMA,49
B2 LEMA,1,0.010868252621183615,0,plant,LEMA,49
B3 LEMA,1,0.010868252621183615,0,plant,LEMA,49
B4 LEMA,1,0.014128728407538706,0,plant,LEMA,49
B5 LEMA,1,0.00978142735906526,0,plant,LEMA,49
B6 LEMA,1,0.010868252621183627,0,plant,LEMA,49
C1 LEMA,1,0.008694602096946898,0,plant,LEMA,49
C2 LEMA,1,0.008694602096946901,0,plant,LEMA,49
C3 LEMA,1,0.006520951572710175,0,plant,LEMA,49
C4 LEMA,1,0.0054341263105918075,0,plant,LEMA,49
C5 LEMA,1,0.0021736505242367244,0,plant,LEMA,49
C6 LEMA,1,0.004347301048473445,0,plant,LEMA,49
D1 LEMA,1,0.006520951572710175,0,plant,LEMA,49
D2 LEMA,1,0.009781427359065266,0,plant,LEMA,49
D3 LEMA,1,0.005434126310591811,0,plant,LEMA,49
D4 LEMA,1,0.014128728407538706,0,plant,LEMA,49
D5 LEMA,1,0.010868252621183627,0,plant,LEMA,49
D6 LEMA,1,0.02282333050448561,0,plant,LEMA,49
E1 LEMA,1,0.004347301048473448,0,plant,LEMA,49
E2 LEMA,1,0.02282333050448561,0,plant,LEMA,49
E3 LEMA,1,0.010868252621183627,0,plant,LEMA,49
E4 LEMA,1,0.0054341263105918075,0,plant,LEMA,49
E5 LEMA,1,0.006520951572710175,0,plant,LEMA,49
E6 LEMA,1,0.006520951572710175,0,plant,LEMA,49
F1 LEMA,1,0.0076077768348285345,0,plant,LEMA,49
F2 LEMA,1,0.010868252621183627,0,plant,LEMA,49
F3 LEMA,1,0.00978142735906526,0,plant,LEMA,49
F4 LEMA,1,0.020649679980248883,0,plant,LEMA,49
F5 LEMA,1,0.006520951572710177,0,plant,LEMA,49
F6 LEMA,1,0.00978142735906526,0,plant,LEMA,49
C2 PUPA,1,0.006122448979591837,0,plant,PUPA,49
D6 PUPA,1,0.006122448979591837,0,plant,PUPA,49
F6 PUPA,1,0.01836734693877551,0,plant,PUPA,49
A4 BEMA,2,0.007575757575757576,0,plant,BEMA,66
A3 CETE,2,0.006060606360991082,0,plant,CETE,66
A5 CETE,2,0.012121212721982164,0,plant,CETE,66
B1 CETE,2,0.00505050505050505,0,plant,CETE,66
B2 CETE,2,0.006060606360991082,0,plant,CETE,66
C6 CETE,2,0.007575757575757576,0,plant,CETE,66
D2 CETE,2,0.007575757575757576,0,plant,CETE,66
E2 CETE,2,0.007575757575757576,0,plant,CETE,66
E4 CETE,2,0.007575757575757576,0,plant,CETE,66
E5 CETE,2,0.0101010101010101,0,plant,CETE,66
F3 CETE,2,0.006060606360991082,0,plant,CETE,66
A2 CHFU,2,0.017825311942959002,0,plant,CHFU,66
A3 CHFU,2,0.004456327985739751,0,plant,CHFU,66
A5 CHFU,2,0.004456327985739751,0,plant,CHFU,66
B2 CHFU,2,0.008912655971479501,0,plant,CHFU,66
B3 CHFU,2,0.004456327985739751,0,plant,CHFU,66
C1 CHFU,2,0.013368983957219253,0,plant,CHFU,66
C2 CHFU,2,0.008912655971479501,0,plant,CHFU,66
D1 CHFU,2,0.007575757575757576,0,plant,CHFU,66
D4 CHFU,2,0.004456327985739751,0,plant,CHFU,66
E2 CHFU,2,0.007575757575757576,0,plant,CHFU,66
E3 CHFU,2,0.004456327985739751,0,plant,CHFU,66
F2 CHFU,2,0.004456327985739751,0,plant,CHFU,66
A1 LEMA,2,0.00409500408344934,0,plant,LEMA,66
A2 LEMA,2,0.00819000816689868,0,plant,LEMA,66
A3 LEMA,2,0.006142506125174018,0,plant,LEMA,66
A4 LEMA,2,0.003071253062587009,0,plant,LEMA,66
A5 LEMA,2,0.003071253062587009,0,plant,LEMA,66
A6 LEMA,2,0.006142506125174011,0,plant,LEMA,66
B1 LEMA,2,0.007166257146036346,0,plant,LEMA,66
B2 LEMA,2,0.01330876327121036,0,plant,LEMA,66
B3 LEMA,2,0.013308763271210385,0,plant,LEMA,66
B4 LEMA,2,0.016380016333797355,0,plant,LEMA,66
B5 LEMA,2,0.015356265312935031,0,plant,LEMA,66
B6 LEMA,2,0.011261261229485712,0,plant,LEMA,66
C2 LEMA,2,0.005118755104311678,0,plant,LEMA,66
C3 LEMA,2,0.00819000816689868,0,plant,LEMA,66
C4 LEMA,2,0.008190008166898683,0,plant,LEMA,66
C5 LEMA,2,0.008190008166898698,0,plant,LEMA,66
C6 LEMA,2,0.005118755104311678,0,plant,LEMA,66
D1 LEMA,2,0.005118755104311678,0,plant,LEMA,66
D2 LEMA,2,0.007166257146036353,0,plant,LEMA,66
D3 LEMA,2,0.00409500408344934,0,plant,LEMA,66
D4 LEMA,2,0.00409500408344934,0,plant,LEMA,66
D5 LEMA,2,0.005118755104311678,0,plant,LEMA,66
D6 LEMA,2,0.007166257146036353,0,plant,LEMA,66
E1 LEMA,2,0.008190008166898678,0,plant,LEMA,66
E2 LEMA,2,0.011261261229485705,0,plant,LEMA,66
E3 LEMA,2,0.007166257146036346,0,plant,LEMA,66
E4 LEMA,2,0.008190008166898678,0,plant,LEMA,66
E5 LEMA,2,0.007166257146036346,0,plant,LEMA,66
E6 LEMA,2,0.003071253062587009,0,plant,LEMA,66
F1 LEMA,2,0.011261261229485705,0,plant,LEMA,66
F2 LEMA,2,0.009213759187761014,0,plant,LEMA,66
F3 LEMA,2,0.005118755104311678,0,plant,LEMA,66
F4 LEMA,2,0.01330876327121036,0,plant,LEMA,66
F5 LEMA,2,0.0030712530625870054,0,plant,LEMA,66
F6 LEMA,2,0.003071253062587009,0,plant,LEMA,66
A2 PUPA,2,0.0031194295683471623,0,plant,PUPA,66
A5 PUPA,2,0.0062388591366943245,0,plant,PUPA,66
A6 PUPA,2,0.0062388591366943245,0,plant,PUPA,66
B1 PUPA,2,0.0062388591366943245,0,plant,PUPA,66
C2 PUPA,2,0.007575757575757576,0,plant,PUPA,66
C5 PUPA,2,0.0062388591366943245,0,plant,PUPA,66
C6 PUPA,2,0.02183600697843014,0,plant,PUPA,66
E6 PUPA,2,0.0031194295683471623,0,plant,PUPA,66
A3 CETE,3,0.007575757575757576,0,plant,CETE,66
B5 CETE,3,0.007575757575757576,0,plant,CETE,66
A1 CHFU,3,0.005208333305157813,0,plant,CHFU,66
A4 CHFU,3,0.005208333305157813,0,plant,CHFU,66
B3 CHFU,3,0.005208333305157813,0,plant,CHFU,66
B6 CHFU,3,0.007575757575757576,0,plant,CHFU,66
C1 CHFU,3,0.005208333305157813,0,plant,CHFU,66
C3 CHFU,3,0.010416666610315626,0,plant,CHFU,66
C6 CHFU,3,0.007575757575757576,0,plant,CHFU,66
D1 CHFU,3,0.007575757575757576,0,plant,CHFU,66
D2 CHFU,3,0.005208333305157813,0,plant,CHFU,66
D4 CHFU,3,0.005208333305157813,0,plant,CHFU,66
E4 CHFU,3,0.015624999915473439,0,plant,CHFU,66
F2 CHFU,3,0.010416666610315628,0,plant,CHFU,66
F4 CHFU,3,0.010416666610315628,0,plant,CHFU,66
F6 CHFU,3,0.005208333305157813,0,plant,CHFU,66
A4 CHMI,3,0.00505050505050505,0,plant,CHMI,66
C1 CHMI,3,0.009090909220546844,0,plant,CHMI,66
C2 CHMI,3,0.0101010101010101,0,plant,CHMI,66
F6 CHMI,3,0.006060606147031229,0,plant,CHMI,66
A1 LEMA,3,0.00833333316222698,0,plant,LEMA,66
A2 LEMA,3,0.006666666529781588,0,plant,LEMA,66
A3 LEMA,3,0.00499999989733619,0,plant,LEMA,66
A4 LEMA,3,0.00999999979467238,0,plant,LEMA,66
A5 LEMA,3,0.011666666427117786,0,plant,LEMA,66
A6 LEMA,3,0.00833333316222698,0,plant,LEMA,66
B1 LEMA,3,0.001666666632445397,0,plant,LEMA,66
B2 LEMA,3,0.003333333264890794,0,plant,LEMA,66
B3 LEMA,3,0.003333333264890794,0,plant,LEMA,66
B4 LEMA,3,0.00499999989733619,0,plant,LEMA,66
B5 LEMA,3,0.00999999979467238,0,plant,LEMA,66
B6 LEMA,3,0.00833333316222698,0,plant,LEMA,66
C1 LEMA,3,0.001666666632445397,0,plant,LEMA,66
C2 LEMA,3,0.00999999979467238,0,plant,LEMA,66
C3 LEMA,3,0.014999999692008574,0,plant,LEMA,66
C4 LEMA,3,0.01166666642711778,0,plant,LEMA,66
C5 LEMA,3,0.001666666632445397,0,plant,LEMA,66
D2 LEMA,3,0.006666666529781589,0,plant,LEMA,66
D3 LEMA,3,0.006666666529781588,0,plant,LEMA,66
D5 LEMA,3,0.006666666529781589,0,plant,LEMA,66
D6 LEMA,3,0.006666666529781588,0,plant,LEMA,66
E1 LEMA,3,0.013333333059563177,0,plant,LEMA,66
E2 LEMA,3,0.011666666427117786,0,plant,LEMA,66
E3 LEMA,3,0.00499999989733619,0,plant,LEMA,66
E4 LEMA,3,0.00499999989733619,0,plant,LEMA,66
E5 LEMA,3,0.003333333264890794,0,plant,LEMA,66
E6 LEMA,3,0.003333333264890794,0,plant,LEMA,66
F1 LEMA,3,0.00833333316222698,0,plant,LEMA,66
F2 LEMA,3,0.00999999979467238,0,plant,LEMA,66
F3 LEMA,3,0.01666666632445396,0,plant,LEMA,66
F4 LEMA,3,0.006666666529781589,0,plant,LEMA,66
F5 LEMA,3,0.006666666529781588,0,plant,LEMA,66
F6 LEMA,3,0.011666666427117786,0,plant,LEMA,66
A3 PUPA,3,0.0029325512714093974,0,plant,PUPA,66
A4 PUPA,3,0.007575757575757576,0,plant,PUPA,66
B1 PUPA,3,0.005865102542818795,0,plant,PUPA,66
B4 PUPA,3,0.005865102542818795,0,plant,PUPA,66
B5 PUPA,3,0.00879765381422819,0,plant,PUPA,66
C3 PUPA,3,0.005865102542818795,0,plant,PUPA,66
D4 PUPA,3,0.005865102542818795,0,plant,PUPA,66
D5 PUPA,3,0.01759530762845638,0,plant,PUPA,66
E1 PUPA,3,0.005865102542818795,0,plant,PUPA,66
E2 PUPA,3,0.005865102542818795,0,plant,PUPA,66
F1 PUPA,3,0.00879765381422819,0,plant,PUPA,66
F4 PUPA,3,0.005865102542818795,0,plant,PUPA,66
F6 PUPA,3,0.01173020508563759,0,plant,PUPA,66
A1 LEMA,4,0.00574425557018688,0,plant,LEMA,26
A2 LEMA,4,0.01723276671056064,0,plant,LEMA,26
A4 LEMA,4,0.00574425557018688,0,plant,LEMA,26
A6 LEMA,4,0.017232766710560638,0,plant,LEMA,26
B1 LEMA,4,0.01148851114037376,0,plant,LEMA,26
B2 LEMA,4,0.02297702228074752,0,plant,LEMA,26
B3 LEMA,4,0.019230769230769232,0,plant,LEMA,26
B5 LEMA,4,0.017232766710560638,0,plant,LEMA,26
C1 LEMA,4,0.02297702228074752,0,plant,LEMA,26
C2 LEMA,4,0.017232766710560638,0,plant,LEMA,26
C3 LEMA,4,0.06318681127205568,0,plant,LEMA,26
C4 LEMA,4,0.02297702228074752,0,plant,LEMA,26
C5 LEMA,4,0.017232766710560638,0,plant,LEMA,26
D1 LEMA,4,0.034465533421121276,0,plant,LEMA,26
D2 LEMA,4,0.017232766710560624,0,plant,LEMA,26
D3 LEMA,4,0.019230769230769232,0,plant,LEMA,26
D6 LEMA,4,0.00574425557018688,0,plant,LEMA,26
E1 LEMA,4,0.034465533421121276,0,plant,LEMA,26
E2 LEMA,4,0.00574425557018688,0,plant,LEMA,26
E3 LEMA,4,0.005744255570186881,0,plant,LEMA,26
E5 LEMA,4,0.034465533421121276,0,plant,LEMA,26
