Plot,L,m
1_120_intralinks20_interlinks60_individuals25_pollinators,3.75362,16
10_120_intralinks20_interlinks60_individuals25_pollinators,3.8498399999999995,20
100_120_intralinks20_interlinks60_individuals25_pollinators,3.8157099999999997,22
11_120_intralinks20_interlinks60_individuals25_pollinators,3.7242800000000003,16
12_120_intralinks20_interlinks60_individuals25_pollinators,3.7467200000000003,15
13_120_intralinks20_interlinks60_individuals25_pollinators,3.79795,18
14_120_intralinks20_interlinks60_individuals25_pollinators,3.8149399999999996,19
15_120_intralinks20_interlinks60_individuals25_pollinators,3.88278,17
16_120_intralinks20_interlinks60_individuals25_pollinators,3.84328,21
17_120_intralinks20_interlinks60_individuals25_pollinators,3.70048,18
18_120_intralinks20_interlinks60_individuals25_pollinators,3.90347,18
19_120_intralinks20_interlinks60_individuals25_pollinators,3.62827,16
2_120_intralinks20_interlinks60_individuals25_pollinators,3.69454,14
20_120_intralinks20_interlinks60_individuals25_pollinators,3.85715,17
21_120_intralinks20_interlinks60_individuals25_pollinators,3.6626499999999997,18
22_120_intralinks20_interlinks60_individuals25_pollinators,3.81153,12
23_120_intralinks20_interlinks60_individuals25_pollinators,3.8119199999999998,15
24_120_intralinks20_interlinks60_individuals25_pollinators,3.69003,14
25_120_intralinks20_interlinks60_individuals25_pollinators,3.6875400000000003,21
26_120_intralinks20_interlinks60_individuals25_pollinators,3.79845,18
27_120_intralinks20_interlinks60_individuals25_pollinators,3.78625,18
28_120_intralinks20_interlinks60_individuals25_pollinators,3.8167599999999995,18
29_120_intralinks20_interlinks60_individuals25_pollinators,3.77028,15
3_120_intralinks20_interlinks60_individuals25_pollinators,3.6905900000000003,15
30_120_intralinks20_interlinks60_individuals25_pollinators,3.7579100000000003,18
31_120_intralinks20_interlinks60_individuals25_pollinators,3.8115999999999994,19
32_120_intralinks20_interlinks60_individuals25_pollinators,3.71213,20
33_120_intralinks20_interlinks60_individuals25_pollinators,3.6011200000000003,18
34_120_intralinks20_interlinks60_individuals25_pollinators,3.8544399999999994,20
35_120_intralinks20_interlinks60_individuals25_pollinators,3.80869,17
36_120_intralinks20_interlinks60_individuals25_pollinators,3.74584,18
37_120_intralinks20_interlinks60_individuals25_pollinators,3.67209,16
38_120_intralinks20_interlinks60_individuals25_pollinators,3.8525599999999995,21
39_120_intralinks20_interlinks60_individuals25_pollinators,3.81878,17
4_120_intralinks20_interlinks60_individuals25_pollinators,3.6920599999999997,18
40_120_intralinks20_interlinks60_individuals25_pollinators,3.72167,19
41_120_intralinks20_interlinks60_individuals25_pollinators,3.78365,19
42_120_intralinks20_interlinks60_individuals25_pollinators,3.6384499999999997,14
43_120_intralinks20_interlinks60_individuals25_pollinators,3.75168,17
44_120_intralinks20_interlinks60_individuals25_pollinators,3.70595,15
45_120_intralinks20_interlinks60_individuals25_pollinators,3.86471,16
46_120_intralinks20_interlinks60_individuals25_pollinators,3.79022,18
47_120_intralinks20_interlinks60_individuals25_pollinators,3.7638300000000005,16
48_120_intralinks20_interlinks60_individuals25_pollinators,3.58048,20
49_120_intralinks20_interlinks60_individuals25_pollinators,3.67908,15
5_120_intralinks20_interlinks60_individuals25_pollinators,3.74,16
50_120_intralinks20_interlinks60_individuals25_pollinators,3.7909900000000003,13
51_120_intralinks20_interlinks60_individuals25_pollinators,3.7101200000000003,17
52_120_intralinks20_interlinks60_individuals25_pollinators,3.9198199999999996,18
53_120_intralinks20_interlinks60_individuals25_pollinators,3.77516,18
54_120_intralinks20_interlinks60_individuals25_pollinators,3.9216699999999998,17
55_120_intralinks20_interlinks60_individuals25_pollinators,3.7614,20
56_120_intralinks20_interlinks60_individuals25_pollinators,3.6518399999999995,16
57_120_intralinks20_interlinks60_individuals25_pollinators,3.71222,17
58_120_intralinks20_interlinks60_individuals25_pollinators,3.6135200000000003,16
59_120_intralinks20_interlinks60_individuals25_pollinators,3.8946199999999997,16
6_120_intralinks20_interlinks60_individuals25_pollinators,3.71467,15
60_120_intralinks20_interlinks60_individuals25_pollinators,3.8026499999999994,14
61_120_intralinks20_interlinks60_individuals25_pollinators,3.6897,16
62_120_intralinks20_interlinks60_individuals25_pollinators,3.7743,19
63_120_intralinks20_interlinks60_individuals25_pollinators,3.70268,17
64_120_intralinks20_interlinks60_individuals25_pollinators,3.96388,18
65_120_intralinks20_interlinks60_individuals25_pollinators,3.7939200000000004,18
66_120_intralinks20_interlinks60_individuals25_pollinators,3.80016,21
67_120_intralinks20_interlinks60_individuals25_pollinators,3.80453,15
68_120_intralinks20_interlinks60_individuals25_pollinators,3.78645,18
69_120_intralinks20_interlinks60_individuals25_pollinators,3.87389,18
7_120_intralinks20_interlinks60_individuals25_pollinators,3.6995,16
70_120_intralinks20_interlinks60_individuals25_pollinators,3.6525499999999997,16
71_120_intralinks20_interlinks60_individuals25_pollinators,3.77996,18
72_120_intralinks20_interlinks60_individuals25_pollinators,3.89742,18
73_120_intralinks20_interlinks60_individuals25_pollinators,3.94636,14
