Plot,ID,Subplot,Plant,Visits_tot,homo_motif,hete_motif,Week
1_120_intralinks20_interlinks60_individuals25_pollinators,pol_sp_16,ind_7,plant_sp_1,1,0,0,9
1_120_intralinks20_interlinks60_individuals25_pollinators,pol_sp_17,ind_7,plant_sp_1,1,0,0,9
1_120_intralinks20_interlinks60_individuals25_pollinators,pol_sp_21,ind_3,plant_sp_2,1,0,0,10
1_120_intralinks20_interlinks60_individuals25_pollinators,pol_sp_16,ind_4,plant_sp_1,1,2,0,10
1_120_intralinks20_interlinks60_individuals25_pollinators,pol_sp_16,ind_5,plant_sp_1,2,2,0,10
1_120_intralinks20_interlinks60_individuals25_pollinators,pol_sp_19,ind_6,plant_sp_1,1,0,0,10
1_120_intralinks20_interlinks60_individuals25_pollinators,pol_sp_16,ind_7,plant_sp_1,1,2,0,10
1_120_intralinks20_interlinks60_individuals25_pollinators,pol_sp_12,ind_8,plant_sp_1,1,0,0,10
1_120_intralinks20_interlinks60_individuals25_pollinators,pol_sp_4,ind_1,plant_sp_1,1,0,0,11
1_120_intralinks20_interlinks60_individuals25_pollinators,pol_sp_15,ind_10,plant_sp_1,1,0,0,11
1_120_intralinks20_interlinks60_individuals25_pollinators,pol_sp_24,ind_2,plant_sp_2,1,0,0,11
1_120_intralinks20_interlinks60_individuals25_pollinators,pol_sp_16,ind_3,plant_sp_1,1,2,0,11
1_120_intralinks20_interlinks60_individuals25_pollinators,pol_sp_17,ind_3,plant_sp_1,1,0,0,11
1_120_intralinks20_interlinks60_individuals25_pollinators,pol_sp_19,ind_3,plant_sp_1,1,1,0,11
1_120_intralinks20_interlinks60_individuals25_pollinators,pol_sp_12,ind_4,plant_sp_1,1,2,0,11
1_120_intralinks20_interlinks60_individuals25_pollinators,pol_sp_16,ind_5,plant_sp_1,2,2,0,11
1_120_intralinks20_interlinks60_individuals25_pollinators,pol_sp_19,ind_6,plant_sp_1,3,1,0,11
1_120_intralinks20_interlinks60_individuals25_pollinators,pol_sp_16,ind_7,plant_sp_1,1,2,0,11
1_120_intralinks20_interlinks60_individuals25_pollinators,pol_sp_12,ind_8,plant_sp_1,3,2,0,11
1_120_intralinks20_interlinks60_individuals25_pollinators,pol_sp_12,ind_9,plant_sp_1,2,2,0,11
1_120_intralinks20_interlinks60_individuals25_pollinators,pol_sp_22,ind_9,plant_sp_2,1,0,0,11
1_120_intralinks20_interlinks60_individuals25_pollinators,pol_sp_4,ind_1,plant_sp_1,3,0,0,12
1_120_intralinks20_interlinks60_individuals25_pollinators,pol_sp_16,ind_10,plant_sp_1,1,2,0,12
1_120_intralinks20_interlinks60_individuals25_pollinators,pol_sp_12,ind_11,plant_sp_3,1,0,3,12
1_120_intralinks20_interlinks60_individuals25_pollinators,pol_sp_5,ind_12,plant_sp_4,1,1,0,12
1_120_intralinks20_interlinks60_individuals25_pollinators,pol_sp_17,ind_2,plant_sp_1,1,2,0,12
1_120_intralinks20_interlinks60_individuals25_pollinators,pol_sp_24,ind_2,plant_sp_2,1,0,0,12
1_120_intralinks20_interlinks60_individuals25_pollinators,pol_sp_6,ind_2,plant_sp_3,1,1,0,12
1_120_intralinks20_interlinks60_individuals25_pollinators,pol_sp_17,ind_3,plant_sp_1,1,2,0,12
1_120_intralinks20_interlinks60_individuals25_pollinators,pol_sp_21,ind_3,plant_sp_2,1,0,0,12
1_120_intralinks20_interlinks60_individuals25_pollinators,pol_sp_12,ind_4,plant_sp_1,1,2,1,12
1_120_intralinks20_interlinks60_individuals25_pollinators,pol_sp_16,ind_4,plant_sp_1,1,2,0,12
1_120_intralinks20_interlinks60_individuals25_pollinators,pol_sp_16,ind_5,plant_sp_1,3,2,0,12
1_120_intralinks20_interlinks60_individuals25_pollinators,pol_sp_19,ind_6,plant_sp_1,2,0,0,12
1_120_intralinks20_interlinks60_individuals25_pollinators,pol_sp_6,ind_6,plant_sp_3,1,1,0,12
1_120_intralinks20_interlinks60_individuals25_pollinators,pol_sp_17,ind_7,plant_sp_1,1,2,0,12
1_120_intralinks20_interlinks60_individuals25_pollinators,pol_sp_12,ind_8,plant_sp_1,3,2,1,12
1_120_intralinks20_interlinks60_individuals25_pollinators,pol_sp_5,ind_8,plant_sp_4,1,1,0,12
1_120_intralinks20_interlinks60_individuals25_pollinators,pol_sp_12,ind_9,plant_sp_1,1,2,1,12
1_120_intralinks20_interlinks60_individuals25_pollinators,pol_sp_18,ind_9,plant_sp_3,1,0,0,12
1_120_intralinks20_interlinks60_individuals25_pollinators,pol_sp_4,ind_1,plant_sp_1,1,0,0,13
1_120_intralinks20_interlinks60_individuals25_pollinators,pol_sp_24,ind_1,plant_sp_2,2,2,0,13
1_120_intralinks20_interlinks60_individuals25_pollinators,pol_sp_11,ind_1,plant_sp_3,1,2,0,13
