name,Plot,consp_prob,heter_prob,type,layer,number_plant_nodes_with_visits
ind_1 plant_sp_1,1_120_intralinks20_interlinks60_individuals25_pollinators,9.2480073128648e-4,0.004624003656432401,plant,plant_sp_1,60
ind_1 plant_sp_2,1_120_intralinks20_interlinks60_individuals25_pollinators,0.0016547051937854237,0.0082735259689271,plant,plant_sp_2,60
ind_1 plant_sp_3,1_120_intralinks20_interlinks60_individuals25_pollinators,0.0022782564053619833,0.009113025621447945,plant,plant_sp_3,60
ind_1 plant_sp_4,1_120_intralinks20_interlinks60_individuals25_pollinators,0.0014653917330577503,0.0052979547272087885,plant,plant_sp_4,60
ind_1 plant_sp_5,1_120_intralinks20_interlinks60_individuals25_pollinators,0.0015924848765370054,0.0047774546296110165,plant,plant_sp_5,60
ind_10 plant_sp_1,1_120_intralinks20_interlinks60_individuals25_pollinators,6.893383705183027e-4,0.0034466918525915156,plant,plant_sp_1,60
ind_10 plant_sp_2,1_120_intralinks20_interlinks60_individuals25_pollinators,6.618820775141698e-4,0.003309410387570842,plant,plant_sp_2,60
ind_10 plant_sp_3,1_120_intralinks20_interlinks60_individuals25_pollinators,0.0021450787598934224,0.008580315039573702,plant,plant_sp_3,60
ind_10 plant_sp_4,1_120_intralinks20_interlinks60_individuals25_pollinators,8.147006272213401e-4,0.0029454561138002296,plant,plant_sp_4,60
ind_10 plant_sp_5,1_120_intralinks20_interlinks60_individuals25_pollinators,0.0030959937775080154,0.009287981332524045,plant,plant_sp_5,60
ind_11 plant_sp_3,1_120_intralinks20_interlinks60_individuals25_pollinators,7.842526336192321e-4,0.0031370105344769327,plant,plant_sp_3,60
ind_11 plant_sp_4,1_120_intralinks20_interlinks60_individuals25_pollinators,0.001184427994859092,0.004282162750644409,plant,plant_sp_4,60
ind_11 plant_sp_5,1_120_intralinks20_interlinks60_individuals25_pollinators,0.002122936249486551,0.006368808748459654,plant,plant_sp_5,60
ind_12 plant_sp_3,1_120_intralinks20_interlinks60_individuals25_pollinators,0.0018653222558508236,0.007461289023403305,plant,plant_sp_3,60
ind_12 plant_sp_4,1_120_intralinks20_interlinks60_individuals25_pollinators,9.504840650915639e-4,0.003436365466100269,plant,plant_sp_4,60
