Plot,L,m
1_160_intralinks20_interlinks80_individuals25_pollinators,3.93891,16
10_160_intralinks20_interlinks80_individuals25_pollinators,4.13655,14
100_160_intralinks20_interlinks80_individuals25_pollinators,3.9780399999999996,18
11_160_intralinks20_interlinks80_individuals25_pollinators,4.0121899999999995,20
12_160_intralinks20_interlinks80_individuals25_pollinators,3.8416399999999995,16
13_160_intralinks20_interlinks80_individuals25_pollinators,4.05476,20
14_160_intralinks20_interlinks80_individuals25_pollinators,3.99327,18
15_160_intralinks20_interlinks80_individuals25_pollinators,3.8857999999999997,16
16_160_intralinks20_interlinks80_individuals25_pollinators,3.86063,14
17_160_intralinks20_interlinks80_individuals25_pollinators,3.91733,18
18_160_intralinks20_interlinks80_individuals25_pollinators,3.94209,13
19_160_intralinks20_interlinks80_individuals25_pollinators,3.93739,16
2_160_intralinks20_interlinks80_individuals25_pollinators,3.82047,15
20_160_intralinks20_interlinks80_individuals25_pollinators,3.8319999999999994,16
21_160_intralinks20_interlinks80_individuals25_pollinators,3.8979399999999997,18
22_160_intralinks20_interlinks80_individuals25_pollinators,3.96562,16
23_160_intralinks20_interlinks80_individuals25_pollinators,4.03305,18
24_160_intralinks20_interlinks80_individuals25_pollinators,3.8793999999999995,19
25_160_intralinks20_interlinks80_individuals25_pollinators,4.06657,18
26_160_intralinks20_interlinks80_individuals25_pollinators,4.0051,16
27_160_intralinks20_interlinks80_individuals25_pollinators,4.0498400000000006,17
28_160_intralinks20_interlinks80_individuals25_pollinators,3.8984799999999997,21
29_160_intralinks20_interlinks80_individuals25_pollinators,3.9106799999999997,18
3_160_intralinks20_interlinks80_individuals25_pollinators,4.0715900000000005,19
30_160_intralinks20_interlinks80_individuals25_pollinators,3.8827,15
31_160_intralinks20_interlinks80_individuals25_pollinators,3.8808599999999998,14
32_160_intralinks20_interlinks80_individuals25_pollinators,3.96537,19
33_160_intralinks20_interlinks80_individuals25_pollinators,3.9395,20
34_160_intralinks20_interlinks80_individuals25_pollinators,3.99399,17
35_160_intralinks20_interlinks80_individuals25_pollinators,4.02139,15
36_160_intralinks20_interlinks80_individuals25_pollinators,4.01769,13
37_160_intralinks20_interlinks80_individuals25_pollinators,3.92272,15
38_160_intralinks20_interlinks80_individuals25_pollinators,3.8742799999999997,20
39_160_intralinks20_interlinks80_individuals25_pollinators,3.9645300000000003,19
4_160_intralinks20_interlinks80_individuals25_pollinators,3.8770399999999996,15
