species,Real_PR_Multi,Real_PR_Layer,StrengthIn,StrengthOut,DegreeIn,DegreeOut,Delta,Ratio,Plot
ind_1 plant_sp_1,0.005714101237499173,0.009891492307916017,0.3301997649823737,1,2,2,-0.004177391070416844,0.5776783785118309,1_125_intralinks30_interlinks40_individuals
pol_sp_1 plant_sp_1,0.02720881275770018,0.026066228391110106,3.9195233608895848,2.4,9,9,0.0011425843665900728,1.0438338968509826,1_125_intralinks30_interlinks40_individuals
pol_sp_2 plant_sp_1,0.029593032178072073,0.031499317466147994,3.9144682852462735,1.8285714285714287,9,9,-0.0019062852880759214,0.9394816954327793,1_125_intralinks30_interlinks40_individuals
ind_1 plant_sp_2,0.012134681832225243,0.017816737068595944,1.2682186234817814,1,5,5,-0.005682055236370701,0.681083286210359,1_125_intralinks30_interlinks40_individuals
pol_sp_2 plant_sp_2,0.022027770930226093,0.014542601374965937,1.8209796739208506,1.935483870967742,6,6,0.007485169555260155,1.5147063693944982,1_125_intralinks30_interlinks40_individuals
pol_sp_4 plant_sp_2,0.022663724445663083,0.014536044991544919,2.4486317603964665,2.4838709677419355,8,8,0.008127679454118164,1.559139673745213,1_125_intralinks30_interlinks40_individuals
pol_sp_5 plant_sp_2,0.021047287589204804,0.012652017234322369,2.692429792429793,2.580645161290323,7,7,0.008395270354882436,1.663551922147858,1_125_intralinks30_interlinks40_individuals
pol_sp_7 plant_sp_2,0.019476801169991707,0.017060630226653523,1.9428284134166487,1.7741935483870965,8,8,0.002416170943338184,1.1416226077957803,1_125_intralinks30_interlinks40_individuals
pol_sp_8 plant_sp_2,0.02094936704252353,0.014592804945922605,3.524175824175825,3.5161290322580645,8,8,0.006356562096600925,1.4355956322418344,1_125_intralinks30_interlinks40_individuals
ind_1 plant_sp_3,0.005151918184641482,0.010531319398708574,0.4683179723502304,1,3,3,-0.005379401214067092,0.48919968995273727,1_125_intralinks30_interlinks40_individuals
pol_sp_10 plant_sp_3,0.01986825756395406,0.011092416099414831,3.0134532134532135,3.730769230769231,6,6,0.00877584146453923,1.791156893672803,1_125_intralinks30_interlinks40_individuals
pol_sp_3 plant_sp_3,0.03095358732718442,0.03705759582153291,5.145611333111334,2.8461538461538463,9,9,-0.00610400849434849,0.8352832028352563,1_125_intralinks30_interlinks40_individuals
pol_sp_5 plant_sp_3,0.022719681699212953,0.021879001642663407,3.7222788412304544,2.9230769230769225,8,8,8.406800565495462e-4,1.0384240593003222,1_125_intralinks30_interlinks40_individuals
ind_1 plant_sp_4,0.009271618851467022,0.013789859345697285,1.1056983497211201,1,5,5,-0.004518240494230262,0.6723505018461232,1_125_intralinks30_interlinks40_individuals
pol_sp_4 plant_sp_4,0.024141925884150976,0.013882053423156132,2.530241422082029,2.7333333333333334,5,5,0.010259872460994844,1.7390745553450138,1_125_intralinks30_interlinks40_individuals
pol_sp_5 plant_sp_4,0.020131828273921074,0.011085305869436367,2.4836311695894233,2.6333333333333337,5,5,0.009046522404484707,1.816082344595213,1_125_intralinks30_interlinks40_individuals
pol_sp_6 plant_sp_4,0.0314251356547925,0.02655558464938776,3.081105169340464,1.9333333333333333,7,7,0.004869551005404739,1.18337201269327,1_125_intralinks30_interlinks40_individuals
pol_sp_7 plant_sp_4,0.018483567306062806,0.01561121900683991,1.9082653589294956,1.8000000000000003,6,6,0.0028723482992228967,1.1839925695722033,1_125_intralinks30_interlinks40_individuals
pol_sp_8 plant_sp_4,0.0173058332802369,0.010430764106027975,3.025017724211273,3.366666666666667,5,5,0.006875069174208924,1.6591146251918205,1_125_intralinks30_interlinks40_individuals
ind_1 plant_sp_5,0.007231951050831209,0.012612892060802556,0.5785714285714285,1,2,2,-0.005380941009971347,0.5733777008451654,1_125_intralinks30_interlinks40_individuals
pol_sp_1 plant_sp_5,0.02181866850754283,0.018960433956665544,2.869341284901057,2.272727272727273,5,5,0.002858234550877286,1.1507473171452636,1_125_intralinks30_interlinks40_individuals
pol_sp_4 plant_sp_5,0.028021510986274267,0.024059492273952418,3.92609898798229,2.515151515151515,6,6,0.0039620187123218485,1.164675907006203,1_125_intralinks30_interlinks40_individuals
ind_10 plant_sp_5,0.0074999396074449005,0.012073030977374277,0.6071428571428572,1,2,2,-0.004573091369929377,0.6212143099359493,1_125_intralinks30_interlinks40_individuals
pol_sp_9 plant_sp_5,0.025793324512167974,0.019497750170996864,2.9428706966657634,2.272727272727273,6,6,0.00629557434117111,1.3228872196001287,1_125_intralinks30_interlinks40_individuals
ind_2 plant_sp_1,0.006360563146116511,0.010322649518416547,0.30434782608695654,1,1,1,-0.003962086372300036,0.616175443597953,1_125_intralinks30_interlinks40_individuals
ind_2 plant_sp_2,0.006500077806100704,0.009237562644446874,0.5339349977507872,1,4,4,-0.0027374848383461695,0.7036572369020092,1_125_intralinks30_interlinks40_individuals
