Plot,L,m
1_200_intralinks20_interlinks100_individuals,4.05216,18
1_200_intralinks20_interlinks27_individuals,5.0969999999999995,7
1_200_intralinks20_interlinks50_individuals,5.020429999999999,11
10_200_intralinks20_interlinks100_individuals,4.05309,21
10_200_intralinks20_interlinks27_individuals,4.4931,7
10_200_intralinks20_interlinks50_individuals,4.401400000000001,8
100_200_intralinks20_interlinks100_individuals,4.262449999999999,21
100_200_intralinks20_interlinks27_individuals,4.3645299999999985,6
100_200_intralinks20_interlinks50_individuals,4.773700000000001,12
11_200_intralinks20_interlinks100_individuals,4.120869999999999,15
11_200_intralinks20_interlinks27_individuals,4.27341,6
11_200_intralinks20_interlinks50_individuals,4.42262,9
12_200_intralinks20_interlinks100_individuals,3.9000399999999997,17
12_200_intralinks20_interlinks27_individuals,4.555949999999999,9
12_200_intralinks20_interlinks50_individuals,4.56835,11
13_200_intralinks20_interlinks100_individuals,4.0655399999999995,18
13_200_intralinks20_interlinks27_individuals,4.187829999999999,6
13_200_intralinks20_interlinks50_individuals,4.01804,7
14_200_intralinks20_interlinks100_individuals,4.11724,21
14_200_intralinks20_interlinks27_individuals,4.3931499999999994,5
14_200_intralinks20_interlinks50_individuals,4.0844499999999995,7
15_200_intralinks20_interlinks100_individuals,4.002879999999999,21
15_200_intralinks20_interlinks27_individuals,4.320409999999999,6
15_200_intralinks20_interlinks50_individuals,4.541650000000001,11
16_200_intralinks20_interlinks100_individuals,3.98746,18
16_200_intralinks20_interlinks27_individuals,4.81335,9
16_200_intralinks20_interlinks50_individuals,4.079440000000001,7
17_200_intralinks20_interlinks100_individuals,4.08794,22
17_200_intralinks20_interlinks27_individuals,4.344919999999999,6
17_200_intralinks20_interlinks50_individuals,4.587149999999999,12
18_200_intralinks20_interlinks100_individuals,4.08868,22
18_200_intralinks20_interlinks27_individuals,4.935200000000001,10
18_200_intralinks20_interlinks50_individuals,4.06026,7
19_200_intralinks20_interlinks100_individuals,4.04769,12
19_200_intralinks20_interlinks27_individuals,4.05534,4
19_200_intralinks20_interlinks50_individuals,4.235670000000001,8
2_200_intralinks20_interlinks100_individuals,4.03311,19
2_200_intralinks20_interlinks27_individuals,4.279040000000001,5
2_200_intralinks20_interlinks50_individuals,4.73704,12
20_200_intralinks20_interlinks100_individuals,4.10143,20
20_200_intralinks20_interlinks27_individuals,4.548109999999999,7
20_200_intralinks20_interlinks50_individuals,4.96301,10
21_200_intralinks20_interlinks100_individuals,4.10671,17
21_200_intralinks20_interlinks27_individuals,4.20614,4
