name,Plot,consp_prob_UNCOUPLED,heter_prob_UNCOUPLED,type,layer,number_plant_nodes_with_visits
ind_1 plant_sp_1,1_200_intralinks20_interlinks100_individuals,3.3347530706712104e-4,0.0012545023456334552,plant,plant_sp_1,100
ind_1 plant_sp_2,1_200_intralinks20_interlinks100_individuals,8.07703771356444e-4,0.0032308150854257808,plant,plant_sp_2,100
ind_1 plant_sp_3,1_200_intralinks20_interlinks100_individuals,0.00122280857604798,0.00521302603473086,plant,plant_sp_3,100
ind_1 plant_sp_4,1_200_intralinks20_interlinks100_individuals,0.002141768170049921,0.008567072680199682,plant,plant_sp_4,100
ind_1 plant_sp_5,1_200_intralinks20_interlinks100_individuals,3.806085926964554e-4,0.0015224343707858216,plant,plant_sp_5,100
ind_10 plant_sp_1,1_200_intralinks20_interlinks100_individuals,7.770563026429235e-4,0.0029232118051805223,plant,plant_sp_1,100
ind_10 plant_sp_2,1_200_intralinks20_interlinks100_individuals,4.976529054944481e-4,0.0019906116219777937,plant,plant_sp_2,100
ind_10 plant_sp_3,1_200_intralinks20_interlinks100_individuals,0.0016813617920659724,0.00716791079775493,plant,plant_sp_3,100
ind_10 plant_sp_4,1_200_intralinks20_interlinks100_individuals,8.777567564629412e-4,0.0035110270258517633,plant,plant_sp_4,100
ind_10 plant_sp_5,1_200_intralinks20_interlinks100_individuals,4.662966958110297e-4,0.0018651867832441189,plant,plant_sp_5,100
ind_11 plant_sp_1,1_200_intralinks20_interlinks100_individuals,9.184787829707829e-4,0.003455229707366278,plant,plant_sp_1,100
ind_11 plant_sp_2,1_200_intralinks20_interlinks100_individuals,4.3491741534577773e-4,0.0017396696613831129,plant,plant_sp_2,100
ind_11 plant_sp_3,1_200_intralinks20_interlinks100_individuals,0.0010868033997552323,0.004633214493693355,plant,plant_sp_3,100
ind_11 plant_sp_4,1_200_intralinks20_interlinks100_individuals,0.0012589480741494465,0.005035792296597785,plant,plant_sp_4,100
ind_11 plant_sp_5,1_200_intralinks20_interlinks100_individuals,5.702749130748651e-4,0.0022810996522994605,plant,plant_sp_5,100
ind_12 plant_sp_1,1_200_intralinks20_interlinks100_individuals,5.811158283869372e-4,0.0021861024020270493,plant,plant_sp_1,100
ind_12 plant_sp_2,1_200_intralinks20_interlinks100_individuals,9.337190151922043e-4,0.003734876060768823,plant,plant_sp_2,100
ind_12 plant_sp_3,1_200_intralinks20_interlinks100_individuals,8.886656754930739e-4,0.003788522090259945,plant,plant_sp_3,100
ind_12 plant_sp_4,1_200_intralinks20_interlinks100_individuals,8.48162584375247e-4,0.0033926503375009878,plant,plant_sp_4,100
ind_12 plant_sp_5,1_200_intralinks20_interlinks100_individuals,5.046870872768515e-4,0.002018748349107405,plant,plant_sp_5,100
ind_13 plant_sp_1,1_200_intralinks20_interlinks100_individuals,7.97677459324706e-4,0.003000786632697703,plant,plant_sp_1,100
ind_13 plant_sp_2,1_200_intralinks20_interlinks100_individuals,6.215632492044199e-4,0.0024862529968176826,plant,plant_sp_2,100
ind_13 plant_sp_3,1_200_intralinks20_interlinks100_individuals,0.001581600314600263,0.006742611867506378,plant,plant_sp_3,100
ind_13 plant_sp_4,1_200_intralinks20_interlinks100_individuals,0.001510737688979336,0.006042950755917343,plant,plant_sp_4,100
ind_13 plant_sp_5,1_200_intralinks20_interlinks100_individuals,5.301429027984688e-4,0.0021205716111938754,plant,plant_sp_5,100
ind_14 plant_sp_1,1_200_intralinks20_interlinks100_individuals,9.157745850582397e-4,0.0034450567723619497,plant,plant_sp_1,100
ind_14 plant_sp_2,1_200_intralinks20_interlinks100_individuals,6.872105907948678e-4,0.0027488423631794757,plant,plant_sp_2,100
ind_14 plant_sp_3,1_200_intralinks20_interlinks100_individuals,6.210305141458477e-4,0.002647551139253349,plant,plant_sp_3,100
ind_14 plant_sp_4,1_200_intralinks20_interlinks100_individuals,0.0013523014529127182,0.00540920581165087,plant,plant_sp_4,100
ind_14 plant_sp_5,1_200_intralinks20_interlinks100_individuals,4.28258615502849e-4,0.0017130344620113957,plant,plant_sp_5,100
ind_15 plant_sp_1,1_200_intralinks20_interlinks100_individuals,8.5745483241187e-4,0.0032256634171684627,plant,plant_sp_1,100
ind_15 plant_sp_2,1_200_intralinks20_interlinks100_individuals,0.00037377813953946073,0.0014951125581578436,plant,plant_sp_2,100
ind_15 plant_sp_3,1_200_intralinks20_interlinks100_individuals,0.0012372479152307663,0.005274583217562737,plant,plant_sp_3,100
ind_15 plant_sp_4,1_200_intralinks20_interlinks100_individuals,0.0010337500641464043,0.004135000256585617,plant,plant_sp_4,100
ind_15 plant_sp_5,1_200_intralinks20_interlinks100_individuals,5.640271648216014e-4,0.0022561086592864056,plant,plant_sp_5,100
ind_16 plant_sp_1,1_200_intralinks20_interlinks100_individuals,2.8711568664762456e-4,0.0010801018688172542,plant,plant_sp_1,100
ind_16 plant_sp_2,1_200_intralinks20_interlinks100_individuals,5.601361356302778e-4,0.0022405445425211132,plant,plant_sp_2,100
ind_16 plant_sp_3,1_200_intralinks20_interlinks100_individuals,0.0017078339139010817,0.0072807656329467105,plant,plant_sp_3,100
ind_16 plant_sp_4,1_200_intralinks20_interlinks100_individuals,9.188889459079158e-4,0.0036755557836316627,plant,plant_sp_4,100
ind_16 plant_sp_5,1_200_intralinks20_interlinks100_individuals,7.828300339134505e-4,0.003131320135653801,plant,plant_sp_5,100
ind_17 plant_sp_1,1_200_intralinks20_interlinks100_individuals,9.537782480405267e-4,0.003588022933104838,plant,plant_sp_1,100
ind_17 plant_sp_2,1_200_intralinks20_interlinks100_individuals,9.264737509863008e-4,0.003705895003945208,plant,plant_sp_2,100
ind_17 plant_sp_3,1_200_intralinks20_interlinks100_individuals,0.0015285107200599748,0.006516282543413574,plant,plant_sp_3,100
ind_17 plant_sp_4,1_200_intralinks20_interlinks100_individuals,0.0014659755205454982,0.005863902082181991,plant,plant_sp_4,100
ind_17 plant_sp_5,1_200_intralinks20_interlinks100_individuals,5.030873398524791e-4,0.002012349359409916,plant,plant_sp_5,100
ind_18 plant_sp_1,1_200_intralinks20_interlinks100_individuals,6.618442260661942e-4,0.002489794945677588,plant,plant_sp_1,100
ind_18 plant_sp_2,1_200_intralinks20_interlinks100_individuals,8.07703771356444e-4,0.0032308150854257808,plant,plant_sp_2,100
ind_18 plant_sp_3,1_200_intralinks20_interlinks100_individuals,8.968876302175179e-4,0.0038235735814536264,plant,plant_sp_3,100
ind_18 plant_sp_4,1_200_intralinks20_interlinks100_individuals,6.544824102632723e-4,0.002617929641053089,plant,plant_sp_4,100
ind_18 plant_sp_5,1_200_intralinks20_interlinks100_individuals,4.227835218218551e-4,0.0016911340872874203,plant,plant_sp_5,100
ind_19 plant_sp_1,1_200_intralinks20_interlinks100_individuals,6.225320628767081e-4,0.002341906331774283,plant,plant_sp_1,100
ind_19 plant_sp_2,1_200_intralinks20_interlinks100_individuals,5.609326591815379e-4,0.0022437306367261538,plant,plant_sp_2,100
ind_19 plant_sp_3,1_200_intralinks20_interlinks100_individuals,0.0018260268449058251,0.00778464075986167,plant,plant_sp_3,100
ind_19 plant_sp_4,1_200_intralinks20_interlinks100_individuals,0.0010337500641464043,0.004135000256585617,plant,plant_sp_4,100
ind_19 plant_sp_5,1_200_intralinks20_interlinks100_individuals,4.195837463084387e-4,0.001678334985233755,plant,plant_sp_5,100
ind_2 plant_sp_1,1_200_intralinks20_interlinks100_individuals,7.687249188475e-4,0.0028918699328072616,plant,plant_sp_1,100
ind_2 plant_sp_2,1_200_intralinks20_interlinks100_individuals,5.608605128545109e-4,0.0022434420514180465,plant,plant_sp_2,100
ind_2 plant_sp_3,1_200_intralinks20_interlinks100_individuals,0.0021570079752959385,0.009195665578893206,plant,plant_sp_3,100
ind_2 plant_sp_4,1_200_intralinks20_interlinks100_individuals,0.0011348042662298456,0.0045392170649193805,plant,plant_sp_4,100
ind_2 plant_sp_5,1_200_intralinks20_interlinks100_individuals,6.34125778331564e-4,0.002536503113326256,plant,plant_sp_5,100
ind_20 plant_sp_1,1_200_intralinks20_interlinks100_individuals,6.936638954646826e-4,0.002609497511509996,plant,plant_sp_1,100
ind_20 plant_sp_2,1_200_intralinks20_interlinks100_individuals,4.985426780928996e-4,0.001994170712371601,plant,plant_sp_2,100
ind_20 plant_sp_4,1_200_intralinks20_interlinks100_individuals,4.594444729539579e-4,0.0018377778918158313,plant,plant_sp_4,100
ind_20 plant_sp_5,1_200_intralinks20_interlinks100_individuals,4.772537548490477e-4,0.0019090150193961904,plant,plant_sp_5,100
ind_21 plant_sp_1,1_200_intralinks20_interlinks100_individuals,0.0010023028761173413,0.0037705679625366652,plant,plant_sp_1,100
ind_3 plant_sp_1,1_200_intralinks20_interlinks100_individuals,6.537553069353041e-4,0.0024593652022804296,plant,plant_sp_1,100
ind_3 plant_sp_2,1_200_intralinks20_interlinks100_individuals,6.841030413070495e-4,0.0027364121652282015,plant,plant_sp_2,100
ind_3 plant_sp_3,1_200_intralinks20_interlinks100_individuals,0.0019870639360779676,0.008471167306437644,plant,plant_sp_3,100
ind_3 plant_sp_4,1_200_intralinks20_interlinks100_individuals,0.001386982992058699,0.005547931968234793,plant,plant_sp_4,100
ind_3 plant_sp_5,1_200_intralinks20_interlinks100_individuals,3.4117492616525936e-4,0.001364699704661037,plant,plant_sp_5,100
ind_4 plant_sp_1,1_200_intralinks20_interlinks100_individuals,8.387068004967348e-4,0.003155135106630573,plant,plant_sp_1,100
ind_4 plant_sp_2,1_200_intralinks20_interlinks100_individuals,4.371252539563544e-4,0.0017485010158254201,plant,plant_sp_2,100
ind_4 plant_sp_3,1_200_intralinks20_interlinks100_individuals,0.0012509745401852249,0.0053331019871054285,plant,plant_sp_3,100
ind_4 plant_sp_4,1_200_intralinks20_interlinks100_individuals,0.0012484980514714402,0.004993992205885759,plant,plant_sp_4,100
ind_4 plant_sp_5,1_200_intralinks20_interlinks100_individuals,4.245022268530405e-4,0.001698008907412162,plant,plant_sp_5,100
ind_5 plant_sp_1,1_200_intralinks20_interlinks100_individuals,8.044031861343007e-4,0.003026088176409988,plant,plant_sp_1,100
