node_id,module,species,layer_name,Plot,type
1,4,ind_1 plant_sp_1,plant_sp_1,1_200_intralinks20_interlinks50_individuals,plant
2,5,ind_1 plant_sp_2,plant_sp_2,1_200_intralinks20_interlinks50_individuals,plant
3,3,ind_1 plant_sp_3,plant_sp_3,1_200_intralinks20_interlinks50_individuals,plant
4,2,ind_1 plant_sp_4,plant_sp_4,1_200_intralinks20_interlinks50_individuals,plant
5,1,ind_1 plant_sp_5,plant_sp_5,1_200_intralinks20_interlinks50_individuals,plant
6,10,ind_10 plant_sp_2,plant_sp_2,1_200_intralinks20_interlinks50_individuals,plant
7,2,ind_10 plant_sp_4,plant_sp_4,1_200_intralinks20_interlinks50_individuals,plant
8,1,ind_10 plant_sp_5,plant_sp_5,1_200_intralinks20_interlinks50_individuals,plant
9,10,ind_11 plant_sp_2,plant_sp_2,1_200_intralinks20_interlinks50_individuals,plant
10,1,ind_11 plant_sp_5,plant_sp_5,1_200_intralinks20_interlinks50_individuals,plant
11,5,ind_12 plant_sp_2,plant_sp_2,1_200_intralinks20_interlinks50_individuals,plant
12,1,ind_12 plant_sp_5,plant_sp_5,1_200_intralinks20_interlinks50_individuals,plant
13,1,ind_13 plant_sp_5,plant_sp_5,1_200_intralinks20_interlinks50_individuals,plant
14,4,ind_2 plant_sp_1,plant_sp_1,1_200_intralinks20_interlinks50_individuals,plant
15,5,ind_2 plant_sp_2,plant_sp_2,1_200_intralinks20_interlinks50_individuals,plant
16,3,ind_2 plant_sp_3,plant_sp_3,1_200_intralinks20_interlinks50_individuals,plant
17,2,ind_2 plant_sp_4,plant_sp_4,1_200_intralinks20_interlinks50_individuals,plant
18,1,ind_2 plant_sp_5,plant_sp_5,1_200_intralinks20_interlinks50_individuals,plant
19,6,ind_3 plant_sp_1,plant_sp_1,1_200_intralinks20_interlinks50_individuals,plant
20,6,ind_3 plant_sp_2,plant_sp_2,1_200_intralinks20_interlinks50_individuals,plant
