name,Plot,consp_prob,heter_prob,type,layer,number_plant_nodes_with_visits
ind_1 plant_sp_1,1_200_intralinks20_interlinks50_individuals,0.0016011328540866303,0.00840594748395481,plant,plant_sp_1,50
ind_1 plant_sp_2,1_200_intralinks20_interlinks50_individuals,0.0017671611071513058,0.005596010172645803,plant,plant_sp_2,50
ind_1 plant_sp_3,1_200_intralinks20_interlinks50_individuals,8.486993242330707e-4,0.005213438706003145,plant,plant_sp_3,50
ind_1 plant_sp_4,1_200_intralinks20_interlinks50_individuals,0.002392313832128804,0.009569255328515219,plant,plant_sp_4,50
ind_1 plant_sp_5,1_200_intralinks20_interlinks50_individuals,0.0018376641808297515,0.005230274976207753,plant,plant_sp_5,50
ind_10 plant_sp_2,1_200_intralinks20_interlinks50_individuals,0.001758050211109238,0.005567159001845923,plant,plant_sp_2,50
ind_10 plant_sp_4,1_200_intralinks20_interlinks50_individuals,0.0017152788535924484,0.006861115414369796,plant,plant_sp_4,50
ind_10 plant_sp_5,1_200_intralinks20_interlinks50_individuals,0.0010708831239168378,0.003047898121917153,plant,plant_sp_5,50
ind_11 plant_sp_2,1_200_intralinks20_interlinks50_individuals,0.001701124540082401,0.005386894376927604,plant,plant_sp_2,50
ind_11 plant_sp_5,1_200_intralinks20_interlinks50_individuals,0.0011573748870799688,0.0032940669863045263,plant,plant_sp_5,50
ind_12 plant_sp_2,1_200_intralinks20_interlinks50_individuals,0.002049890069447019,0.006491318553248894,plant,plant_sp_2,50
ind_12 plant_sp_5,1_200_intralinks20_interlinks50_individuals,0.0019835761338651593,0.0056455628425393,plant,plant_sp_5,50
ind_13 plant_sp_5,1_200_intralinks20_interlinks50_individuals,0.0020101461665132047,0.005721185243152967,plant,plant_sp_5,50
ind_2 plant_sp_1,1_200_intralinks20_interlinks50_individuals,0.0013618502698804246,0.007149713916872228,plant,plant_sp_1,50
ind_2 plant_sp_2,1_200_intralinks20_interlinks50_individuals,0.0020312161543541247,0.006432184488788064,plant,plant_sp_2,50
ind_2 plant_sp_3,1_200_intralinks20_interlinks50_individuals,0.001831040147849259,0.011247818051074015,plant,plant_sp_3,50
ind_2 plant_sp_4,1_200_intralinks20_interlinks50_individuals,0.0022704587927313215,0.00908183517092529,plant,plant_sp_4,50
ind_2 plant_sp_5,1_200_intralinks20_interlinks50_individuals,0.0019221130640240285,0.005470629489914542,plant,plant_sp_5,50
ind_3 plant_sp_1,1_200_intralinks20_interlinks50_individuals,0.0016197981313881616,0.008503940189787848,plant,plant_sp_1,50
ind_3 plant_sp_2,1_200_intralinks20_interlinks50_individuals,0.0012112294967242226,0.0038355600729600386,plant,plant_sp_2,50
ind_3 plant_sp_3,1_200_intralinks20_interlinks50_individuals,8.541938908637753e-4,0.005247191043877475,plant,plant_sp_3,50
ind_3 plant_sp_4,1_200_intralinks20_interlinks50_individuals,0.002091451406502241,0.008365805626008966,plant,plant_sp_4,50
ind_3 plant_sp_5,1_200_intralinks20_interlinks50_individuals,0.002113288381779739,0.006014743855834641,plant,plant_sp_5,50
ind_4 plant_sp_1,1_200_intralinks20_interlinks50_individuals,0.0013280669455761182,0.006972351464274619,plant,plant_sp_1,50
ind_4 plant_sp_2,1_200_intralinks20_interlinks50_individuals,0.0015344691524715203,0.004859152316159816,plant,plant_sp_2,50
ind_4 plant_sp_3,1_200_intralinks20_interlinks50_individuals,7.324383316613214e-4,0.004499264037348115,plant,plant_sp_3,50
ind_4 plant_sp_4,1_200_intralinks20_interlinks50_individuals,0.0023655053454136295,0.0094620213816545215,plant,plant_sp_4,50
ind_4 plant_sp_5,1_200_intralinks20_interlinks50_individuals,0.002056141630745553,0.005852095410583497,plant,plant_sp_5,50
ind_5 plant_sp_1,1_200_intralinks20_interlinks50_individuals,0.0011001826365131515,0.005775958841694043,plant,plant_sp_1,50
ind_5 plant_sp_2,1_200_intralinks20_interlinks50_individuals,0.0017944318905616784,0.005682367653445317,plant,plant_sp_2,50
ind_5 plant_sp_3,1_200_intralinks20_interlinks50_individuals,0.001025811379330649,0.006301412758745413,plant,plant_sp_3,50
