name,Plot,consp_prob_UNCOUPLED,heter_prob_UNCOUPLED,type,layer,number_plant_nodes_with_visits
ind_1 plant_sp_1,1_200_intralinks20_interlinks50_individuals,0.011999999848167681,0,plant,plant_sp_1,50
ind_1 plant_sp_2,1_200_intralinks20_interlinks50_individuals,0.008709677402810976,0,plant,plant_sp_2,50
ind_1 plant_sp_3,1_200_intralinks20_interlinks50_individuals,0.009197080299073051,0,plant,plant_sp_3,50
ind_1 plant_sp_4,1_200_intralinks20_interlinks50_individuals,0.010837438116500637,0,plant,plant_sp_4,50
ind_1 plant_sp_5,1_200_intralinks20_interlinks50_individuals,0.009801587128023955,0,plant,plant_sp_5,50
ind_10 plant_sp_2,1_200_intralinks20_interlinks50_individuals,0.009677419336456635,0,plant,plant_sp_2,50
ind_10 plant_sp_4,1_200_intralinks20_interlinks50_individuals,0.00788177317563683,0,plant,plant_sp_4,50
ind_10 plant_sp_5,1_200_intralinks20_interlinks50_individuals,0.005674603074119135,0,plant,plant_sp_5,50
ind_11 plant_sp_2,1_200_intralinks20_interlinks50_individuals,0.00919354836963381,0,plant,plant_sp_2,50
ind_11 plant_sp_5,1_200_intralinks20_interlinks50_individuals,0.006190476080857238,0,plant,plant_sp_5,50
ind_12 plant_sp_2,1_200_intralinks20_interlinks50_individuals,0.011612903203747964,0,plant,plant_sp_2,50
ind_12 plant_sp_5,1_200_intralinks20_interlinks50_individuals,0.010833333141500163,0,plant,plant_sp_5,50
ind_13 plant_sp_5,1_200_intralinks20_interlinks50_individuals,0.01134920614823827,0,plant,plant_sp_5,50
ind_2 plant_sp_1,1_200_intralinks20_interlinks50_individuals,0.010499999867146727,0,plant,plant_sp_1,50
ind_2 plant_sp_2,1_200_intralinks20_interlinks50_individuals,0.011612903203747964,0,plant,plant_sp_2,50
ind_2 plant_sp_3,1_200_intralinks20_interlinks50_individuals,0.012262773732097401,0,plant,plant_sp_3,50
ind_2 plant_sp_4,1_200_intralinks20_interlinks50_individuals,0.010344827293023336,0,plant,plant_sp_4,50
ind_2 plant_sp_5,1_200_intralinks20_interlinks50_individuals,0.010317460134762058,0,plant,plant_sp_5,50
ind_3 plant_sp_1,1_200_intralinks20_interlinks50_individuals,0.007499999905104805,0,plant,plant_sp_1,50
ind_3 plant_sp_2,1_200_intralinks20_interlinks50_individuals,0.009677419336456635,0,plant,plant_sp_2,50
ind_3 plant_sp_3,1_200_intralinks20_interlinks50_individuals,0.009197080299073051,0,plant,plant_sp_3,50
ind_3 plant_sp_4,1_200_intralinks20_interlinks50_individuals,0.010344827293023336,0,plant,plant_sp_4,50
ind_3 plant_sp_5,1_200_intralinks20_interlinks50_individuals,0.01134920614823827,0,plant,plant_sp_5,50
ind_4 plant_sp_1,1_200_intralinks20_interlinks50_individuals,0.01049999986714672,0,plant,plant_sp_1,50
ind_4 plant_sp_2,1_200_intralinks20_interlinks50_individuals,0.011129032236925135,0,plant,plant_sp_2,50
ind_4 plant_sp_3,1_200_intralinks20_interlinks50_individuals,0.008175182488064932,0,plant,plant_sp_3,50
ind_4 plant_sp_4,1_200_intralinks20_interlinks50_individuals,0.010344827293023334,0,plant,plant_sp_4,50
ind_4 plant_sp_5,1_200_intralinks20_interlinks50_individuals,0.010833333141500163,0,plant,plant_sp_5,50
ind_5 plant_sp_1,1_200_intralinks20_interlinks50_individuals,0.00849999989245211,0,plant,plant_sp_1,50
ind_5 plant_sp_2,1_200_intralinks20_interlinks50_individuals,0.010161290303279473,0,plant,plant_sp_2,50
ind_5 plant_sp_3,1_200_intralinks20_interlinks50_individuals,0.01072992701558522,0,plant,plant_sp_3,50
ind_5 plant_sp_4,1_200_intralinks20_interlinks50_individuals,0.010837438116500637,0,plant,plant_sp_4,50
ind_5 plant_sp_5,1_200_intralinks20_interlinks50_individuals,0.007222222094333439,0,plant,plant_sp_5,50
ind_6 plant_sp_1,1_200_intralinks20_interlinks50_individuals,0.010999999860820373,0,plant,plant_sp_1,50
ind_6 plant_sp_2,1_200_intralinks20_interlinks50_individuals,0.00919354836963381,0,plant,plant_sp_2,50
ind_6 plant_sp_3,1_200_intralinks20_interlinks50_individuals,0.011240875921089284,0,plant,plant_sp_3,50
ind_6 plant_sp_4,1_200_intralinks20_interlinks50_individuals,0.01231527058693254,0,plant,plant_sp_4,50
ind_6 plant_sp_5,1_200_intralinks20_interlinks50_individuals,0.01134920614823827,0,plant,plant_sp_5,50
ind_7 plant_sp_1,1_200_intralinks20_interlinks50_individuals,0.00999999987347307,0,plant,plant_sp_1,50
ind_7 plant_sp_2,1_200_intralinks20_interlinks50_individuals,0.010645161270102304,0,plant,plant_sp_2,50
ind_7 plant_sp_3,1_200_intralinks20_interlinks50_individuals,0.009197080299073051,0,plant,plant_sp_3,50
ind_7 plant_sp_4,1_200_intralinks20_interlinks50_individuals,0.008866994822591427,0,plant,plant_sp_4,50
