species,Real_PR_Multi,Real_PR_Layer,StrengthIn,StrengthOut,DegreeIn,DegreeOut,Delta,Ratio,Plot
ind_1 plant_sp_1,0.008377197580295833,0.010916390894562499,0.9090909090909091,1,2,2,-0.002539193314266665,0.7673962632163118,1_100_intralinks30_interlinks50_individuals
pol_sp_10 plant_sp_1,0.022269073645513556,0.01326814501256263,3.375119006153489,2.967741935483871,5,5,0.009000928632950926,1.6783863625569821,1_100_intralinks30_interlinks50_individuals
pol_sp_9 plant_sp_1,0.02119624747592622,0.010984950270384153,2.487296037296037,2.4193548387096775,4,4,0.010211297205542067,1.9295715459970826,1_100_intralinks30_interlinks50_individuals
ind_1 plant_sp_2,0.009004230753854018,0.014703887341197206,0.8774350649350648,1,3,3,-0.005699656587343189,0.6123707659692177,1_100_intralinks30_interlinks50_individuals
pol_sp_5 plant_sp_2,0.026867260207334234,0.022773055818044296,3.6054855106579247,2.6923076923076916,9,9,0.004094204389289938,1.1797828285322114,1_100_intralinks30_interlinks50_individuals
pol_sp_7 plant_sp_2,0.017787122056792545,0.015025007255876938,2.0367687867687865,1.8076923076923075,6,6,0.0027621148009156077,1.1838345069574074,1_100_intralinks30_interlinks50_individuals
pol_sp_9 plant_sp_2,0.024306824161353418,0.017664577756368375,3.174569606021219,2.730769230769231,7,7,0.006642246404985043,1.3760206723645236,1_100_intralinks30_interlinks50_individuals
ind_1 plant_sp_3,0.0043609506374967305,0.006009034703618873,0.28076923076923077,1,2,2,-0.0016480840661221427,0.7257323101945804,1_100_intralinks30_interlinks50_individuals
pol_sp_10 plant_sp_3,0.026409574213507352,0.02041770315823044,4.747556207233627,3.586206896551724,6,6,0.005991871055276911,1.2934645003329657,1_100_intralinks30_interlinks50_individuals
pol_sp_3 plant_sp_3,0.030981572608845275,0.016530637587578653,3.537878787878788,2.8275862068965516,4,4,0.014450935021266622,1.8741910252829723,1_100_intralinks30_interlinks50_individuals
ind_1 plant_sp_4,0.007377917946159295,0.012481722775734366,0.5802139037433155,1,2,2,-0.005103804829575071,0.5910977257484564,1_100_intralinks30_interlinks50_individuals
pol_sp_3 plant_sp_4,0.033839281820182754,0.025352381920878467,4.647268248992387,2.9629629629629624,7,7,0.008486899899304286,1.3347574963879454,1_100_intralinks30_interlinks50_individuals
pol_sp_7 plant_sp_4,0.019394969173318705,0.018951231212680063,2.696003996003996,1.7777777777777777,5,5,4.4373796063864115e-4,1.0234147299275067,1_100_intralinks30_interlinks50_individuals
ind_1 plant_sp_5,0.005488570026712288,0.008621645001165138,0.37790660225442835,1,3,3,-0.0031330749744528505,0.6366035746044469,1_100_intralinks30_interlinks50_individuals
pol_sp_3 plant_sp_5,0.03419868388465153,0.024635440059645627,4.7938581214443285,2.5757575757575752,8,8,0.009563243825005906,1.3881905012393543,1_100_intralinks30_interlinks50_individuals
pol_sp_6 plant_sp_5,0.020984244858861505,0.02278846572668857,3.718518518518519,1.7878787878787878,7,7,-0.001804220867827066,0.9208274532622851,1_100_intralinks30_interlinks50_individuals
pol_sp_9 plant_sp_5,0.023356579212299344,0.019832922569355413,3.4154673283705543,2.1818181818181817,6,6,0.0035236566429439307,1.1776670397729714,1_100_intralinks30_interlinks50_individuals
ind_10 plant_sp_1,0.006375417267737627,0.00959752982456106,0.2545454545454545,1,1,1,-0.0032221125568234338,0.6642768904371916,1_100_intralinks30_interlinks50_individuals
pol_sp_2 plant_sp_1,0.037376481211193024,0.03558266895832125,5.221008158508159,1.8064516129032255,7,7,0.0017938122528717779,1.0504125268110975,1_100_intralinks30_interlinks50_individuals
ind_10 plant_sp_4,0.010252867684847376,0.016697378027768064,1.4814151747655584,0.9999999999999999,5,5,-0.006444510342920689,0.6140405797722647,1_100_intralinks30_interlinks50_individuals
pol_sp_10 plant_sp_4,0.023817654709734425,0.012951872350458976,3.716455513340941,3.7037037037037037,6,6,0.010865782359275449,1.8389352570240856,1_100_intralinks30_interlinks50_individuals
pol_sp_4 plant_sp_4,0.0258295010563493,0.02467323120873995,3.8693806193806193,2.740740740740741,8,8,0.0011562698476093522,1.0468633328900905,1_100_intralinks30_interlinks50_individuals
pol_sp_5 plant_sp_4,0.020240434560945115,0.008062021170520406,2.2149172666414048,2.7777777777777777,4,4,0.012178413390424709,2.510590599160953,1_100_intralinks30_interlinks50_individuals
pol_sp_8 plant_sp_4,0.016287147090314213,0.0081885514867298809,2.96484046172589,3.518518518518518,6,6,0.008098595603584332,1.989014432736812,1_100_intralinks30_interlinks50_individuals
ind_10 plant_sp_5,0.009907675088844497,0.012658227848101262,1,1,1,1,-0.002750552759256765,0.7827063320187155,1_100_intralinks30_interlinks50_individuals
pol_sp_1 plant_sp_5,0.020557709291882716,0.012658227848101262,2.3821339950372207,2.1818181818181817,3,3,0.007899481443781454,1.624059034058735,1_100_intralinks30_interlinks50_individuals
ind_11 plant_sp_5,0.005242605490381117,0.008103215377422238,0.2962962962962963,1,1,1,-0.002860609887041121,0.6469784210584408,1_100_intralinks30_interlinks50_individuals
ind_12 plant_sp_5,0.007029996301462819,0.010565430017755714,0.5757264957264958,1,3,3,-0.003535433716292895,0.6653772056270849,1_100_intralinks30_interlinks50_individuals
pol_sp_4 plant_sp_5,0.022547850880599914,0.014652987382029354,3.5544159544159544,2.393939393939394,6,6,0.00789486349857056,1.5387886642319053,1_100_intralinks30_interlinks50_individuals
ind_2 plant_sp_1,0.0066951803456320865,0.010147443799371478,0.2727272727272727,1,1,1,-0.0034522634537393912,0.659789842447492,1_100_intralinks30_interlinks50_individuals
ind_2 plant_sp_2,0.0070904874752552,0.011976496573527907,0.7272727272727273,1,2,2,-0.004886009098272707,0.5920335243052268,1_100_intralinks30_interlinks50_individuals
pol_sp_1 plant_sp_2,0.020971923115182086,0.01336099310076915,2.6345401909918036,2.730769230769231,6,6,0.007610930014412936,1.5696380468885056,1_100_intralinks30_interlinks50_individuals
ind_2 plant_sp_3,0.0029623418896719124,0.006149503934314065,0.20588235294117646,1,1,1,-0.0031871620446421527,0.4817204641730734,1_100_intralinks30_interlinks50_individuals
pol_sp_8 plant_sp_3,0.02116736531194661,0.02429011289770785,5.594292803970223,3.4827586206896552,6,6,-0.0031227475857612402,0.8714395606594352,1_100_intralinks30_interlinks50_individuals
ind_2 plant_sp_4,0.004894561955419948,0.00868771406441377,0.3162055335968379,1,2,2,-0.003793152108993822,0.5633889328228281,1_100_intralinks30_interlinks50_individuals
ind_2 plant_sp_5,0.0060110355591765354,0.009846245518767146,0.4603174603174603,1,2,2,-0.00383520995959061,0.6104901150107803,1_100_intralinks30_interlinks50_individuals
pol_sp_10 plant_sp_5,0.02498399292148156,0.016276978651607075,3.9269633674528,3.1515151515151514,5,5,0.008707014269874486,1.53492816180691,1_100_intralinks30_interlinks50_individuals
ind_3 plant_sp_1,0.0051719356386160965,0.008396938334476897,0.38461538461538464,1,1,1,-0.0032250026958608007,0.615931120677724,1_100_intralinks30_interlinks50_individuals
pol_sp_1 plant_sp_1,0.024222933016059846,0.01987685977515346,4.027826340326341,2.4193548387096775,6,6,0.0043460732409063875,1.2186498918878061,1_100_intralinks30_interlinks50_individuals
ind_3 plant_sp_2,0.009353821639879347,0.011093269012140444,1.2784090909090908,1,3,3,-0.0017394473722610968,0.8431979454967287,1_100_intralinks30_interlinks50_individuals
