node_id,module,species,layer_name,Plot,type
1,6,ind_1 plant_sp_1,plant_sp_1,1_200_intralinks20_interlinks50_individuals12_pollinators,plant
2,1,ind_1 plant_sp_2,plant_sp_2,1_200_intralinks20_interlinks50_individuals12_pollinators,plant
3,3,ind_1 plant_sp_3,plant_sp_3,1_200_intralinks20_interlinks50_individuals12_pollinators,plant
4,2,ind_1 plant_sp_4,plant_sp_4,1_200_intralinks20_interlinks50_individuals12_pollinators,plant
5,8,ind_1 plant_sp_5,plant_sp_5,1_200_intralinks20_interlinks50_individuals12_pollinators,plant
6,1,ind_10 plant_sp_2,plant_sp_2,1_200_intralinks20_interlinks50_individuals12_pollinators,plant
7,5,ind_10 plant_sp_3,plant_sp_3,1_200_intralinks20_interlinks50_individuals12_pollinators,plant
8,8,ind_10 plant_sp_4,plant_sp_4,1_200_intralinks20_interlinks50_individuals12_pollinators,plant
9,1,ind_11 plant_sp_2,plant_sp_2,1_200_intralinks20_interlinks50_individuals12_pollinators,plant
10,4,ind_11 plant_sp_3,plant_sp_3,1_200_intralinks20_interlinks50_individuals12_pollinators,plant
11,8,ind_11 plant_sp_4,plant_sp_4,1_200_intralinks20_interlinks50_individuals12_pollinators,plant
12,6,ind_12 plant_sp_4,plant_sp_4,1_200_intralinks20_interlinks50_individuals12_pollinators,plant
13,4,ind_2 plant_sp_1,plant_sp_1,1_200_intralinks20_interlinks50_individuals12_pollinators,plant
14,2,ind_2 plant_sp_2,plant_sp_2,1_200_intralinks20_interlinks50_individuals12_pollinators,plant
15,1,ind_2 plant_sp_3,plant_sp_3,1_200_intralinks20_interlinks50_individuals12_pollinators,plant
16,2,ind_2 plant_sp_4,plant_sp_4,1_200_intralinks20_interlinks50_individuals12_pollinators,plant
17,3,ind_2 plant_sp_5,plant_sp_5,1_200_intralinks20_interlinks50_individuals12_pollinators,plant
18,9,ind_3 plant_sp_1,plant_sp_1,1_200_intralinks20_interlinks50_individuals12_pollinators,plant
19,1,ind_3 plant_sp_2,plant_sp_2,1_200_intralinks20_interlinks50_individuals12_pollinators,plant
20,3,ind_3 plant_sp_3,plant_sp_3,1_200_intralinks20_interlinks50_individuals12_pollinators,plant
21,9,ind_3 plant_sp_4,plant_sp_4,1_200_intralinks20_interlinks50_individuals12_pollinators,plant
22,3,ind_3 plant_sp_5,plant_sp_5,1_200_intralinks20_interlinks50_individuals12_pollinators,plant
23,9,ind_4 plant_sp_1,plant_sp_1,1_200_intralinks20_interlinks50_individuals12_pollinators,plant
24,1,ind_4 plant_sp_2,plant_sp_2,1_200_intralinks20_interlinks50_individuals12_pollinators,plant
25,5,ind_4 plant_sp_3,plant_sp_3,1_200_intralinks20_interlinks50_individuals12_pollinators,plant
26,2,ind_4 plant_sp_4,plant_sp_4,1_200_intralinks20_interlinks50_individuals12_pollinators,plant
