name,Plot,consp_prob_UNCOUPLED,heter_prob_UNCOUPLED,type,layer,number_plant_nodes_with_visits
ind_1 plant_sp_1,1_200_intralinks20_interlinks50_individuals12_pollinators,0.0017410069977051885,0.009140286737952238,plant,plant_sp_1,50
ind_1 plant_sp_2,1_200_intralinks20_interlinks50_individuals12_pollinators,8.246641166615214e-4,0.0029238091408908483,plant,plant_sp_2,50
ind_1 plant_sp_3,1_200_intralinks20_interlinks50_individuals12_pollinators,0.001492913526627954,0.005293057048953656,plant,plant_sp_3,50
ind_1 plant_sp_4,1_200_intralinks20_interlinks50_individuals12_pollinators,9.486298213642846e-4,0.0030039944343202346,plant,plant_sp_4,50
ind_1 plant_sp_5,1_200_intralinks20_interlinks50_individuals12_pollinators,0.001056803146696255,0.005548216520155341,plant,plant_sp_5,50
ind_10 plant_sp_2,1_200_intralinks20_interlinks50_individuals12_pollinators,6.449789130053988e-4,0.002286743418837323,plant,plant_sp_2,50
ind_10 plant_sp_3,1_200_intralinks20_interlinks50_individuals12_pollinators,0.001846218071383926,0.006545682253088464,plant,plant_sp_3,50
ind_10 plant_sp_4,1_200_intralinks20_interlinks50_individuals12_pollinators,0.0012698840483307125,0.004021299486380589,plant,plant_sp_4,50
ind_11 plant_sp_2,1_200_intralinks20_interlinks50_individuals12_pollinators,8.5092613719845e-4,0.0030169199409763228,plant,plant_sp_2,50
ind_11 plant_sp_3,1_200_intralinks20_interlinks50_individuals12_pollinators,0.0018236043541798197,0.006465506346637543,plant,plant_sp_3,50
ind_11 plant_sp_4,1_200_intralinks20_interlinks50_individuals12_pollinators,0.0012077487073731304,0.0038245375733482463,plant,plant_sp_4,50
ind_12 plant_sp_4,1_200_intralinks20_interlinks50_individuals12_pollinators,0.001410677150866504,0.004467144311077262,plant,plant_sp_4,50
ind_2 plant_sp_1,1_200_intralinks20_interlinks50_individuals12_pollinators,0.0015926554745207052,0.008361441241233702,plant,plant_sp_1,50
ind_2 plant_sp_2,1_200_intralinks20_interlinks50_individuals12_pollinators,9.032390905108753e-4,0.003202393139084012,plant,plant_sp_2,50
ind_2 plant_sp_3,1_200_intralinks20_interlinks50_individuals12_pollinators,0.002112609887626146,0.007490162328856334,plant,plant_sp_3,50
ind_2 plant_sp_4,1_200_intralinks20_interlinks50_individuals12_pollinators,0.0010345797111527548,0.003276169085317058,plant,plant_sp_4,50
ind_2 plant_sp_5,1_200_intralinks20_interlinks50_individuals12_pollinators,9.944783359473763e-4,0.005221011263723726,plant,plant_sp_5,50
ind_3 plant_sp_1,1_200_intralinks20_interlinks50_individuals12_pollinators,0.0013991088774511344,0.007345321606618455,plant,plant_sp_1,50
ind_3 plant_sp_2,1_200_intralinks20_interlinks50_individuals12_pollinators,6.806998022939849e-4,0.002413390208133219,plant,plant_sp_2,50
ind_3 plant_sp_3,1_200_intralinks20_interlinks50_individuals12_pollinators,0.0015803719751056988,0.005603137002647477,plant,plant_sp_3,50
ind_3 plant_sp_4,1_200_intralinks20_interlinks50_individuals12_pollinators,0.0012121041572778573,0.0038383298313798813,plant,plant_sp_4,50
ind_3 plant_sp_5,1_200_intralinks20_interlinks50_individuals12_pollinators,0.0011253314363954285,0.005907990041076,plant,plant_sp_5,50
ind_4 plant_sp_1,1_200_intralinks20_interlinks50_individuals12_pollinators,0.0016112168577379273,0.00845888850312412,plant,plant_sp_1,50
ind_4 plant_sp_2,1_200_intralinks20_interlinks50_individuals12_pollinators,9.206764326063771e-4,0.0032642164428771546,plant,plant_sp_2,50
ind_4 plant_sp_3,1_200_intralinks20_interlinks50_individuals12_pollinators,0.0018516077543815515,0.0065647911291709556,plant,plant_sp_3,50
ind_4 plant_sp_4,1_200_intralinks20_interlinks50_individuals12_pollinators,0.0010694516542421259,0.0033865969051000656,plant,plant_sp_4,50
ind_4 plant_sp_5,1_200_intralinks20_interlinks50_individuals12_pollinators,0.001097693880735078,0.00576289287385916,plant,plant_sp_5,50
ind_5 plant_sp_1,1_200_intralinks20_interlinks50_individuals12_pollinators,0.0020121652548210026,0.010563867587810263,plant,plant_sp_1,50
ind_5 plant_sp_2,1_200_intralinks20_interlinks50_individuals12_pollinators,5.719249555667467e-4,0.0020277339333730116,plant,plant_sp_2,50
ind_5 plant_sp_3,1_200_intralinks20_interlinks50_individuals12_pollinators,0.0015289874843653845,0.005420955626386364,plant,plant_sp_3,50
ind_5 plant_sp_4,1_200_intralinks20_interlinks50_individuals12_pollinators,0.0014063607181821589,0.004453475607576837,plant,plant_sp_4,50
ind_5 plant_sp_5,1_200_intralinks20_interlinks50_individuals12_pollinators,0.001197730793405262,0.006288086665377625,plant,plant_sp_5,50
