node_id,module,species,layer_name,Plot,type
1,6,ind_1 plant_sp_1,plant_sp_1,1_100_intralinks30_interlinks50_individuals,plant
2,9,ind_1 plant_sp_2,plant_sp_2,1_100_intralinks30_interlinks50_individuals,plant
3,2,ind_1 plant_sp_3,plant_sp_3,1_100_intralinks30_interlinks50_individuals,plant
4,9,ind_1 plant_sp_4,plant_sp_4,1_100_intralinks30_interlinks50_individuals,plant
5,6,ind_1 plant_sp_5,plant_sp_5,1_100_intralinks30_interlinks50_individuals,plant
6,5,ind_10 plant_sp_1,plant_sp_1,1_100_intralinks30_interlinks50_individuals,plant
7,12,ind_10 plant_sp_4,plant_sp_4,1_100_intralinks30_interlinks50_individuals,plant
8,7,ind_10 plant_sp_5,plant_sp_5,1_100_intralinks30_interlinks50_individuals,plant
9,2,ind_11 plant_sp_5,plant_sp_5,1_100_intralinks30_interlinks50_individuals,plant
10,8,ind_12 plant_sp_5,plant_sp_5,1_100_intralinks30_interlinks50_individuals,plant
11,5,ind_2 plant_sp_1,plant_sp_1,1_100_intralinks30_interlinks50_individuals,plant
12,7,ind_2 plant_sp_2,plant_sp_2,1_100_intralinks30_interlinks50_individuals,plant
13,4,ind_2 plant_sp_3,plant_sp_3,1_100_intralinks30_interlinks50_individuals,plant
14,2,ind_2 plant_sp_4,plant_sp_4,1_100_intralinks30_interlinks50_individuals,plant
15,2,ind_2 plant_sp_5,plant_sp_5,1_100_intralinks30_interlinks50_individuals,plant
16,7,ind_3 plant_sp_1,plant_sp_1,1_100_intralinks30_interlinks50_individuals,plant
17,8,ind_3 plant_sp_2,plant_sp_2,1_100_intralinks30_interlinks50_individuals,plant
18,4,ind_3 plant_sp_3,plant_sp_3,1_100_intralinks30_interlinks50_individuals,plant
19,8,ind_3 plant_sp_4,plant_sp_4,1_100_intralinks30_interlinks50_individuals,plant
20,8,ind_3 plant_sp_5,plant_sp_5,1_100_intralinks30_interlinks50_individuals,plant
21,1,ind_4 plant_sp_1,plant_sp_1,1_100_intralinks30_interlinks50_individuals,plant
22,9,ind_4 plant_sp_2,plant_sp_2,1_100_intralinks30_interlinks50_individuals,plant
23,1,ind_4 plant_sp_3,plant_sp_3,1_100_intralinks30_interlinks50_individuals,plant
24,10,ind_4 plant_sp_4,plant_sp_4,1_100_intralinks30_interlinks50_individuals,plant
25,10,ind_4 plant_sp_5,plant_sp_5,1_100_intralinks30_interlinks50_individuals,plant
26,5,ind_5 plant_sp_1,plant_sp_1,1_100_intralinks30_interlinks50_individuals,plant
27,6,ind_5 plant_sp_2,plant_sp_2,1_100_intralinks30_interlinks50_individuals,plant
28,3,ind_5 plant_sp_3,plant_sp_3,1_100_intralinks30_interlinks50_individuals,plant
29,2,ind_5 plant_sp_4,plant_sp_4,1_100_intralinks30_interlinks50_individuals,plant
30,1,ind_5 plant_sp_5,plant_sp_5,1_100_intralinks30_interlinks50_individuals,plant
31,7,ind_6 plant_sp_1,plant_sp_1,1_100_intralinks30_interlinks50_individuals,plant
32,5,ind_6 plant_sp_2,plant_sp_2,1_100_intralinks30_interlinks50_individuals,plant
33,1,ind_6 plant_sp_3,plant_sp_3,1_100_intralinks30_interlinks50_individuals,plant
34,3,ind_6 plant_sp_4,plant_sp_4,1_100_intralinks30_interlinks50_individuals,plant
35,6,ind_6 plant_sp_5,plant_sp_5,1_100_intralinks30_interlinks50_individuals,plant
36,7,ind_7 plant_sp_1,plant_sp_1,1_100_intralinks30_interlinks50_individuals,plant
37,3,ind_7 plant_sp_2,plant_sp_2,1_100_intralinks30_interlinks50_individuals,plant
38,3,ind_7 plant_sp_3,plant_sp_3,1_100_intralinks30_interlinks50_individuals,plant
39,2,ind_7 plant_sp_4,plant_sp_4,1_100_intralinks30_interlinks50_individuals,plant
40,2,ind_7 plant_sp_5,plant_sp_5,1_100_intralinks30_interlinks50_individuals,plant
41,4,ind_8 plant_sp_1,plant_sp_1,1_100_intralinks30_interlinks50_individuals,plant
42,11,ind_8 plant_sp_2,plant_sp_2,1_100_intralinks30_interlinks50_individuals,plant
43,2,ind_8 plant_sp_3,plant_sp_3,1_100_intralinks30_interlinks50_individuals,plant
44,1,ind_8 plant_sp_4,plant_sp_4,1_100_intralinks30_interlinks50_individuals,plant
45,10,ind_8 plant_sp_5,plant_sp_5,1_100_intralinks30_interlinks50_individuals,plant
46,5,ind_9 plant_sp_1,plant_sp_1,1_100_intralinks30_interlinks50_individuals,plant
47,5,ind_9 plant_sp_2,plant_sp_2,1_100_intralinks30_interlinks50_individuals,plant
48,4,ind_9 plant_sp_3,plant_sp_3,1_100_intralinks30_interlinks50_individuals,plant
49,9,ind_9 plant_sp_4,plant_sp_4,1_100_intralinks30_interlinks50_individuals,plant
50,6,ind_9 plant_sp_5,plant_sp_5,1_100_intralinks30_interlinks50_individuals,plant
51,1,pol_sp_10,plant_sp_1,1_100_intralinks30_interlinks50_individuals,pollinator
52,6,pol_sp_9,plant_sp_1,1_100_intralinks30_interlinks50_individuals,pollinator
53,3,pol_sp_5,plant_sp_2,1_100_intralinks30_interlinks50_individuals,pollinator
54,9,pol_sp_7,plant_sp_2,1_100_intralinks30_interlinks50_individuals,pollinator
55,6,pol_sp_9,plant_sp_2,1_100_intralinks30_interlinks50_individuals,pollinator
56,1,pol_sp_10,plant_sp_3,1_100_intralinks30_interlinks50_individuals,pollinator
57,2,pol_sp_3,plant_sp_3,1_100_intralinks30_interlinks50_individuals,pollinator
58,2,pol_sp_3,plant_sp_4,1_100_intralinks30_interlinks50_individuals,pollinator
59,9,pol_sp_7,plant_sp_4,1_100_intralinks30_interlinks50_individuals,pollinator
60,2,pol_sp_3,plant_sp_5,1_100_intralinks30_interlinks50_individuals,pollinator
61,10,pol_sp_6,plant_sp_5,1_100_intralinks30_interlinks50_individuals,pollinator
62,6,pol_sp_9,plant_sp_5,1_100_intralinks30_interlinks50_individuals,pollinator
63,5,pol_sp_2,plant_sp_1,1_100_intralinks30_interlinks50_individuals,pollinator
64,1,pol_sp_10,plant_sp_4,1_100_intralinks30_interlinks50_individuals,pollinator
65,8,pol_sp_4,plant_sp_4,1_100_intralinks30_interlinks50_individuals,pollinator
