node_id,module,layer_id,type,species,layer_name,Line
1,1,1,plant,7 A1 CHFU,CHFU,3
2,6,3,plant,7 A4 LEMA,LEMA,3
3,1,1,plant,7 A5 CHFU,CHFU,3
4,14,3,plant,7 A5 LEMA,LEMA,3
5,8,4,plant,7 A5 ME,ME,3
6,1,3,plant,7 A6 LEMA,LEMA,3
7,3,5,plant,7 A6 PUPA,PUPA,3
8,1,1,plant,7 B1 CHFU,CHFU,3
9,14,1,plant,7 B2 CHFU,CHFU,3
10,1,1,plant,7 B3 CHFU,CHFU,3
11,4,3,plant,7 B3 LEMA,LEMA,3
12,8,4,plant,7 B3 ME,ME,3
13,1,1,plant,7 B4 CHFU,CHFU,3
14,4,3,plant,7 B4 LEMA,LEMA,3
15,3,5,plant,7 B4 PUPA,PUPA,3
16,1,1,plant,7 B5 CHFU,CHFU,3
17,6,3,plant,7 B5 LEMA,LEMA,3
18,8,4,plant,7 B5 ME,ME,3
19,3,5,plant,7 B5 PUPA,PUPA,3
20,1,1,plant,7 B6 CHFU,CHFU,3
21,6,3,plant,7 B6 LEMA,LEMA,3
22,7,3,plant,7 C1 LEMA,LEMA,3
23,4,1,plant,7 C2 CHFU,CHFU,3
24,25,3,plant,7 C2 LEMA,LEMA,3
25,3,5,plant,7 C2 PUPA,PUPA,3
26,15,1,plant,7 C3 CHFU,CHFU,3
27,4,3,plant,7 C3 LEMA,LEMA,3
28,23,5,plant,7 C3 PUPA,PUPA,3
29,4,3,plant,7 C4 LEMA,LEMA,3
30,3,5,plant,7 C4 PUPA,PUPA,3
31,1,1,plant,7 C5 CHFU,CHFU,3
32,6,3,plant,7 C5 LEMA,LEMA,3
33,1,1,plant,7 C6 CHFU,CHFU,3
34,8,3,plant,7 C6 LEMA,LEMA,3
35,15,1,plant,7 D1 CHFU,CHFU,3
36,9,2,plant,7 D1 CHMI,CHMI,3
37,6,3,plant,7 D1 LEMA,LEMA,3
38,7,1,plant,7 D2 CHFU,CHFU,3
39,1,3,plant,7 D2 LEMA,LEMA,3
40,1,4,plant,7 D2 ME,ME,3
41,5,5,plant,7 D2 PUPA,PUPA,3
42,1,1,plant,7 D3 CHFU,CHFU,3
43,1,2,plant,7 D3 CHMI,CHMI,3
44,6,3,plant,7 D3 LEMA,LEMA,3
45,5,5,plant,7 D3 PUPA,PUPA,3
46,1,1,plant,7 D4 CHFU,CHFU,3
47,26,3,plant,7 D4 LEMA,LEMA,3
48,1,1,plant,7 D5 CHFU,CHFU,3
49,8,3,plant,7 D5 LEMA,LEMA,3
50,5,5,plant,7 D5 PUPA,PUPA,3
51,1,1,plant,7 D6 CHFU,CHFU,3
52,9,3,plant,7 D6 LEMA,LEMA,3
53,1,1,plant,7 E1 CHFU,CHFU,3
54,2,3,plant,7 E1 LEMA,LEMA,3
55,1,1,plant,7 E2 CHFU,CHFU,3
56,2,3,plant,7 E2 LEMA,LEMA,3
57,7,4,plant,7 E2 ME,ME,3
58,1,1,plant,7 E3 CHFU,CHFU,3
59,9,3,plant,7 E3 LEMA,LEMA,3
60,4,5,plant,7 E3 PUPA,PUPA,3
61,1,1,plant,7 E4 CHFU,CHFU,3
62,8,3,plant,7 E4 LEMA,LEMA,3
63,3,5,plant,7 E4 PUPA,PUPA,3
64,1,1,plant,7 E5 CHFU,CHFU,3
65,8,1,plant,7 E6 CHFU,CHFU,3
66,8,3,plant,7 E6 LEMA,LEMA,3
67,3,5,plant,7 E6 PUPA,PUPA,3
68,1,1,plant,7 F1 CHFU,CHFU,3
