layer_from,node_from,layer_to,node_to,weight,Plot
CETE,A2 CETE,CETE,Bombilus_major,1,1
CETE,A3 CETE,CETE,Small.bee.1_8_6,0.5,1
CETE,A3 CETE,CETE,Tabanidae,0.5,1
CETE,F4 CETE,CETE,Tabanidae,1,1
CHFU,B1 CHFU,CHFU,Ulidiidae,1,1
CHFU,B4 CHFU,CHFU,Ulidiidae,1,1
CHFU,C1 CHFU,CHFU,Other_Black_small_fly_jarE,0.3333333333333333,1
CHFU,C1 CHFU,CHFU,Ulidiidae,0.6666666666666666,1
CHFU,D1 CHFU,CHFU,Ulidiidae,1,1
CHFU,E3 CHFU,CHFU,Ulidiidae,1,1
CHFU,F2 CHFU,CHFU,Eucera_sp.,1,1
CHFU,F3 CHFU,CHFU,Ulidiidae,1,1
CHFU,F5 CHFU,CHFU,Ulidiidae,1,1
LEMA,A1 LEMA,LEMA,Brassicogethes_sp.,1,1
LEMA,A2 LEMA,LEMA,Brassicogethes_sp.,0.9,1
LEMA,A2 LEMA,LEMA,Psilothrix_viridicoerulea,0.1,1
LEMA,A3 LEMA,LEMA,Brassicogethes_sp.,0.9090909090909091,1
LEMA,A3 LEMA,LEMA,Malachius_bipustulatus,0.09090909090909091,1
LEMA,A4 LEMA,LEMA,Brassicogethes_sp.,0.6153846153846154,1
LEMA,A4 LEMA,LEMA,Psilothrix_viridicoerulea,0.38461538461538464,1
LEMA,A5 LEMA,LEMA,Brassicogethes_sp.,0.8333333333333334,1
LEMA,A5 LEMA,LEMA,Elateridae,0.1111111111111111,1
LEMA,A5 LEMA,LEMA,Psilothrix_viridicoerulea,0.05555555555555555,1
LEMA,A6 LEMA,LEMA,Black_small_fly_LEMA,0.08333333333333333,1
LEMA,A6 LEMA,LEMA,Brassicogethes_sp.,0.75,1
LEMA,A6 LEMA,LEMA,Oedemeridae,0.08333333333333333,1
LEMA,A6 LEMA,LEMA,Psilothrix_viridicoerulea,0.08333333333333333,1
LEMA,B1 LEMA,LEMA,Brassicogethes_sp.,0.8,1
LEMA,B1 LEMA,LEMA,Mordellidae,0.1,1
LEMA,B1 LEMA,LEMA,Psilothrix_viridicoerulea,0.1,1
LEMA,B2 LEMA,LEMA,Brassicogethes_sp.,1,1
LEMA,B3 LEMA,LEMA,Brassicogethes_sp.,0.8,1
LEMA,B3 LEMA,LEMA,Psilothrix_viridicoerulea,0.2,1
LEMA,B4 LEMA,LEMA,Brassicogethes_sp.,0.6923076923076923,1
LEMA,B4 LEMA,LEMA,Other_Black_small_fly_jarE,0.07692307692307693,1
LEMA,B4 LEMA,LEMA,Psilothrix_viridicoerulea,0.23076923076923078,1
LEMA,B5 LEMA,LEMA,Brassicogethes_sp.,0.8888888888888888,1
LEMA,B5 LEMA,LEMA,Psilothrix_viridicoerulea,0.1111111111111111,1
LEMA,B6 LEMA,LEMA,Andrena_sp.,0.1,1
LEMA,B6 LEMA,LEMA,Brassicogethes_sp.,0.8,1
LEMA,B6 LEMA,LEMA,Psilothrix_viridicoerulea,0.1,1
LEMA,C1 LEMA,LEMA,Brassicogethes_sp.,0.75,1
LEMA,C1 LEMA,LEMA,Elateridae,0.125,1
LEMA,C1 LEMA,LEMA,Psilothrix_viridicoerulea,0.125,1
LEMA,C2 LEMA,LEMA,Beetle.black.with.red.end,0.1111111111111111,1
LEMA,C2 LEMA,LEMA,Brassicogethes_sp.,0.7777777777777778,1
LEMA,C2 LEMA,LEMA,Malachius_bipustulatus,0.1111111111111111,1
LEMA,C3 LEMA,LEMA,Brassicogethes_sp.,1,1
LEMA,C4 LEMA,LEMA,Brassicogethes_sp.,0.8,1
LEMA,C4 LEMA,LEMA,Psilothrix_viridicoerulea,0.2,1
LEMA,C5 LEMA,LEMA,Brassicogethes_sp.,0.5,1
LEMA,C5 LEMA,LEMA,Musca_sp.,0.5,1
LEMA,C6 LEMA,LEMA,Brassicogethes_sp.,0.5,1
LEMA,C6 LEMA,LEMA,Psilothrix_viridicoerulea,0.25,1
LEMA,C6 LEMA,LEMA,Sphaerophoria_scripta,0.25,1
LEMA,D1 LEMA,LEMA,Brassicogethes_sp.,0.6666666666666666,1
LEMA,D1 LEMA,LEMA,Psilothrix_viridicoerulea,0.3333333333333333,1
LEMA,D2 LEMA,LEMA,Brassicogethes_sp.,0.7777777777777778,1
LEMA,D2 LEMA,LEMA,Psilothrix_viridicoerulea,0.2222222222222222,1
LEMA,D3 LEMA,LEMA,Brassicogethes_sp.,0.6,1
LEMA,D3 LEMA,LEMA,Psilothrix_viridicoerulea,0.4,1
LEMA,D4 LEMA,LEMA,Brassicogethes_sp.,0.5384615384615384,1
LEMA,D4 LEMA,LEMA,Geometridae,0.07692307692307693,1
LEMA,D4 LEMA,LEMA,Psilothrix_viridicoerulea,0.38461538461538464,1
LEMA,D5 LEMA,LEMA,Brassicogethes_sp.,0.5,1
LEMA,D5 LEMA,LEMA,Elateridae,0.1,1
LEMA,D5 LEMA,LEMA,Psilothrix_viridicoerulea,0.4,1
LEMA,D6 LEMA,LEMA,Brassicogethes_sp.,0.8571428571428571,1
LEMA,D6 LEMA,LEMA,Psilothrix_viridicoerulea,0.14285714285714285,1
LEMA,E1 LEMA,LEMA,Brassicogethes_sp.,0.75,1
LEMA,E1 LEMA,LEMA,Psilothrix_viridicoerulea,0.25,1
LEMA,E2 LEMA,LEMA,Andrena_sp.,0.19047619047619047,1
LEMA,E2 LEMA,LEMA,Brassicogethes_sp.,0.38095238095238093,1
LEMA,E2 LEMA,LEMA,Episyrphus_balteatus,0.3333333333333333,1
LEMA,E2 LEMA,LEMA,Psilothrix_viridicoerulea,0.09523809523809523,1
LEMA,E3 LEMA,LEMA,Bombyliidae,0.2,1
LEMA,E3 LEMA,LEMA,Brassicogethes_sp.,0.6,1
LEMA,E3 LEMA,LEMA,Cylindromyia_sp.,0.1,1
LEMA,E3 LEMA,LEMA,Psilothrix_viridicoerulea,0.1,1
LEMA,E4 LEMA,LEMA,Brassicogethes_sp.,1,1
LEMA,E5 LEMA,LEMA,Bombyliidae,0.5,1
LEMA,E5 LEMA,LEMA,Brassicogethes_sp.,0.16666666666666666,1
LEMA,E5 LEMA,LEMA,Psilothrix_viridicoerulea,0.3333333333333333,1
LEMA,E6 LEMA,LEMA,Brassicogethes_sp.,0.8333333333333334,1
LEMA,E6 LEMA,LEMA,Psilothrix_viridicoerulea,0.16666666666666666,1
LEMA,F1 LEMA,LEMA,Brassicogethes_sp.,0.8571428571428571,1
LEMA,F1 LEMA,LEMA,Psilothrix_viridicoerulea,0.14285714285714285,1
LEMA,F2 LEMA,LEMA,Brassicogethes_sp.,0.8,1
LEMA,F2 LEMA,LEMA,Cylindromyia_sp.,0.1,1
LEMA,F2 LEMA,LEMA,Psilothrix_viridicoerulea,0.1,1
LEMA,F3 LEMA,LEMA,Bombyliidae,0.1111111111111111,1
LEMA,F3 LEMA,LEMA,Brassicogethes_sp.,0.4444444444444444,1
LEMA,F3 LEMA,LEMA,Episyrphus_balteatus,0.2222222222222222,1
LEMA,F3 LEMA,LEMA,Psilothrix_viridicoerulea,0.2222222222222222,1
LEMA,F4 LEMA,LEMA,Brassicogethes_sp.,0.47368421052631576,1
LEMA,F4 LEMA,LEMA,Musca_sp.,0.3157894736842105,1
LEMA,F4 LEMA,LEMA,Psilothrix_viridicoerulea,0.10526315789473684,1
LEMA,F4 LEMA,LEMA,Red_black_fly_6.19.5,0.10526315789473684,1
LEMA,F5 LEMA,LEMA,Brassicogethes_sp.,0.16666666666666666,1
LEMA,F5 LEMA,LEMA,Psilothrix_viridicoerulea,0.6666666666666666,1
LEMA,F5 LEMA,LEMA,Small.bee.1_8_6,0.16666666666666666,1
LEMA,F6 LEMA,LEMA,Brassicogethes_sp.,0.2222222222222222,1
LEMA,F6 LEMA,LEMA,Elateridae,0.1111111111111111,1
LEMA,F6 LEMA,LEMA,Psilothrix_viridicoerulea,0.1111111111111111,1
LEMA,F6 LEMA,LEMA,Small.bee.1_8_6,0.5555555555555556,1
PUPA,C2 PUPA,PUPA,Small.bee.1_8_6,1,1
PUPA,D6 PUPA,PUPA,Small.bee.1_8_6,1,1
PUPA,F6 PUPA,PUPA,Small.bee.1_8_6,1,1
CETE,Bombilus_major,CETE,A2 CETE,1,1
CETE,Small.bee.1_8_6,CETE,A3 CETE,1,1
CETE,Tabanidae,CETE,A3 CETE,0.5,1
CETE,Tabanidae,CETE,F4 CETE,0.5,1
CHFU,Ulidiidae,CHFU,B1 CHFU,0.15384615384615385,1
CHFU,Ulidiidae,CHFU,B4 CHFU,0.07692307692307693,1
CHFU,Other_Black_small_fly_jarE,CHFU,C1 CHFU,1,1
CHFU,Ulidiidae,CHFU,C1 CHFU,0.15384615384615385,1
CHFU,Ulidiidae,CHFU,D1 CHFU,0.15384615384615385,1
CHFU,Ulidiidae,CHFU,E3 CHFU,0.23076923076923078,1
CHFU,Eucera_sp.,CHFU,F2 CHFU,1,1
CHFU,Ulidiidae,CHFU,F3 CHFU,0.07692307692307693,1
CHFU,Ulidiidae,CHFU,F5 CHFU,0.15384615384615385,1
LEMA,Brassicogethes_sp.,LEMA,A1 LEMA,0.017094017094017096,1
LEMA,Brassicogethes_sp.,LEMA,A2 LEMA,0.038461538461538464,1
LEMA,Psilothrix_viridicoerulea,LEMA,A2 LEMA,0.01818181818181818,1
LEMA,Brassicogethes_sp.,LEMA,A3 LEMA,0.042735042735042736,1
LEMA,Malachius_bipustulatus,LEMA,A3 LEMA,0.5,1
LEMA,Brassicogethes_sp.,LEMA,A4 LEMA,0.03418803418803419,1
LEMA,Psilothrix_viridicoerulea,LEMA,A4 LEMA,0.09090909090909091,1
LEMA,Brassicogethes_sp.,LEMA,A5 LEMA,0.0641025641025641,1
LEMA,Elateridae,LEMA,A5 LEMA,0.4,1
LEMA,Psilothrix_viridicoerulea,LEMA,A5 LEMA,0.01818181818181818,1
LEMA,Black_small_fly_LEMA,LEMA,A6 LEMA,1,1
LEMA,Brassicogethes_sp.,LEMA,A6 LEMA,0.038461538461538464,1
LEMA,Oedemeridae,LEMA,A6 LEMA,1,1
LEMA,Psilothrix_viridicoerulea,LEMA,A6 LEMA,0.01818181818181818,1
LEMA,Brassicogethes_sp.,LEMA,B1 LEMA,0.03418803418803419,1
LEMA,Mordellidae,LEMA,B1 LEMA,1,1
LEMA,Psilothrix_viridicoerulea,LEMA,B1 LEMA,0.01818181818181818,1
LEMA,Brassicogethes_sp.,LEMA,B2 LEMA,0.042735042735042736,1
LEMA,Brassicogethes_sp.,LEMA,B3 LEMA,0.03418803418803419,1
LEMA,Psilothrix_viridicoerulea,LEMA,B3 LEMA,0.03636363636363636,1
LEMA,Brassicogethes_sp.,LEMA,B4 LEMA,0.038461538461538464,1
LEMA,Other_Black_small_fly_jarE,LEMA,B4 LEMA,1,1
LEMA,Psilothrix_viridicoerulea,LEMA,B4 LEMA,0.05454545454545454,1
LEMA,Brassicogethes_sp.,LEMA,B5 LEMA,0.03418803418803419,1
LEMA,Psilothrix_viridicoerulea,LEMA,B5 LEMA,0.01818181818181818,1
LEMA,Andrena_sp.,LEMA,B6 LEMA,0.2,1
LEMA,Brassicogethes_sp.,LEMA,B6 LEMA,0.03418803418803419,1
LEMA,Psilothrix_viridicoerulea,LEMA,B6 LEMA,0.01818181818181818,1
LEMA,Brassicogethes_sp.,LEMA,C1 LEMA,0.02564102564102564,1
LEMA,Elateridae,LEMA,C1 LEMA,0.2,1
LEMA,Psilothrix_viridicoerulea,LEMA,C1 LEMA,0.01818181818181818,1
LEMA,Beetle.black.with.red.end,LEMA,C2 LEMA,1,1
LEMA,Brassicogethes_sp.,LEMA,C2 LEMA,0.029914529914529916,1
LEMA,Malachius_bipustulatus,LEMA,C2 LEMA,0.5,1
LEMA,Brassicogethes_sp.,LEMA,C3 LEMA,0.02564102564102564,1
LEMA,Brassicogethes_sp.,LEMA,C4 LEMA,0.017094017094017096,1
LEMA,Psilothrix_viridicoerulea,LEMA,C4 LEMA,0.01818181818181818,1
LEMA,Brassicogethes_sp.,LEMA,C5 LEMA,0.004273504273504274,1
LEMA,Musca_sp.,LEMA,C5 LEMA,0.14285714285714285,1
LEMA,Brassicogethes_sp.,LEMA,C6 LEMA,0.008547008547008548,1
LEMA,Psilothrix_viridicoerulea,LEMA,C6 LEMA,0.01818181818181818,1
LEMA,Sphaerophoria_scripta,LEMA,C6 LEMA,1,1
LEMA,Brassicogethes_sp.,LEMA,D1 LEMA,0.017094017094017096,1
LEMA,Psilothrix_viridicoerulea,LEMA,D1 LEMA,0.03636363636363636,1
LEMA,Brassicogethes_sp.,LEMA,D2 LEMA,0.029914529914529916,1
LEMA,Psilothrix_viridicoerulea,LEMA,D2 LEMA,0.03636363636363636,1
LEMA,Brassicogethes_sp.,LEMA,D3 LEMA,0.01282051282051282,1
LEMA,Psilothrix_viridicoerulea,LEMA,D3 LEMA,0.03636363636363636,1
LEMA,Brassicogethes_sp.,LEMA,D4 LEMA,0.029914529914529916,1
LEMA,Geometridae,LEMA,D4 LEMA,1,1
LEMA,Psilothrix_viridicoerulea,LEMA,D4 LEMA,0.09090909090909091,1
LEMA,Brassicogethes_sp.,LEMA,D5 LEMA,0.021367521367521368,1
LEMA,Elateridae,LEMA,D5 LEMA,0.2,1
LEMA,Psilothrix_viridicoerulea,LEMA,D5 LEMA,0.07272727272727272,1
LEMA,Brassicogethes_sp.,LEMA,D6 LEMA,0.07692307692307693,1
LEMA,Psilothrix_viridicoerulea,LEMA,D6 LEMA,0.05454545454545454,1
LEMA,Brassicogethes_sp.,LEMA,E1 LEMA,0.01282051282051282,1
LEMA,Psilothrix_viridicoerulea,LEMA,E1 LEMA,0.01818181818181818,1
LEMA,Andrena_sp.,LEMA,E2 LEMA,0.8,1
LEMA,Brassicogethes_sp.,LEMA,E2 LEMA,0.03418803418803419,1
LEMA,Episyrphus_balteatus,LEMA,E2 LEMA,0.7777777777777778,1
LEMA,Psilothrix_viridicoerulea,LEMA,E2 LEMA,0.03636363636363636,1
LEMA,Bombyliidae,LEMA,E3 LEMA,0.3333333333333333,1
LEMA,Brassicogethes_sp.,LEMA,E3 LEMA,0.02564102564102564,1
LEMA,Cylindromyia_sp.,LEMA,E3 LEMA,0.5,1
LEMA,Psilothrix_viridicoerulea,LEMA,E3 LEMA,0.01818181818181818,1
LEMA,Brassicogethes_sp.,LEMA,E4 LEMA,0.021367521367521368,1
LEMA,Bombyliidae,LEMA,E5 LEMA,0.5,1
LEMA,Brassicogethes_sp.,LEMA,E5 LEMA,0.004273504273504274,1
LEMA,Psilothrix_viridicoerulea,LEMA,E5 LEMA,0.03636363636363636,1
LEMA,Brassicogethes_sp.,LEMA,E6 LEMA,0.021367521367521368,1
LEMA,Psilothrix_viridicoerulea,LEMA,E6 LEMA,0.01818181818181818,1
LEMA,Brassicogethes_sp.,LEMA,F1 LEMA,0.02564102564102564,1
LEMA,Psilothrix_viridicoerulea,LEMA,F1 LEMA,0.01818181818181818,1
LEMA,Brassicogethes_sp.,LEMA,F2 LEMA,0.03418803418803419,1
LEMA,Cylindromyia_sp.,LEMA,F2 LEMA,0.5,1
LEMA,Psilothrix_viridicoerulea,LEMA,F2 LEMA,0.01818181818181818,1
LEMA,Bombyliidae,LEMA,F3 LEMA,0.16666666666666666,1
LEMA,Brassicogethes_sp.,LEMA,F3 LEMA,0.017094017094017096,1
LEMA,Episyrphus_balteatus,LEMA,F3 LEMA,0.2222222222222222,1
LEMA,Psilothrix_viridicoerulea,LEMA,F3 LEMA,0.03636363636363636,1
LEMA,Brassicogethes_sp.,LEMA,F4 LEMA,0.038461538461538464,1
LEMA,Musca_sp.,LEMA,F4 LEMA,0.8571428571428571,1
LEMA,Psilothrix_viridicoerulea,LEMA,F4 LEMA,0.03636363636363636,1
LEMA,Red_black_fly_6.19.5,LEMA,F4 LEMA,1,1
LEMA,Brassicogethes_sp.,LEMA,F5 LEMA,0.004273504273504274,1
LEMA,Psilothrix_viridicoerulea,LEMA,F5 LEMA,0.07272727272727272,1
LEMA,Small.bee.1_8_6,LEMA,F5 LEMA,0.16666666666666666,1
