layer_from,node_from,layer_to,node_to,weight,Plot
CHFU,A2 CHFU,CHFU,Dilophus_sp.,0.3333333333333333,1
CHFU,A2 CHFU,CHFU,Diptera,0.6666666666666666,1
CHFU,A3 CHFU,CHFU,Empididae,1,1
CHFU,B1 CHFU,CHFU,Eupeodes_corollae,1,1
CHFU,B2 CHFU,CHFU,Empididae,0.6666666666666666,1
CHFU,B2 CHFU,CHFU,Sphaerophoria_scripta,0.3333333333333333,1
CHFU,C4 CHFU,CHFU,Dilophus_sp.,1,1
CHFU,C5 CHFU,CHFU,Dilophus_sp.,1,1
CHFU,E2 CHFU,CHFU,Diptera,1,1
CHFU,E5 CHFU,CHFU,Diptera,1,1
CHFU,F4 CHFU,CHFU,Diptera,1,1
LEMA,A1 LEMA,LEMA,Dilophus_sp.,0.25,1
LEMA,A1 LEMA,LEMA,Psilothrix_viridicoerulea,0.75,1
LEMA,A2 LEMA,LEMA,Odontomyia_sp.,0.25,1
LEMA,A2 LEMA,LEMA,Psilothrix_viridicoerulea,0.75,1
LEMA,A3 LEMA,LEMA,Anthaxia_semicuprea,0.5,1
LEMA,A3 LEMA,LEMA,Psilothrix_viridicoerulea,0.5,1
LEMA,A4 LEMA,LEMA,Andrena_cinerea,0.3333333333333333,1
LEMA,A4 LEMA,LEMA,Psilothrix_viridicoerulea,0.6666666666666666,1
LEMA,A5 LEMA,LEMA,Dilophus_sp.,1,1
LEMA,A6 LEMA,LEMA,Anthaxia_semicuprea,0.3333333333333333,1
LEMA,A6 LEMA,LEMA,Odontomyia_sp.,0.3333333333333333,1
LEMA,A6 LEMA,LEMA,Psilothrix_viridicoerulea,0.3333333333333333,1
LEMA,B1 LEMA,LEMA,Eupeodes_corollae,0.5,1
LEMA,B1 LEMA,LEMA,Oedemeridae,0.5,1
LEMA,B2 LEMA,LEMA,Odontomyia_sp.,0.25,1
LEMA,B2 LEMA,LEMA,Psilothrix_viridicoerulea,0.5,1
LEMA,B2 LEMA,LEMA,Sphaerophoria_scripta,0.25,1
LEMA,B5 LEMA,LEMA,Psilothrix_viridicoerulea,1,1
LEMA,C1 LEMA,LEMA,Musca_sp.,0.5,1
LEMA,C1 LEMA,LEMA,Psilothrix_viridicoerulea,0.5,1
LEMA,C2 LEMA,LEMA,Dilophus_sp.,1,1
LEMA,C3 LEMA,LEMA,Odontomyia_sp.,0.5,1
LEMA,C3 LEMA,LEMA,Psilothrix_viridicoerulea,0.5,1
LEMA,C4 LEMA,LEMA,Andrena_cinerea,0.5,1
LEMA,C4 LEMA,LEMA,Melyridae,0.5,1
LEMA,C5 LEMA,LEMA,Dilophus_sp.,0.3333333333333333,1
LEMA,C5 LEMA,LEMA,Diptera,0.3333333333333333,1
LEMA,C5 LEMA,LEMA,Eupeodes_corollae,0.3333333333333333,1
LEMA,D1 LEMA,LEMA,Melyridae,1,1
LEMA,D2 LEMA,LEMA,Psilothrix_viridicoerulea,1,1
LEMA,D3 LEMA,LEMA,Chrysomelidae,0.14285714285714285,1
LEMA,D3 LEMA,LEMA,Dilophus_sp.,0.2857142857142857,1
LEMA,D3 LEMA,LEMA,Mordellidae,0.14285714285714285,1
LEMA,D3 LEMA,LEMA,Psilothrix_viridicoerulea,0.42857142857142855,1
LEMA,D4 LEMA,LEMA,Mordellidae,1,1
LEMA,D5 LEMA,LEMA,Anthaxia_semicuprea,0.2,1
LEMA,D5 LEMA,LEMA,Dilophus_sp.,0.2,1
LEMA,D5 LEMA,LEMA,Mordellidae,0.2,1
LEMA,D5 LEMA,LEMA,Odontomyia_sp.,0.2,1
LEMA,D5 LEMA,LEMA,Psilothrix_viridicoerulea,0.2,1
LEMA,E1 LEMA,LEMA,Psilothrix_viridicoerulea,1,1
LEMA,E2 LEMA,LEMA,Dilophus_sp.,0.2,1
LEMA,E2 LEMA,LEMA,Psilothrix_viridicoerulea,0.4,1
LEMA,E2 LEMA,LEMA,Sphaerophoria_scripta,0.4,1
LEMA,E3 LEMA,LEMA,Eupeodes_corollae,0.2,1
LEMA,E3 LEMA,LEMA,Odontomyia_sp.,0.2,1
LEMA,E3 LEMA,LEMA,Psilothrix_viridicoerulea,0.6,1
LEMA,E4 LEMA,LEMA,Psilothrix_viridicoerulea,1,1
LEMA,E5 LEMA,LEMA,Dilophus_sp.,0.3333333333333333,1
LEMA,E5 LEMA,LEMA,Psilothrix_viridicoerulea,0.6666666666666666,1
LEMA,E6 LEMA,LEMA,Psilothrix_viridicoerulea,1,1
LEMA,F1 LEMA,LEMA,Dilophus_sp.,0.25,1
LEMA,F1 LEMA,LEMA,Scaeva_sp.,0.25,1
LEMA,F1 LEMA,LEMA,Sphaerophoria_scripta,0.5,1
LEMA,F2 LEMA,LEMA,Dilophus_sp.,1,1
LEMA,F3 LEMA,LEMA,Dilophus_sp.,0.2,1
