node_id,module,layer_id,type,species,layer_name,Line
1,1,2,plant,1 A1 LEMA,LEMA,1
2,2,1,plant,1 A2 CHFU,CHFU,1
3,1,2,plant,1 A2 LEMA,LEMA,1
4,6,1,plant,1 A3 CHFU,CHFU,1
5,12,2,plant,1 A3 LEMA,LEMA,1
6,1,2,plant,1 A4 LEMA,LEMA,1
7,3,2,plant,1 A5 LEMA,LEMA,1
8,12,2,plant,1 A6 LEMA,LEMA,1
9,4,1,plant,1 B1 CHFU,CHFU,1
10,21,2,plant,1 B1 LEMA,LEMA,1
11,6,1,plant,1 B2 CHFU,CHFU,1
12,12,2,plant,1 B2 LEMA,LEMA,1
13,6,3,plant,1 B2 ME,ME,1
14,1,2,plant,1 B5 LEMA,LEMA,1
15,13,2,plant,1 C1 LEMA,LEMA,1
16,3,2,plant,1 C2 LEMA,LEMA,1
17,12,2,plant,1 C3 LEMA,LEMA,1
18,3,1,plant,1 C4 CHFU,CHFU,1
19,16,2,plant,1 C4 LEMA,LEMA,1
20,3,1,plant,1 C5 CHFU,CHFU,1
21,2,2,plant,1 C5 LEMA,LEMA,1
22,16,2,plant,1 D1 LEMA,LEMA,1
23,1,2,plant,1 D2 LEMA,LEMA,1
24,13,3,plant,1 D2 ME,ME,1
25,17,2,plant,1 D3 LEMA,LEMA,1
26,17,2,plant,1 D4 LEMA,LEMA,1
27,12,2,plant,1 D5 LEMA,LEMA,1
28,1,2,plant,1 E1 LEMA,LEMA,1
29,2,1,plant,1 E2 CHFU,CHFU,1
30,5,2,plant,1 E2 LEMA,LEMA,1
31,1,2,plant,1 E3 LEMA,LEMA,1
32,5,3,plant,1 E3 ME,ME,1
33,1,2,plant,1 E4 LEMA,LEMA,1
34,2,1,plant,1 E5 CHFU,CHFU,1
35,1,2,plant,1 E5 LEMA,LEMA,1
36,1,2,plant,1 E6 LEMA,LEMA,1
37,5,2,plant,1 F1 LEMA,LEMA,1
38,3,2,plant,1 F2 LEMA,LEMA,1
39,1,2,plant,1 F3 LEMA,LEMA,1
40,2,1,plant,1 F4 CHFU,CHFU,1
41,17,2,plant,1 F4 LEMA,LEMA,1
42,1,2,plant,1 F5 LEMA,LEMA,1
43,5,2,plant,1 F6 LEMA,LEMA,1
44,2,2,plant,2 A1 LEMA,LEMA,1
45,3,1,plant,2 A3 CHFU,CHFU,1
46,1,2,plant,2 A3 LEMA,LEMA,1
47,3,1,plant,2 A4 CHFU,CHFU,1
48,9,2,plant,2 A4 LEMA,LEMA,1
49,20,2,plant,2 A5 LEMA,LEMA,1
50,4,3,plant,2 A5 ME,ME,1
51,3,1,plant,2 B1 CHFU,CHFU,1
52,10,2,plant,2 B1 LEMA,LEMA,1
53,2,3,plant,2 B1 ME,ME,1
54,11,2,plant,2 B2 LEMA,LEMA,1
55,1,2,plant,2 B3 LEMA,LEMA,1
56,16,2,plant,2 B4 LEMA,LEMA,1
57,14,3,plant,2 B5 ME,ME,1
58,1,2,plant,2 B6 LEMA,LEMA,1
59,10,2,plant,2 C1 LEMA,LEMA,1
60,10,3,plant,2 C1 ME,ME,1
61,9,2,plant,2 C3 LEMA,LEMA,1
62,4,2,plant,2 C5 LEMA,LEMA,1
63,11,2,plant,2 C6 LEMA,LEMA,1
64,2,1,plant,2 D1 CHFU,CHFU,1
65,15,2,plant,2 D1 LEMA,LEMA,1
66,7,3,plant,2 D2 ME,ME,1
67,14,3,plant,2 D3 ME,ME,1
68,9,2,plant,2 D4 LEMA,LEMA,1
69,4,2,plant,2 D5 LEMA,LEMA,1
70,9,2,plant,2 D6 LEMA,LEMA,1
71,3,1,plant,2 E1 CHFU,CHFU,1
72,3,2,plant,2 E1 LEMA,LEMA,1
73,4,2,plant,2 E2 LEMA,LEMA,1
74,9,3,plant,2 E2 ME,ME,1
75,11,2,plant,2 E3 LEMA,LEMA,1
76,1,2,plant,2 E4 LEMA,LEMA,1
77,10,3,plant,2 E4 ME,ME,1
78,9,2,plant,2 E5 LEMA,LEMA,1
79,1,2,plant,2 E6 LEMA,LEMA,1
80,10,2,plant,2 F1 LEMA,LEMA,1
81,18,2,plant,2 F2 LEMA,LEMA,1
82,15,2,plant,2 F3 LEMA,LEMA,1
83,1,2,plant,2 F4 LEMA,LEMA,1
84,11,2,plant,2 F6 LEMA,LEMA,1
85,3,2,plant,3 A1 LEMA,LEMA,1
86,1,2,plant,3 A5 LEMA,LEMA,1
87,8,1,plant,3 A6 CHFU,CHFU,1
88,1,2,plant,3 B1 LEMA,LEMA,1
89,1,2,plant,3 B2 LEMA,LEMA,1
90,8,2,plant,3 B3 LEMA,LEMA,1
91,1,2,plant,3 B5 LEMA,LEMA,1
92,1,2,plant,3 B6 LEMA,LEMA,1
93,1,2,plant,3 C1 LEMA,LEMA,1
94,4,1,plant,3 C3 CHFU,CHFU,1
95,7,2,plant,3 C3 LEMA,LEMA,1
96,1,3,plant,3 C3 ME,ME,1
97,8,2,plant,3 C4 LEMA,LEMA,1
98,1,2,plant,3 C5 LEMA,LEMA,1
99,1,2,plant,3 C6 LEMA,LEMA,1
100,1,2,plant,3 D1 LEMA,LEMA,1
101,19,1,plant,3 D2 CHFU,CHFU,1
102,7,2,plant,3 D2 LEMA,LEMA,1
103,8,1,plant,3 D3 CHFU,CHFU,1
104,1,2,plant,3 D3 LEMA,LEMA,1
105,1,3,plant,3 D4 ME,ME,1
106,1,2,plant,3 D5 LEMA,LEMA,1
107,18,2,plant,3 D6 LEMA,LEMA,1
108,1,2,plant,3 E1 LEMA,LEMA,1
109,3,1,plant,3 E2 CHFU,CHFU,1
110,1,2,plant,3 E2 LEMA,LEMA,1
111,11,2,plant,3 E3 LEMA,LEMA,1
112,2,3,plant,3 E3 ME,ME,1
113,2,2,plant,3 E4 LEMA,LEMA,1
114,2,3,plant,3 E4 ME,ME,1
115,1,2,plant,3 E5 LEMA,LEMA,1
116,1,2,plant,3 F1 LEMA,LEMA,1
117,8,1,plant,3 F2 CHFU,CHFU,1
118,1,2,plant,3 F2 LEMA,LEMA,1
119,11,2,plant,3 F3 LEMA,LEMA,1
120,1,2,plant,3 F4 LEMA,LEMA,1
121,2,3,plant,3 F4 ME,ME,1
122,1,2,plant,3 F5 LEMA,LEMA,1
123,1,2,plant,3 F6 LEMA,LEMA,1
124,7,2,pollinator,Andrena_cinerea,LEMA,1
124,7,3,pollinator,Andrena_cinerea,ME,1
125,12,2,pollinator,Anthaxia_semicuprea,LEMA,1
126,15,2,pollinator,Brassicogethes_sp.,LEMA,1
127,19,1,pollinator,Bruchidae,CHFU,1
128,14,3,pollinator,Calliphoridae,ME,1
129,10,2,pollinator,Cantharidae,LEMA,1
129,10,3,pollinator,Cantharidae,ME,1
130,17,2,pollinator,Chrysomelidae,LEMA,1
131,18,2,pollinator,Chrysotoxum_sp.,LEMA,1
132,3,1,pollinator,Dilophus_sp.,CHFU,1
132,3,2,pollinator,Dilophus_sp.,LEMA,1
132,3,3,pollinator,Dilophus_sp.,ME,1
133,2,1,pollinator,Diptera,CHFU,1
133,2,2,pollinator,Diptera,LEMA,1
133,2,3,pollinator,Diptera,ME,1
134,6,1,pollinator,Empididae,CHFU,1
134,6,3,pollinator,Empididae,ME,1
135,20,2,pollinator,Episyrphus_balteatus,LEMA,1
136,4,1,pollinator,Eupeodes_corollae,CHFU,1
136,4,2,pollinator,Eupeodes_corollae,LEMA,1
136,4,3,pollinator,Eupeodes_corollae,ME,1
137,10,3,pollinator,Lassioglosum_.immunitum,ME,1
138,18,2,pollinator,Malachius_bipustulatus,LEMA,1
139,11,2,pollinator,Meligethes_sp.,LEMA,1
140,16,2,pollinator,Melyridae,LEMA,1
141,17,2,pollinator,Mordellidae,LEMA,1
142,13,2,pollinator,Musca_sp.,LEMA,1
142,13,3,pollinator,Musca_sp.,ME,1
143,9,2,pollinator,Nemotelus_sp.,LEMA,1
143,9,3,pollinator,Nemotelus_sp.,ME,1
144,12,2,pollinator,Odontomyia_sp.,LEMA,1
145,21,2,pollinator,Oedemeridae,LEMA,1
146,1,2,pollinator,Psilothrix_viridicoerulea,LEMA,1
146,1,3,pollinator,Psilothrix_viridicoerulea,ME,1
147,8,1,pollinator,Scaeva_sp.,CHFU,1
147,8,2,pollinator,Scaeva_sp.,LEMA,1
148,5,1,pollinator,Sphaerophoria_scripta,CHFU,1
148,5,2,pollinator,Sphaerophoria_scripta,LEMA,1
148,5,3,pollinator,Sphaerophoria_scripta,ME,1
