node_id,module,species,layer_name,Plot,type
1,1,A1 CHFU,CHFU,7,plant
2,1,A5 CHFU,CHFU,7,plant
3,1,B1 CHFU,CHFU,7,plant
4,12,B2 CHFU,CHFU,7,plant
5,1,B3 CHFU,CHFU,7,plant
6,1,B4 CHFU,CHFU,7,plant
7,1,B5 CHFU,CHFU,7,plant
8,1,B6 CHFU,CHFU,7,plant
9,8,C2 CHFU,CHFU,7,plant
10,16,C3 CHFU,CHFU,7,plant
11,1,C5 CHFU,CHFU,7,plant
12,1,C6 CHFU,CHFU,7,plant
13,14,D1 CHFU,CHFU,7,plant
14,7,D2 CHFU,CHFU,7,plant
15,1,D3 CHFU,CHFU,7,plant
16,1,D4 CHFU,CHFU,7,plant
17,1,D5 CHFU,CHFU,7,plant
18,1,D6 CHFU,CHFU,7,plant
19,1,E1 CHFU,CHFU,7,plant
20,17,E2 CHFU,CHFU,7,plant
21,1,E3 CHFU,CHFU,7,plant
22,1,E4 CHFU,CHFU,7,plant
23,1,E5 CHFU,CHFU,7,plant
24,2,E6 CHFU,CHFU,7,plant
25,1,F1 CHFU,CHFU,7,plant
26,14,F2 CHFU,CHFU,7,plant
27,1,F3 CHFU,CHFU,7,plant
28,1,F4 CHFU,CHFU,7,plant
29,1,F5 CHFU,CHFU,7,plant
30,11,D1 CHMI,CHMI,7,plant
31,1,D3 CHMI,CHMI,7,plant
32,10,F4 CHMI,CHMI,7,plant
33,11,F5 CHMI,CHMI,7,plant
34,5,A4 LEMA,LEMA,7,plant
35,12,A5 LEMA,LEMA,7,plant
36,1,A6 LEMA,LEMA,7,plant
37,3,B3 LEMA,LEMA,7,plant
38,3,B4 LEMA,LEMA,7,plant
39,3,B5 LEMA,LEMA,7,plant
40,5,B6 LEMA,LEMA,7,plant
41,5,C1 LEMA,LEMA,7,plant
42,5,C2 LEMA,LEMA,7,plant
43,3,C3 LEMA,LEMA,7,plant
44,3,C4 LEMA,LEMA,7,plant
45,5,C5 LEMA,LEMA,7,plant
46,2,C6 LEMA,LEMA,7,plant
47,5,D1 LEMA,LEMA,7,plant
48,1,D2 LEMA,LEMA,7,plant
49,5,D3 LEMA,LEMA,7,plant
50,13,D4 LEMA,LEMA,7,plant
51,2,D5 LEMA,LEMA,7,plant
52,11,D6 LEMA,LEMA,7,plant
53,10,E1 LEMA,LEMA,7,plant
54,10,E2 LEMA,LEMA,7,plant
55,5,E3 LEMA,LEMA,7,plant
56,5,E4 LEMA,LEMA,7,plant
57,2,E6 LEMA,LEMA,7,plant
58,1,F2 LEMA,LEMA,7,plant
59,3,F3 LEMA,LEMA,7,plant
60,3,F4 LEMA,LEMA,7,plant
61,2,A5 ME,ME,7,plant
62,2,B3 ME,ME,7,plant
63,2,B5 ME,ME,7,plant
64,1,D2 ME,ME,7,plant
65,7,E2 ME,ME,7,plant
66,6,A6 PUPA,PUPA,7,plant
67,6,B4 PUPA,PUPA,7,plant
68,4,B5 PUPA,PUPA,7,plant
69,4,C2 PUPA,PUPA,7,plant
70,15,C3 PUPA,PUPA,7,plant
71,6,C4 PUPA,PUPA,7,plant
72,4,D2 PUPA,PUPA,7,plant
73,4,D3 PUPA,PUPA,7,plant
74,4,D5 PUPA,PUPA,7,plant
75,9,E3 PUPA,PUPA,7,plant
76,6,E4 PUPA,PUPA,7,plant
77,6,E6 PUPA,PUPA,7,plant
78,6,F3 PUPA,PUPA,7,plant
79,6,F4 PUPA,PUPA,7,plant
80,6,F6 PUPA,PUPA,7,plant
81,1,Dilophus_sp.,CHFU,7,pollinator
82,16,Ulidiidae,CHFU,7,pollinator
83,12,Eupeodes_corollae,CHFU,7,pollinator
84,14,Empididae,CHFU,7,pollinator
85,8,Andrena_cinerea,CHFU,7,pollinator
86,7,Musca_sp.,CHFU,7,pollinator
87,17,Diptera,CHFU,7,pollinator
88,2,Odontomyia_sp.,CHFU,7,pollinator
89,14,Scaeva_sp.,CHFU,7,pollinator
90,11,Mordellidae,CHMI,7,pollinator
91,1,Dilophus_sp.,CHMI,7,pollinator
92,10,Psilothrix_viridicoerulea,CHMI,7,pollinator
93,10,Psilothrix_viridicoerulea,LEMA,7,pollinator
94,5,Sphaerophoria_scripta,LEMA,7,pollinator
95,12,Eupeodes_corollae,LEMA,7,pollinator
96,1,Dilophus_sp.,LEMA,7,pollinator
97,3,Andrena_cinerea,LEMA,7,pollinator
98,7,Musca_sp.,LEMA,7,pollinator
99,5,Malachius_bipustulatus,LEMA,7,pollinator
100,2,Odontomyia_sp.,LEMA,7,pollinator
101,13,Melanostoma_sp.,LEMA,7,pollinator
102,11,Mordellidae,LEMA,7,pollinator
103,3,Coleoptera,LEMA,7,pollinator
104,3,Curculionidae,LEMA,7,pollinator
105,2,Odontomyia_sp.,ME,7,pollinator
106,1,Dilophus_sp.,ME,7,pollinator
107,7,Musca_sp.,ME,7,pollinator
108,6,Bombyliidae,PUPA,7,pollinator
109,6,Lasiocampa_trifolii,PUPA,7,pollinator
110,4,Eucera_sp.,PUPA,7,pollinator
111,4,Dilophus_sp.,PUPA,7,pollinator
112,15,Colias_croceus,PUPA,7,pollinator
113,9,Andrena_cinerea,PUPA,7,pollinator
