node_id,module,species,layer_name,Plot,type
1,2,A3 CHFU,CHFU,2,plant
2,2,A4 CHFU,CHFU,2,plant
3,2,B1 CHFU,CHFU,2,plant
4,3,D1 CHFU,CHFU,2,plant
5,2,E1 CHFU,CHFU,2,plant
6,3,A1 LEMA,LEMA,2,plant
7,1,A3 LEMA,LEMA,2,plant
8,5,A4 LEMA,LEMA,2,plant
9,11,A5 LEMA,LEMA,2,plant
10,1,B1 LEMA,LEMA,2,plant
11,7,B2 LEMA,LEMA,2,plant
12,1,B3 LEMA,LEMA,2,plant
13,10,B4 LEMA,LEMA,2,plant
14,1,B6 LEMA,LEMA,2,plant
15,6,C1 LEMA,LEMA,2,plant
16,1,C3 LEMA,LEMA,2,plant
17,4,C5 LEMA,LEMA,2,plant
18,7,C6 LEMA,LEMA,2,plant
19,1,D1 LEMA,LEMA,2,plant
20,5,D4 LEMA,LEMA,2,plant
21,4,D5 LEMA,LEMA,2,plant
22,4,D6 LEMA,LEMA,2,plant
23,2,E1 LEMA,LEMA,2,plant
24,4,E2 LEMA,LEMA,2,plant
25,7,E3 LEMA,LEMA,2,plant
26,1,E4 LEMA,LEMA,2,plant
27,5,E5 LEMA,LEMA,2,plant
28,1,E6 LEMA,LEMA,2,plant
29,6,F1 LEMA,LEMA,2,plant
30,10,F2 LEMA,LEMA,2,plant
31,1,F3 LEMA,LEMA,2,plant
32,1,F4 LEMA,LEMA,2,plant
33,7,F6 LEMA,LEMA,2,plant
34,4,A5 ME,ME,2,plant
35,3,B1 ME,ME,2,plant
36,9,B5 ME,ME,2,plant
37,6,C1 ME,ME,2,plant
38,8,D2 ME,ME,2,plant
39,9,D3 ME,ME,2,plant
40,5,E2 ME,ME,2,plant
41,6,E4 ME,ME,2,plant
42,2,Dilophus_sp.,CHFU,2,pollinator
43,3,Diptera,CHFU,2,pollinator
44,3,Diptera,LEMA,2,pollinator
45,4,Eupeodes_corollae,LEMA,2,pollinator
46,5,Nemotelus_sp.,LEMA,2,pollinator
47,1,Psilothrix_viridicoerulea,LEMA,2,pollinator
48,11,Episyrphus_balteatus,LEMA,2,pollinator
49,6,Cantharidae,LEMA,2,pollinator
50,7,Meligethes_sp.,LEMA,2,pollinator
51,10,Melyridae,LEMA,2,pollinator
52,2,Dilophus_sp.,LEMA,2,pollinator
53,1,Brassicogethes_sp.,LEMA,2,pollinator
54,1,Musca_sp.,LEMA,2,pollinator
55,2,Mordellidae,LEMA,2,pollinator
56,8,Andrena_cinerea,LEMA,2,pollinator
57,10,Malachius_bipustulatus,LEMA,2,pollinator
58,4,Eupeodes_corollae,ME,2,pollinator
59,3,Diptera,ME,2,pollinator
60,9,Calliphoridae,ME,2,pollinator
61,6,Cantharidae,ME,2,pollinator
62,8,Andrena_cinerea,ME,2,pollinator
63,5,Nemotelus_sp.,ME,2,pollinator
64,6,Lassioglosum_ immunitum,immunitum,2,plant
