layer_from,node_from,layer_to,node_to,weight,Plot
CHFU,A2 CHFU,CHFU,Flies,0.6666666666666666,1
CHFU,A2 CHFU,CHFU,Small_flies,0.3333333333333333,1
CHFU,A3 CHFU,CHFU,Small_flies,1,1
CHFU,B1 CHFU,CHFU,Hoverflies,1,1
CHFU,B2 CHFU,CHFU,Hoverflies,0.3333333333333333,1
CHFU,B2 CHFU,CHFU,Small_flies,0.6666666666666666,1
CHFU,C4 CHFU,CHFU,Small_flies,1,1
CHFU,C5 CHFU,CHFU,Small_flies,1,1
CHFU,E2 CHFU,CHFU,Flies,1,1
CHFU,E5 CHFU,CHFU,Flies,1,1
CHFU,F4 CHFU,CHFU,Flies,1,1
LEMA,A1 LEMA,LEMA,Flower_beetles,0.75,1
LEMA,A1 LEMA,LEMA,Small_flies,0.25,1
LEMA,A2 LEMA,LEMA,Flower_beetles,0.75,1
LEMA,A2 LEMA,LEMA,Small_flies,0.25,1
LEMA,A3 LEMA,LEMA,Flower_beetles,1,1
LEMA,A4 LEMA,LEMA,Bees,0.3333333333333333,1
LEMA,A4 LEMA,LEMA,Flower_beetles,0.6666666666666666,1
LEMA,A5 LEMA,LEMA,Small_flies,1,1
LEMA,A6 LEMA,LEMA,Flower_beetles,0.6666666666666666,1
LEMA,A6 LEMA,LEMA,Small_flies,0.3333333333333333,1
LEMA,B1 LEMA,LEMA,Flower_beetles,0.5,1
LEMA,B1 LEMA,LEMA,Hoverflies,0.5,1
LEMA,B2 LEMA,LEMA,Flower_beetles,0.5,1
LEMA,B2 LEMA,LEMA,Hoverflies,0.25,1
LEMA,B2 LEMA,LEMA,Small_flies,0.25,1
LEMA,B5 LEMA,LEMA,Flower_beetles,1,1
LEMA,C1 LEMA,LEMA,Flower_beetles,0.5,1
LEMA,C1 LEMA,LEMA,House_flies,0.5,1
LEMA,C2 LEMA,LEMA,Small_flies,1,1
LEMA,C3 LEMA,LEMA,Flower_beetles,0.5,1
LEMA,C3 LEMA,LEMA,Small_flies,0.5,1
LEMA,C4 LEMA,LEMA,Bees,0.5,1
LEMA,C4 LEMA,LEMA,Flower_beetles,0.5,1
LEMA,C5 LEMA,LEMA,Flies,0.3333333333333333,1
LEMA,C5 LEMA,LEMA,Hoverflies,0.3333333333333333,1
LEMA,C5 LEMA,LEMA,Small_flies,0.3333333333333333,1
LEMA,D1 LEMA,LEMA,Flower_beetles,1,1
LEMA,D2 LEMA,LEMA,Flower_beetles,1,1
LEMA,D3 LEMA,LEMA,Flower_beetles,0.7142857142857143,1
LEMA,D3 LEMA,LEMA,Small_flies,0.2857142857142857,1
LEMA,D4 LEMA,LEMA,Flower_beetles,1,1
LEMA,D5 LEMA,LEMA,Flower_beetles,0.6,1
LEMA,D5 LEMA,LEMA,Hoverflies,0.2,1
LEMA,D5 LEMA,LEMA,Small_flies,0.2,1
LEMA,E1 LEMA,LEMA,Flower_beetles,1,1
LEMA,E2 LEMA,LEMA,Flower_beetles,0.4,1
LEMA,E2 LEMA,LEMA,Hoverflies,0.4,1
LEMA,E2 LEMA,LEMA,Small_flies,0.2,1
LEMA,E3 LEMA,LEMA,Flower_beetles,0.6,1
LEMA,E3 LEMA,LEMA,Hoverflies,0.4,1
LEMA,E4 LEMA,LEMA,Flower_beetles,1,1
LEMA,E5 LEMA,LEMA,Flower_beetles,0.6666666666666666,1
LEMA,E5 LEMA,LEMA,Small_flies,0.3333333333333333,1
LEMA,E6 LEMA,LEMA,Flower_beetles,1,1
LEMA,F1 LEMA,LEMA,Hoverflies,0.75,1
LEMA,F1 LEMA,LEMA,Small_flies,0.25,1
LEMA,F2 LEMA,LEMA,Small_flies,1,1
LEMA,F3 LEMA,LEMA,Flower_beetles,0.6,1
LEMA,F3 LEMA,LEMA,Hoverflies,0.2,1
LEMA,F3 LEMA,LEMA,Small_flies,0.2,1
LEMA,F4 LEMA,LEMA,Flower_beetles,1,1
LEMA,F5 LEMA,LEMA,Flower_beetles,1,1
LEMA,F6 LEMA,LEMA,Hoverflies,1,1
ME,B2 ME,ME,Small_flies,1,1
ME,D2 ME,ME,House_flies,1,1
ME,E3 ME,ME,Hoverflies,1,1
CHFU,Flies,CHFU,A2 CHFU,0.4,1
CHFU,Small_flies,CHFU,A2 CHFU,0.14285714285714285,1
CHFU,Small_flies,CHFU,A3 CHFU,0.14285714285714285,1
CHFU,Hoverflies,CHFU,B1 CHFU,0.5,1
CHFU,Hoverflies,CHFU,B2 CHFU,0.5,1
CHFU,Small_flies,CHFU,B2 CHFU,0.2857142857142857,1
CHFU,Small_flies,CHFU,C4 CHFU,0.14285714285714285,1
CHFU,Small_flies,CHFU,C5 CHFU,0.2857142857142857,1
CHFU,Flies,CHFU,E2 CHFU,0.2,1
CHFU,Flies,CHFU,E5 CHFU,0.2,1
CHFU,Flies,CHFU,F4 CHFU,0.2,1
LEMA,Flower_beetles,LEMA,A1 LEMA,0.05357142857142857,1
LEMA,Small_flies,LEMA,A1 LEMA,0.0625,1
LEMA,Flower_beetles,LEMA,A2 LEMA,0.05357142857142857,1
LEMA,Small_flies,LEMA,A2 LEMA,0.0625,1
LEMA,Flower_beetles,LEMA,A3 LEMA,0.03571428571428571,1
LEMA,Bees,LEMA,A4 LEMA,0.3333333333333333,1
LEMA,Flower_beetles,LEMA,A4 LEMA,0.03571428571428571,1
LEMA,Small_flies,LEMA,A5 LEMA,0.0625,1
LEMA,Flower_beetles,LEMA,A6 LEMA,0.03571428571428571,1
LEMA,Small_flies,LEMA,A6 LEMA,0.0625,1
LEMA,Flower_beetles,LEMA,B1 LEMA,0.017857142857142856,1
LEMA,Hoverflies,LEMA,B1 LEMA,0.07142857142857142,1
LEMA,Flower_beetles,LEMA,B2 LEMA,0.03571428571428571,1
LEMA,Hoverflies,LEMA,B2 LEMA,0.07142857142857142,1
LEMA,Small_flies,LEMA,B2 LEMA,0.0625,1
LEMA,Flower_beetles,LEMA,B5 LEMA,0.017857142857142856,1
LEMA,Flower_beetles,LEMA,C1 LEMA,0.017857142857142856,1
LEMA,House_flies,LEMA,C1 LEMA,1,1
LEMA,Small_flies,LEMA,C2 LEMA,0.0625,1
LEMA,Flower_beetles,LEMA,C3 LEMA,0.017857142857142856,1
LEMA,Small_flies,LEMA,C3 LEMA,0.0625,1
LEMA,Bees,LEMA,C4 LEMA,0.6666666666666666,1
LEMA,Flower_beetles,LEMA,C4 LEMA,0.03571428571428571,1
LEMA,Flies,LEMA,C5 LEMA,1,1
LEMA,Hoverflies,LEMA,C5 LEMA,0.07142857142857142,1
