node_id,module,layer_id,type,species,layer_name,Plot
1,1,2,plant,A1 LEMA,LEMA,1
2,4,1,plant,A2 CHFU,CHFU,1
3,1,2,plant,A2 LEMA,LEMA,1
4,2,1,plant,A3 CHFU,CHFU,1
5,1,2,plant,A3 LEMA,LEMA,1
6,6,2,plant,A4 LEMA,LEMA,1
7,2,2,plant,A5 LEMA,LEMA,1
8,1,2,plant,A6 LEMA,LEMA,1
9,3,1,plant,B1 CHFU,CHFU,1
10,3,2,plant,B1 LEMA,LEMA,1
11,2,1,plant,B2 CHFU,CHFU,1
12,1,2,plant,B2 LEMA,LEMA,1
13,2,3,plant,B2 ME,ME,1
14,1,2,plant,B5 LEMA,LEMA,1
15,5,2,plant,C1 LEMA,LEMA,1
16,2,2,plant,C2 LEMA,LEMA,1
17,1,2,plant,C3 LEMA,LEMA,1
18,2,1,plant,C4 CHFU,CHFU,1
19,6,2,plant,C4 LEMA,LEMA,1
20,2,1,plant,C5 CHFU,CHFU,1
21,7,2,plant,C5 LEMA,LEMA,1
22,1,2,plant,D1 LEMA,LEMA,1
23,1,2,plant,D2 LEMA,LEMA,1
24,5,3,plant,D2 ME,ME,1
25,1,2,plant,D3 LEMA,LEMA,1
26,1,2,plant,D4 LEMA,LEMA,1
27,1,2,plant,D5 LEMA,LEMA,1
28,1,2,plant,E1 LEMA,LEMA,1
29,4,1,plant,E2 CHFU,CHFU,1
30,3,2,plant,E2 LEMA,LEMA,1
31,1,2,plant,E3 LEMA,LEMA,1
32,3,3,plant,E3 ME,ME,1
33,1,2,plant,E4 LEMA,LEMA,1
34,4,1,plant,E5 CHFU,CHFU,1
35,1,2,plant,E5 LEMA,LEMA,1
36,1,2,plant,E6 LEMA,LEMA,1
37,3,2,plant,F1 LEMA,LEMA,1
38,2,2,plant,F2 LEMA,LEMA,1
39,1,2,plant,F3 LEMA,LEMA,1
40,4,1,plant,F4 CHFU,CHFU,1
41,1,2,plant,F4 LEMA,LEMA,1
42,1,2,plant,F5 LEMA,LEMA,1
43,3,2,plant,F6 LEMA,LEMA,1
44,6,2,pollinator,Bees,LEMA,1
45,4,1,pollinator,Flies,CHFU,1
45,7,2,pollinator,Flies,LEMA,1
46,1,2,pollinator,Flower_beetles,LEMA,1
47,5,2,pollinator,House_flies,LEMA,1
47,5,3,pollinator,House_flies,ME,1
48,3,1,pollinator,Hoverflies,CHFU,1
48,3,2,pollinator,Hoverflies,LEMA,1
48,3,3,pollinator,Hoverflies,ME,1
49,2,1,pollinator,Small_flies,CHFU,1
49,2,2,pollinator,Small_flies,LEMA,1
49,2,3,pollinator,Small_flies,ME,1
