Plot,ID,Subplot_Plant_Label,Visits_tot,homo_motif,hete_motif,Week
1,Eucera_sp,F2 CHFU,1,0,0,7
2,Eucera_sp,D1 CHFU,1,1,0,7
2,Eucera_sp,E2 CHFU,1,1,0,7
2,Ulidiidae,E3 CHFU,1,0,0,7
8,Ulidiidae,A1 CHFU,1,15,0,7
8,Ulidiidae,A2 CHFU,1,15,0,7
8,Ulidiidae,A3 CHFU,1,15,0,7
8,Ulidiidae,A5 CHFU,1,15,0,7
8,Ulidiidae,A6 CHFU,2,15,0,7
8,Ulidiidae,B1 CHFU,2,15,0,7
8,Ulidiidae,B2 CHFU,1,15,0,7
8,Ulidiidae,C1 CHFU,1,15,0,7
8,Ulidiidae,C2 CHFU,1,15,0,7
8,Ulidiidae,C3 CHFU,2,15,0,7
8,Ulidiidae,C5 CHFU,2,15,0,7
8,Ulidiidae,C6 CHFU,1,15,0,7
8,Ulidiidae,D3 CHFU,1,15,0,7
8,Ulidiidae,D4 CHFU,1,15,0,7
8,Ulidiidae,E3 CHFU,1,15,0,7
8,Ulidiidae,F5 CHFU,1,15,0,7
9,Eucera_sp,A1 CHFU,1,0,0,7
9,Andrena_sp,D2 CHFU,1,4,0,7
9,Andrena_sp,D3 CHFU,3,4,0,7
9,Ulidiidae,D3 CHFU,2,3,0,7
9,Andrena_sp,E2 CHFU,3,4,0,7
9,Andrena_sp,E3 CHFU,3,4,0,7
9,Ulidiidae,E4 CHFU,1,3,0,7
9,Andrena_sp,F5 CHFU,2,4,0,7
9,Ulidiidae,F5 CHFU,4,3,0,7
9,Ulidiidae,F6 CHFU,1,3,0,7
8,Ulidiidae,A2 CHFU,1,6,0,8
8,Ulidiidae,A3 CHFU,1,6,0,8
8,Ulidiidae,A4 CHFU,3,6,0,8
8,Eupeodes_corollae,A5 CHFU,1,0,0,8
8,Ulidiidae,B4 CHFU,1,6,0,8
8,Ulidiidae,C1 CHFU,1,6,0,8
8,Musca_sp,C4 CHFU,1,3,0,8
8,Musca_sp,C5 CHFU,1,3,0,8
8,Musca_sp,D2 CHFU,1,3,0,8
8,Ulidiidae,E1 CHFU,1,6,0,8
8,Ulidiidae,F2 CHFU,1,6,0,8
8,Musca_sp,F4 CHFU,1,3,0,8
9,Psilothrix_viridicoerulea,A1 CHFU,1,5,0,8
9,Psilothrix_viridicoerulea,B1 CHFU,2,5,0,8
9,Psilothrix_viridicoerulea,B3 CHFU,1,5,0,8
9,Psilothrix_viridicoerulea,C2 CHFU,3,5,0,8
9,Psilothrix_viridicoerulea,C3 CHFU,1,5,0,8
9,Brassicogethes_sp,D2 CHFU,1,0,0,8
9,Psilothrix_viridicoerulea,D2 CHFU,1,5,0,8
