Plot,ID,Subplot_Plant_Label,Visits_tot,homo_motif,hete_motif,Week
3,Scaeva_sp.,A6 CHFU,3,2,0,6
3,Scaeva_sp.,D3 CHFU,2,2,0,6
3,Scaeva_sp.,F2 CHFU,1,2,0,6
5,Sphaerophoria_sp.,A3 CHFU,2,0,0,6
5,Episyrphus_balteatus,C3 CHFU,2,0,0,6
5,Dilophus_sp.,C4 CHFU,1,1,0,6
5,Dilophus_sp.,F5 CHFU,1,1,0,6
5,Diptera,F6 CHFU,1,0,0,6
5,Scaeva_sp.,F6 CHFU,4,0,0,6
7,Dilophus_sp.,D6 RAPE,1,0,0,6
7,Syrphidae,E3 RAPE,1,0,0,6
8,Scaeva_sp.,A3 CHFU,1,2,0,6
8,Scaeva_sp.,A6 CHFU,1,2,0,6
8,Scaeva_sp.,B3 CHFU,1,2,0,6
8,Episyrphus_sp.,D1 CHFU,3,0,0,6
9,Dilophus_sp.,A6 CHFU,1,2,0,6
9,Dilophus_sp.,B1 CHFU,1,2,0,6
9,Diptera,B1 CHFU,1,0,0,6
9,Episyrphus_sp.,C1 CHFU,1,1,0,6
9,Episyrphus_sp.,C3 CHFU,1,1,0,6
9,Dilophus_sp.,C6 CHFU,1,2,0,6
9,Scaeva_sp.,C6 CHFU,1,0,0,6
9,Syrphidae,D4 CHFU,1,0,0,6
1,Dilophus_sp.,A2 CHFU,1,0,0,7
1,Sphaerophoria_scripta,B2 CHFU,1,0,0,7
2,Dilophus_sp.,A3 CHFU,1,0,0,7
3,Syrphidae,C3 CHFU,1,0,0,7
4,Eupeodes_corollae,A5 CHFU,1,0,0,7
4,Syrphidae,C5 RAPE,1,0,0,7
5,Dilophus_sp.,A3 CHFU,1,2,0,7
5,Dilophus_sp.,A5 CHFU,1,2,0,7
5,Dilophus_sp.,B2 CHFU,1,2,0,7
6,Bruchidae,A2 CHFU,1,0,0,7
6,Chrysotoxum_sp.,A3 RAPE,1,0,0,7
7,Dilophus_sp.,B5 CHFU,1,3,0,7
7,Dilophus_sp.,C2 CHFU,1,3,0,7
7,Dilophus_sp.,C5 CHFU,1,3,0,7
7,Dilophus_sp.,E2 CHFU,1,3,0,7
8,Diptera,A4 CHFU,1,0,0,7
8,Eupeodes_corollae,D6 CHFU,1,0,0,7
9,Sphaerophoria_scripta,D3 CHFU,1,0,0,7
9,Diptera,E4 CHFU,1,0,0,7
1,Diptera,A2 CHFU,2,1,0,8
1,Diptera,E5 CHFU,1,1,0,8
5,Diptera,D1 CHFU,1,2,0,8
5,Diptera,D2 CHFU,2,2,0,8
5,Diptera,E1 CHFU,1,2,0,8
6,Dilophus_sp.,A6 CHFU,1,0,0,8
6,Eupeodes_corollae,E5 ME,1,0,0,8
6,Hymenoptera,F2 CHFU,1,0,0,8
8,Diptera,A2 CHFU,1,2,0,8
8,Diptera,B5 CHFU,1,2,0,8
8,Diptera,D5 CHFU,1,2,0,8
9,Sphaerophoria_scripta,A2 CHFU,1,0,0,8
9,Dilophus_sp.,A4 CHFU,1,0,0,8
9,Eupeodes_corollae,C3 CHFU,1,1,0,8
9,Eupeodes_corollae,C5 CHFU,1,1,0,8
9,Syrphidae,E3 LEMA,1,0,1,8
9,Syrphidae,E4 CHFU,1,0,1,8
9,Andrena_sp.,E5 CHFU,1,0,0,8
1,Dilophus_sp.,C5 CHFU,2,0,0,9
2,Dilophus_sp.,B1 CHFU,1,0,0,9
2,Apoidea,F3 LEMA,1,0,0,9
3,Bruchidae,D2 CHFU,1,0,0,9
3,Dilophus_sp.,E2 CHFU,1,0,0,9
4,Apoidea,A2 CHFU,1,0,2,9
4,Eupeodes_corollae,A6 CHFU,1,0,0,9
4,Apoidea,C2 LEMA,1,1,1,9
4,Meligethes_sp.,E4 LEMA,1,0,0,9
4,Syrphidae,E4 LEMA,1,0,0,9
4,Apoidea,F1 LEMA,1,1,1,9
5,Meligethes_sp.,A1 LEMA,1,0,1,9
5,Syrphidae,B2 CHFU,1,0,0,9
5,Dilophus_sp.,D5 CHFU,1,0,0,9
5,Meligethes_sp.,E1 CHFU,1,0,1,9
6,Bruchidae,A3 CHFU,1,0,0,9
6,Lomatia_sp.,B3 CHFU,2,0,0,9
6,Chrysotoxum_sp.,B4 LEMA,1,0,0,9
7,Dilophus_sp.,A5 CHFU,1,4,0,9
7,Muscidae,A5 CHFU,1,0,0,9
7,Dilophus_sp.,B2 CHFU,1,4,0,9
7,Dilophus_sp.,B6 CHFU,1,4,0,9
7,Andrena_sp.,C2 CHFU,2,0,1,9
7,Dilophus_sp.,C3 CHFU,1,4,0,9
7,Andrena_sp.,E5 RAPE,2,0,1,9
7,Dilophus_sp.,F1 CHFU,1,4,0,9
7,Syrphidae,F6 RAPE,1,0,0,9
8,Dilophus_sp.,B1 CHFU,1,1,0,9
8,Syrphidae,B4 RAPE,1,0,0,9
8,Lomatia_sp.,C2 CHFU,1,1,0,9
8,Bruchidae,D2 CHFU,1,0,0,9
8,Lomatia_sp.,D2 CHFU,1,1,0,9
8,Dilophus_sp.,E5 CHFU,1,1,0,9
9,Dilophus_sp.,A2 CHFU,1,7,0,9
9,Dilophus_sp.,A3 CHFU,1,7,0,9
9,Dilophus_sp.,B2 CHFU,1,7,0,9
9,Bruchidae,B3 CHFU,1,0,0,9
9,Lomatia_sp.,D2 CHFU,1,0,0,9
9,Dilophus_sp.,D4 CHFU,2,7,0,9
9,Dilophus_sp.,E3 CHFU,1,7,0,9
9,Diptera,E4 CHFU,1,0,0,9
9,Dilophus_sp.,F4 CHFU,3,7,0,9
9,Dilophus_sp.,F5 CHFU,2,7,0,9
9,Dilophus_sp.,F6 CHFU,5,7,0,9
1,Empididae,A3 CHFU,1,1,1,11
1,Syrphidae,B1 CHFU,1,0,0,11
1,Empididae,B2 CHFU,2,1,1,11
1,Empididae,B2 ME,1,0,2,11
1,Dilophus_sp.,C4 CHFU,1,0,0,11
2,Dilophus_sp.,A4 CHFU,2,0,0,11
2,Halictidae,E4 ME,1,0,0,11
4,Empididae,A2 CHFU,2,7,0,11
4,Empididae,B1 CHFU,1,7,0,11
4,Psilothrix_viridicoerulea,B1 CHFU,2,2,0,11
4,Empididae,B2 CHFU,1,7,0,11
4,Dilophus_sp.,B5 CHFU,1,2,0,11
4,Psilothrix_viridicoerulea,B5 CHFU,2,2,0,11
4,Dilophus_sp.,B6 CHFU,1,2,0,11
4,Empididae,B6 CHFU,1,7,0,11
4,Empididae,C2 CHFU,1,7,0,11
4,Empididae,D6 CHFU,1,7,0,11
4,Empididae,E5 CHFU,1,7,0,11
4,Psilothrix_viridicoerulea,F4 CHFU,1,2,0,11
4,Dilophus_sp.,F5 CHFU,1,2,0,11
4,Empididae,F5 CHFU,2,7,0,11
5,Dilophus_sp.,A1 CHFU,1,4,0,11
5,Dilophus_sp.,A3 CHFU,1,4,0,11
5,Dilophus_sp.,A4 CHFU,2,4,0,11
5,Dilophus_sp.,A5 CHFU,1,4,0,11
5,Dilophus_sp.,B1 CHFU,1,4,0,11
5,Syrphidae,B3 CHFU,1,0,0,11
6,Dilophus_sp.,A2 CHFU,1,1,3,11
6,Dilophus_sp.,A3 CHFU,1,1,3,11
6,Meligethes_sp.,A3 CHFU,1,0,1,11
6,Dilophus_sp.,A4 LEMA,1,2,2,11
6,Cantharidae,A5 CHFU,1,0,0,11
6,Dilophus_sp.,B1 LEMA,1,2,2,11
6,Dilophus_sp.,B3 LEMA,1,2,2,11
6,Apoidea,D2 LEMA,1,0,1,11
6,Apis_mellifera,D3 LEMA,1,0,0,11
6,Apoidea,E3 CHFU,1,0,1,11
6,Meligethes_sp.,F5 LEMA,1,0,1,11
7,Dilophus_sp.,A1 CHFU,1,24,3,11
7,Dilophus_sp.,A5 CHFU,6,24,3,11
7,Dilophus_sp.,B1 CHFU,1,24,3,11
7,Dilophus_sp.,B2 CHFU,2,24,3,11
7,Syrphidae,B2 CHFU,1,0,0,11
7,Dilophus_sp.,B3 CHFU,2,24,3,11
7,Dilophus_sp.,B4 CHFU,1,24,3,11
7,Dilophus_sp.,B5 CHFU,1,24,3,11
7,Dilophus_sp.,B6 CHFU,3,24,3,11
7,Empididae,B6 CHFU,1,3,0,11
7,Dilophus_sp.,C3 CHFU,1,24,3,11
7,Empididae,C3 CHFU,1,3,0,11
7,Dilophus_sp.,C4 RAPE,1,1,26,11
7,Dilophus_sp.,C5 Lysimachia_arvensis,1,0,27,11
7,Dilophus_sp.,C6 CHFU,3,24,3,11
7,Dilophus_sp.,D1 CHFU,1,24,3,11
7,Empididae,D1 CHFU,1,3,0,11
7,Dilophus_sp.,D2 CHFU,1,24,3,11
7,Dilophus_sp.,D3 CHFU,1,24,3,11
7,Dilophus_sp.,D4 CHFU,1,24,3,11
7,Dilophus_sp.,D4 RAPE,1,1,26,11
7,Dilophus_sp.,D5 CHFU,1,24,3,11
7,Dilophus_sp.,D6 CHFU,3,24,3,11
7,Dilophus_sp.,E2 CHFU,1,24,3,11
7,Dilophus_sp.,E3 CHFU,2,24,3,11
7,Dilophus_sp.,E4 CHFU,2,24,3,11
7,Dilophus_sp.,E5 CHFU,1,24,3,11
7,Dilophus_sp.,F1 CHFU,1,24,3,11
7,Dilophus_sp.,F2 CHFU,2,24,3,11
7,Empididae,F2 CHFU,1,3,0,11
7,Dilophus_sp.,F3 CHFU,1,24,3,11
7,Dilophus_sp.,F4 CHFU,3,24,3,11
7,Dilophus_sp.,F5 CHFU,1,24,3,11
8,Dilophus_sp.,A5 CHFU,2,10,1,11
8,Dilophus_sp.,A6 CHFU,1,10,1,11
8,Eupeodes_corollae,B2 CHFU,1,1,0,11
8,Dilophus_sp.,B3 LEMA,1,0,11,11
8,Dilophus_sp.,B4 CHFU,1,10,1,11
8,Empididae,B5 CHFU,2,4,0,11
8,Eupeodes_corollae,B5 CHFU,1,1,0,11
8,Empididae,B6 CHFU,1,4,0,11
8,Dilophus_sp.,C3 CHFU,1,10,1,11
8,Dilophus_sp.,C4 CHFU,1,10,1,11
8,Dilophus_sp.,C6 CHFU,1,10,1,11
8,Dilophus_sp.,D2 CHFU,1,10,1,11
8,Empididae,D3 CHFU,1,4,0,11
8,Empididae,D5 CHFU,1,4,0,11
8,Syrphidae,E2 CHFU,1,0,0,11
8,Dilophus_sp.,E3 CHFU,1,10,1,11
8,Dilophus_sp.,E4 CHFU,1,10,1,11
8,Musca_sp.,E5 CHFU,1,0,0,11
8,Empididae,F3 CHFU,1,4,0,11
8,Dilophus_sp.,F4 CHFU,1,10,1,11
8,Dilophus_sp.,F6 CHFU,2,10,1,11
9,Dilophus_sp.,A2 CHFU,2,3,3,11
9,Dilophus_sp.,A5 LEMA,2,2,4,11
9,Dilophus_sp.,C3 LEMA,2,2,4,11
9,Psilothrix_viridicoerulea,C4 LEMA,1,1,0,11
9,Sphaerophoria_scripta,C4 LEMA,1,0,0,11
9,Meligethes_sp.,C5 LEMA,1,1,0,11
9,Psilothrix_viridicoerulea,D2 LEMA,2,1,0,11
9,Dilophus_sp.,D4 CHFU,2,3,3,11
9,Dilophus_sp.,E1 CHFU,4,3,3,11
9,Melyridae,E3 CHFU,1,0,0,11
9,Apis_mellifera,E4 LEMA,1,0,0,11
9,Dilophus_sp.,F1 CHFU,4,3,3,11
9,Dilophus_sp.,F1 LEMA,2,2,4,11
9,Meligethes_sp.,F6 LEMA,2,1,0,11
1,Dilophus_sp.,A1 LEMA,1,8,0,12
1,Psilothrix_viridicoerulea,B2 LEMA,1,4,0,12
1,Sphaerophoria_sp.,B2 LEMA,1,1,0,12
1,Dilophus_sp.,C2 LEMA,1,8,0,12
1,Apoidea,C4 LEMA,2,0,0,12
1,Dilophus_sp.,C5 LEMA,1,8,0,12
1,Psilothrix_viridicoerulea,D2 LEMA,1,4,0,12
1,Dilophus_sp.,D3 LEMA,1,8,0,12
1,Anthaxia_semicuprea,D5 LEMA,1,0,0,12
1,Dilophus_sp.,D5 LEMA,1,8,0,12
1,Dilophus_sp.,E2 LEMA,1,8,0,12
1,Psilothrix_viridicoerulea,E2 LEMA,1,4,0,12
1,Psilothrix_viridicoerulea,E3 LEMA,1,4,0,12
1,Psilothrix_viridicoerulea,E4 LEMA,3,4,0,12
1,Dilophus_sp.,F1 LEMA,1,8,0,12
1,Scaeva_sp.,F1 LEMA,1,1,0,12
1,Sphaerophoria_sp.,F1 LEMA,2,1,0,12
1,Dilophus_sp.,F2 LEMA,1,8,0,12
1,Dilophus_sp.,F3 LEMA,1,8,0,12
1,Scaeva_sp.,F3 LEMA,1,1,0,12
1,Mordellidae,F4 LEMA,1,0,0,12
2,nemotelus_sp.,A4 LEMA,2,0,0,12
2,Meligethes_sp.,B2 LEMA,1,0,0,12
2,Melyridae,B4 LEMA,1,1,0,12
2,Psilothrix_viridicoerulea,B4 LEMA,1,2,0,12
2,Calliphoridae,B5 ME,2,1,0,12
2,Eupeodes_corollae,C1 LEMA,1,2,0,12
2,Nemotelus_sp.,C3 LEMA,1,4,0,12
2,Eupeodes_corollae,C5 LEMA,1,2,0,12
2,Calliphoridae,D3 ME,2,1,0,12
2,Nemotelus_sp.,D4 LEMA,2,4,0,12
2,Eupeodes_corollae,D5 LEMA,1,2,0,12
2,Nemotelus_sp.,D6 LEMA,1,4,0,12
2,Apoidea,E4 LEMA,1,1,0,12
2,Psilothrix_viridicoerulea,E4 LEMA,2,2,0,12
2,Cantharidae,E4 ME,1,0,0,12
2,Nemotelus_sp.,E5 LEMA,1,4,0,12
2,Apoidea,E6 LEMA,1,1,0,12
2,Melyridae,F2 LEMA,1,1,0,12
2,Nemotelus_sp.,F3 LEMA,1,4,0,12
2,Psilothrix_viridicoerulea,F4 LEMA,1,2,0,12
3,Sphaerophoria_sp.,B1 LEMA,1,1,0,12
3,Scaeva_sp.,B3 LEMA,1,4,0,12
3,Apoidea,C3 LEMA,1,0,0,12
3,Scaeva_sp.,C4 LEMA,1,4,0,12
3,Dilophus_sp.,D2 LEMA,2,4,0,12
3,Psilothrix_viridicoerulea,D2 LEMA,1,5,0,12
3,Scaeva_sp.,D2 LEMA,1,4,0,12
3,Dilophus_sp.,D3 LEMA,1,4,0,12
3,Psilothrix_viridicoerulea,D3 LEMA,1,5,0,12
3,Scaeva_sp.,D3 LEMA,1,4,0,12
3,Dilophus_sp.,D5 LEMA,1,4,0,12
3,Psilothrix_viridicoerulea,D5 LEMA,2,5,0,12
3,Chrysotoxum_sp.,D6 LEMA,1,0,0,12
3,Scaeva_sp.,D6 LEMA,2,4,0,12
3,Psilothrix_viridicoerulea,E1 LEMA,1,5,0,12
3,Psilothrix_viridicoerulea,E2 LEMA,1,5,0,12
3,Dilophus_sp.,E4 LEMA,1,4,0,12
3,Sphaerophoria_sp.,F1 LEMA,1,1,0,12
3,Dilophus_sp.,F5 LEMA,1,4,0,12
3,Psilothrix_viridicoerulea,F5 LEMA,1,5,0,12
4,Psilothrix_viridicoerulea,A1 LEMA,1,3,0,12
