Line,ID,Plot,Subplot,Plant_Simple,Visits_tot,homo_motif,hete_motif,Week
1,Scaeva_sp.,3,A6,CHFU,3,2,0,6
1,Scaeva_sp.,3,D3,CHFU,2,2,0,6
1,Scaeva_sp.,3,F2,CHFU,1,2,0,6
2,Sphaerophoria_scripta,5,A3,CHFU,2,0,0,6
2,Episyrphus_balteatus,5,C3,CHFU,2,0,0,6
2,Dilophus_sp.,5,C4,CHFU,1,1,0,6
2,Dilophus_sp.,5,F5,CHFU,1,1,0,6
2,Diptera,5,F6,CHFU,1,0,0,6
2,Scaeva_sp.,5,F6,CHFU,4,0,0,6
3,Scaeva_sp.,8,A3,CHFU,1,3,0,6
3,Scaeva_sp.,8,A6,CHFU,1,3,0,6
3,Scaeva_sp.,8,B3,CHFU,1,3,0,6
3,Episyrphus_balteatus,8,D1,CHFU,3,3,0,6
3,Dilophus_sp.,9,A6,CHFU,1,2,0,6
3,Dilophus_sp.,9,B1,CHFU,1,2,0,6
3,Diptera,9,B1,CHFU,1,0,0,6
3,Episyrphus_balteatus,9,C1,CHFU,1,3,0,6
3,Episyrphus_balteatus,9,C3,CHFU,1,3,0,6
3,Dilophus_sp.,9,C6,CHFU,1,2,0,6
3,Scaeva_sp.,9,C6,CHFU,1,3,0,6
3,Episyrphus_balteatus,9,D4,CHFU,1,3,0,6
1,Dilophus_sp.,1,A2,CHFU,1,1,0,7
1,Sphaerophoria_scripta,1,B2,CHFU,1,0,0,7
1,Dilophus_sp.,2,A3,CHFU,1,1,0,7
1,Eupeodes_corollae,3,C3,CHFU,1,0,0,7
2,Eupeodes_corollae,4,A5,CHFU,1,0,0,7
2,Dilophus_sp.,5,A3,CHFU,1,2,0,7
2,Dilophus_sp.,5,A5,CHFU,1,2,0,7
2,Dilophus_sp.,5,B2,CHFU,1,2,0,7
2,Bruchidae,6,A2,CHFU,1,0,0,7
3,Dilophus_sp.,7,B5,CHFU,1,5,0,7
3,Dilophus_sp.,7,C2,CHFU,1,5,0,7
3,Dilophus_sp.,7,C5,CHFU,1,5,0,7
3,Dilophus_sp.,7,E2,CHFU,1,5,0,7
3,Dilophus_sp.,8,A4,CHFU,1,5,0,7
3,Eupeodes_corollae,8,D6,CHFU,1,0,0,7
3,Sphaerophoria_scripta,9,D3,CHFU,1,0,0,7
3,Dilophus_sp.,9,E4,CHFU,1,5,0,7
1,Diptera,1,A2,CHFU,2,1,0,8
1,Diptera,1,E5,CHFU,1,1,0,8
2,Diptera,5,D1,CHFU,1,1,0,8
2,Dilophus_sp.,5,D2,CHFU,2,1,0,8
2,Diptera,5,E1,CHFU,1,1,0,8
2,Dilophus_sp.,6,A6,CHFU,1,1,0,8
2,Eupeodes_corollae,6,E5,ME,1,0,0,8
2,Andrena_cinerea,6,F2,CHFU,1,0,0,8
3,Diptera,8,A2,CHFU,1,2,0,8
3,Diptera,8,B5,CHFU,1,2,0,8
3,Diptera,8,D5,CHFU,1,2,0,8
3,Sphaerophoria_scripta,9,A2,CHFU,1,0,0,8
3,Dilophus_sp.,9,A4,CHFU,1,0,0,8
3,Eupeodes_corollae,9,C3,CHFU,1,2,1,8
3,Eupeodes_corollae,9,C5,CHFU,1,2,1,8
3,Eupeodes_corollae,9,E3,LEMA,1,0,3,8
3,Eupeodes_corollae,9,E4,CHFU,1,2,1,8
3,Andrena_cinerea,9,E5,CHFU,1,0,0,8
1,Dilophus_sp.,1,C5,CHFU,2,2,0,9
1,Dilophus_sp.,2,B1,CHFU,1,2,0,9
1,Andrena_cinerea,2,F3,LEMA,1,0,0,9
1,Bruchidae,3,D2,CHFU,1,0,0,9
1,Dilophus_sp.,3,E2,CHFU,1,2,0,9
2,Andrena_cinerea,4,A2,CHFU,1,0,2,9
2,Eupeodes_corollae,4,A6,CHFU,1,1,1,9
2,Andrena_cinerea,4,C2,LEMA,1,1,1,9
2,Eupeodes_corollae,4,E4,LEMA,1,0,2,9
2,Meligethes_sp.,4,E4,LEMA,1,1,1,9
2,Andrena_cinerea,4,F1,LEMA,1,1,1,9
2,Meligethes_sp.,5,A1,LEMA,1,1,1,9
2,Eupeodes_corollae,5,B2,CHFU,1,1,1,9
2,Dilophus_sp.,5,D5,CHFU,1,0,0,9
2,Meligethes_sp.,5,E1,CHFU,1,0,2,9
2,Bruchidae,6,A3,CHFU,1,0,0,9
2,Lomatia_sp.,6,B3,CHFU,2,0,0,9
2,Chrysotoxum_sp.,6,B4,LEMA,1,0,0,9
3,Dilophus_sp.,7,A5,CHFU,1,14,0,9
3,Ulidiidae,7,A5,CHFU,1,1,0,9
3,Dilophus_sp.,7,B2,CHFU,1,14,0,9
3,Dilophus_sp.,7,B6,CHFU,1,14,0,9
3,Andrena_cinerea,7,C2,CHFU,2,0,0,9
3,Dilophus_sp.,7,C3,CHFU,1,14,0,9
3,Ulidiidae,7,C3,CHFU,2,1,0,9
3,Dilophus_sp.,7,F1,CHFU,1,14,0,9
3,Dilophus_sp.,8,B1,CHFU,1,14,0,9
3,Lomatia_sp.,8,C2,CHFU,1,2,0,9
3,Bruchidae,8,D2,CHFU,1,1,0,9
3,Lomatia_sp.,8,D2,CHFU,1,2,0,9
3,Dilophus_sp.,8,E5,CHFU,1,14,0,9
3,Dilophus_sp.,9,A2,CHFU,1,14,0,9
3,Dilophus_sp.,9,A3,CHFU,1,14,0,9
3,Musca_sp.,9,B1,CHFU,1,2,0,9
3,Dilophus_sp.,9,B2,CHFU,1,14,0,9
3,Bruchidae,9,B3,CHFU,1,1,0,9
3,Lomatia_sp.,9,D2,CHFU,1,2,0,9
3,Dilophus_sp.,9,D4,CHFU,2,14,0,9
3,Musca_sp.,9,E1,CHFU,1,2,0,9
3,Dilophus_sp.,9,E3,CHFU,1,14,0,9
3,Musca_sp.,9,E4,CHFU,1,2,0,9
3,Dilophus_sp.,9,F4,CHFU,3,14,0,9
3,Dilophus_sp.,9,F5,CHFU,2,14,0,9
3,Dilophus_sp.,9,F6,CHFU,5,14,0,9
1,Empididae,1,A3,CHFU,1,1,1,11
1,Eupeodes_corollae,1,B1,CHFU,1,0,0,11
1,Empididae,1,B2,CHFU,2,1,1,11
1,Empididae,1,B2,ME,1,0,2,11
1,Dilophus_sp.,1,C4,CHFU,1,1,0,11
1,Diptera,1,E2,CHFU,1,1,0,11
1,Diptera,1,F4,CHFU,1,1,0,11
1,Dilophus_sp.,2,A4,CHFU,2,1,0,11
1,Lassioglosum_ immunitum,2,E4,ME,1,0,0,11
2,Empididae,4,A2,CHFU,2,7,0,11
2,Empididae,4,B1,CHFU,1,7,0,11
2,Psilothrix_viridicoerulea,4,B1,CHFU,2,2,0,11
2,Empididae,4,B2,CHFU,1,7,0,11
2,Dilophus_sp.,4,B5,CHFU,1,9,3,11
2,Psilothrix_viridicoerulea,4,B5,CHFU,2,2,0,11
2,Dilophus_sp.,4,B6,CHFU,1,9,3,11
2,Empididae,4,B6,CHFU,1,7,0,11
2,Empididae,4,C2,CHFU,1,7,0,11
2,Diptera,4,C5,CHFU,1,0,0,11
2,Empididae,4,D6,CHFU,1,7,0,11
2,Empididae,4,E5,CHFU,1,7,0,11
2,Psilothrix_viridicoerulea,4,F4,CHFU,1,2,0,11
2,Dilophus_sp.,4,F5,CHFU,1,9,3,11
2,Empididae,4,F5,CHFU,2,7,0,11
2,Dilophus_sp.,5,A1,CHFU,1,9,3,11
2,Dilophus_sp.,5,A3,CHFU,1,9,3,11
2,Dilophus_sp.,5,A4,CHFU,2,9,3,11
2,Dilophus_sp.,5,A5,CHFU,1,9,3,11
2,Dilophus_sp.,5,B1,CHFU,1,9,3,11
2,Eupeodes_corollae,5,B3,CHFU,1,0,0,11
2,Dilophus_sp.,6,A2,CHFU,1,9,3,11
2,Dilophus_sp.,6,A3,CHFU,1,9,3,11
2,Meligethes_sp.,6,A3,CHFU,1,0,1,11
2,Dilophus_sp.,6,A4,LEMA,1,2,10,11
2,Cantharidae,6,A5,CHFU,1,0,0,11
2,Dilophus_sp.,6,B1,LEMA,1,2,10,11
2,Dilophus_sp.,6,B3,LEMA,1,2,10,11
2,Eucera_sp.,6,D2,LEMA,1,1,1,11
2,Eucera_sp.,6,D3,LEMA,1,1,1,11
2,Eucera_sp.,6,E3,CHFU,1,0,2,11
2,Meligethes_sp.,6,F5,LEMA,1,0,1,11
3,Dilophus_sp.,7,A1,CHFU,1,39,4,11
3,Dilophus_sp.,7,A5,CHFU,6,39,4,11
3,Dilophus_sp.,7,B1,CHFU,1,39,4,11
3,Dilophus_sp.,7,B2,CHFU,2,39,4,11
3,Eupeodes_corollae,7,B2,CHFU,1,2,0,11
3,Dilophus_sp.,7,B3,CHFU,2,39,4,11
3,Dilophus_sp.,7,B4,CHFU,1,39,4,11
3,Dilophus_sp.,7,B5,CHFU,1,39,4,11
3,Dilophus_sp.,7,B6,CHFU,3,39,4,11
3,Empididae,7,B6,CHFU,1,8,0,11
3,Dilophus_sp.,7,C3,CHFU,1,39,4,11
3,Empididae,7,C3,CHFU,1,8,0,11
3,Dilophus_sp.,7,C6,CHFU,3,39,4,11
3,Dilophus_sp.,7,D1,CHFU,1,39,4,11
3,Empididae,7,D1,CHFU,1,8,0,11
3,Dilophus_sp.,7,D2,CHFU,1,39,4,11
3,Dilophus_sp.,7,D3,CHFU,1,39,4,11
3,Dilophus_sp.,7,D4,CHFU,1,39,4,11
3,Dilophus_sp.,7,D5,CHFU,1,39,4,11
3,Dilophus_sp.,7,D6,CHFU,3,39,4,11
3,Dilophus_sp.,7,E2,CHFU,1,39,4,11
3,Diptera,7,E2,CHFU,1,1,0,11
3,Dilophus_sp.,7,E3,CHFU,2,39,4,11
3,Dilophus_sp.,7,E4,CHFU,2,39,4,11
3,Dilophus_sp.,7,E5,CHFU,1,39,4,11
3,Dilophus_sp.,7,F1,CHFU,1,39,4,11
3,Dilophus_sp.,7,F2,CHFU,2,39,4,11
3,Empididae,7,F2,CHFU,1,8,0,11
3,Dilophus_sp.,7,F3,CHFU,1,39,4,11
3,Dilophus_sp.,7,F4,CHFU,3,39,4,11
3,Dilophus_sp.,7,F5,CHFU,1,39,4,11
3,Diptera,8,A2,CHFU,2,1,0,11
3,Dilophus_sp.,8,A5,CHFU,2,39,4,11
3,Dilophus_sp.,8,A6,CHFU,1,39,4,11
3,Eupeodes_corollae,8,B2,CHFU,1,2,0,11
3,Dilophus_sp.,8,B3,LEMA,1,3,40,11
3,Dilophus_sp.,8,B4,CHFU,1,39,4,11
3,Empididae,8,B5,CHFU,2,8,0,11
3,Eupeodes_corollae,8,B5,CHFU,1,2,0,11
3,Empididae,8,B6,CHFU,1,8,0,11
3,Dilophus_sp.,8,C3,CHFU,1,39,4,11
3,Dilophus_sp.,8,C4,CHFU,1,39,4,11
3,Dilophus_sp.,8,C6,CHFU,1,39,4,11
3,Dilophus_sp.,8,D2,CHFU,1,39,4,11
3,Empididae,8,D3,CHFU,1,8,0,11
3,Empididae,8,D5,CHFU,1,8,0,11
3,Sphaerophoria_scripta,8,E2,CHFU,1,0,1,11
3,Dilophus_sp.,8,E3,CHFU,1,39,4,11
3,Dilophus_sp.,8,E4,CHFU,1,39,4,11
3,Musca_sp.,8,E5,CHFU,1,0,0,11
3,Empididae,8,F3,CHFU,1,8,0,11
3,Dilophus_sp.,8,F4,CHFU,1,39,4,11
3,Dilophus_sp.,8,F6,CHFU,2,39,4,11
3,Dilophus_sp.,9,A2,CHFU,2,39,4,11
3,Dilophus_sp.,9,A5,LEMA,2,3,40,11
3,Dilophus_sp.,9,C3,LEMA,2,3,40,11
3,Psilothrix_viridicoerulea,9,C4,LEMA,1,1,0,11
3,Sphaerophoria_scripta,9,C4,LEMA,1,0,1,11
3,Meligethes_sp.,9,C5,LEMA,1,1,0,11
3,Psilothrix_viridicoerulea,9,D2,LEMA,2,1,0,11
3,Dilophus_sp.,9,D4,CHFU,2,39,4,11
3,Dilophus_sp.,9,E1,CHFU,4,39,4,11
3,Melyridae,9,E3,CHFU,1,0,0,11
3,Eucera_sp.,9,E4,LEMA,1,0,0,11
3,Dilophus_sp.,9,F1,CHFU,4,39,4,11
3,Dilophus_sp.,9,F1,LEMA,2,3,40,11
3,Meligethes_sp.,9,F6,LEMA,2,1,0,11
1,Dilophus_sp.,1,A1,LEMA,1,13,0,12
1,Psilothrix_viridicoerulea,1,B2,LEMA,1,13,0,12
1,Sphaerophoria_scripta,1,B2,LEMA,1,3,0,12
1,Dilophus_sp.,1,C2,LEMA,1,13,0,12
1,Andrena_cinerea,1,C4,LEMA,2,3,0,12
1,Dilophus_sp.,1,C5,LEMA,1,13,0,12
1,Diptera,1,C5,LEMA,1,0,0,12
1,Psilothrix_viridicoerulea,1,D2,LEMA,1,13,0,12
1,Dilophus_sp.,1,D3,LEMA,1,13,0,12
1,Anthaxia_semicuprea,1,D5,LEMA,1,0,0,12
1,Dilophus_sp.,1,D5,LEMA,1,13,0,12
1,Dilophus_sp.,1,E2,LEMA,1,13,0,12
1,Psilothrix_viridicoerulea,1,E2,LEMA,1,13,0,12
1,Psilothrix_viridicoerulea,1,E3,LEMA,1,13,0,12
1,Psilothrix_viridicoerulea,1,E4,LEMA,3,13,0,12
1,Dilophus_sp.,1,F1,LEMA,1,13,0,12
1,Scaeva_sp.,1,F1,LEMA,1,6,0,12
1,Sphaerophoria_scripta,1,F1,LEMA,2,3,0,12
1,Dilophus_sp.,1,F2,LEMA,1,13,0,12
1,Dilophus_sp.,1,F3,LEMA,1,13,0,12
1,Scaeva_sp.,1,F3,LEMA,1,6,0,12
1,Mordellidae,1,F4,LEMA,1,0,0,12
1,Nemotelus_sp.,2,A4,LEMA,2,5,0,12
1,Meligethes_sp.,2,B2,LEMA,1,0,0,12
1,Melyridae,2,B4,LEMA,1,1,0,12
1,Psilothrix_viridicoerulea,2,B4,LEMA,1,13,0,12
1,Calliphoridae,2,B5,ME,2,1,0,12
1,Eupeodes_corollae,2,C1,LEMA,1,2,0,12
1,Nemotelus_sp.,2,C3,LEMA,1,5,0,12
1,Eupeodes_corollae,2,C5,LEMA,1,2,0,12
1,Calliphoridae,2,D3,ME,2,1,0,12
1,Nemotelus_sp.,2,D4,LEMA,2,5,0,12
1,Eupeodes_corollae,2,D5,LEMA,1,2,0,12
1,Nemotelus_sp.,2,D6,LEMA,1,5,0,12
