Plot,G_F,Subplot_Plant_Label,Visits_tot,homo_motif,hete_motif
1,Flower_beetles,A1 LEMA,3,24,0
1,Small_flies,A1 LEMA,1,14,6
1,Flies,A2 CHFU,2,3,1
1,Small_flies,A2 CHFU,1,4,16
1,Flower_beetles,A2 LEMA,3,24,0
1,Small_flies,A2 LEMA,1,14,6
1,Small_flies,A3 CHFU,1,4,16
1,Flower_beetles,A3 LEMA,4,24,0
1,Bees,A4 LEMA,1,1,0
1,Flower_beetles,A4 LEMA,2,24,0
1,Small_flies,A5 LEMA,1,14,6
1,Flower_beetles,A6 LEMA,4,24,0
1,Small_flies,A6 LEMA,1,14,6
1,Hoverflies,B1 CHFU,1,1,10
1,Flower_beetles,B1 LEMA,1,24,0
1,Hoverflies,B1 LEMA,1,8,3
1,Hoverflies,B2 CHFU,1,1,10
1,Small_flies,B2 CHFU,2,4,16
1,Flower_beetles,B2 LEMA,2,24,0
1,Hoverflies,B2 LEMA,1,8,3
1,Small_flies,B2 LEMA,1,14,6
1,Small_flies,B2 ME,1,0,20
1,Flower_beetles,B5 LEMA,1,24,0
1,Flower_beetles,C1 LEMA,1,24,0
1,House_flies,C1 LEMA,1,0,1
1,Small_flies,C2 LEMA,1,14,6
1,Flower_beetles,C3 LEMA,1,24,0
1,Small_flies,C3 LEMA,1,14,6
1,Small_flies,C4 CHFU,1,4,16
1,Bees,C4 LEMA,2,1,0
1,Flower_beetles,C4 LEMA,2,24,0
1,Small_flies,C5 CHFU,2,4,16
1,Flies,C5 LEMA,1,0,4
1,Hoverflies,C5 LEMA,1,8,3
1,Small_flies,C5 LEMA,1,14,6
1,Flower_beetles,D1 LEMA,2,24,0
1,Flower_beetles,D2 LEMA,1,24,0
1,House_flies,D2 ME,1,0,1
1,Flower_beetles,D3 LEMA,15,24,0
1,Small_flies,D3 LEMA,2,14,6
1,Flower_beetles,D4 LEMA,1,24,0
1,Flower_beetles,D5 LEMA,9,24,0
1,Hoverflies,D5 LEMA,1,8,3
1,Small_flies,D5 LEMA,1,14,6
1,Flower_beetles,E1 LEMA,4,24,0
1,Mosquitoes,E1 LEMA,1,0,0
1,Flies,E2 CHFU,1,3,1
1,Flower_beetles,E2 LEMA,2,24,0
1,Hoverflies,E2 LEMA,4,8,3
1,Small_flies,E2 LEMA,1,14,6
1,Flower_beetles,E3 LEMA,3,24,0
1,Hoverflies,E3 LEMA,4,8,3
1,Hoverflies,E3 ME,1,0,11
1,Flower_beetles,E4 LEMA,4,24,0
1,Flies,E5 CHFU,1,3,1
1,Flower_beetles,E5 LEMA,2,24,0
1,Small_flies,E5 LEMA,1,14,6
1,Flower_beetles,E6 LEMA,3,24,0
1,Hoverflies,F1 LEMA,6,8,3
1,Small_flies,F1 LEMA,1,14,6
1,Small_flies,F2 LEMA,1,14,6
1,Flower_beetles,F3 LEMA,3,24,0
1,Hoverflies,F3 LEMA,1,8,3
1,Small_flies,F3 LEMA,1,14,6
1,Flies,F4 CHFU,1,3,1
1,Flower_beetles,F4 LEMA,1,24,0
1,Flower_beetles,F5 LEMA,2,24,0
1,Hoverflies,F6 LEMA,2,8,3
2,Flies,A1 LEMA,2,0,4
2,Flower_beetles,A1 LEMA,1,20,3
2,Hoverflies,A1 LEMA,1,8,1
2,Small_flies,A1 LEMA,1,13,5
2,Small_flies,A3 CHFU,1,3,15
2,Flower_beetles,A3 LEMA,2,20,3
2,Small_flies,A4 CHFU,2,3,15
2,Small_flies,A4 LEMA,2,13,5
2,Hoverflies,A5 LEMA,1,8,1
2,Hoverflies,A5 ME,1,0,9
2,Small_flies,B1 CHFU,1,3,15
2,Flower_beetles,B1 LEMA,6,20,3
2,Flies,B1 ME,5,2,2
2,Small_beetles,B2 LEMA,1,6,0
2,Flower_beetles,B3 LEMA,1,20,3
2,Flower_beetles,B4 LEMA,4,20,3
2,Flower_beetles,B5 ME,1,2,21
2,House_flies,B5 ME,2,1,1
2,Flower_beetles,B6 LEMA,1,20,3
2,Flower_beetles,C1 LEMA,1,20,3
2,Hoverflies,C1 LEMA,1,8,1
2,Small_flies,C1 LEMA,2,13,5
2,Flower_beetles,C1 ME,1,2,21
2,Flower_beetles,C3 LEMA,2,20,3
2,Small_flies,C3 LEMA,1,13,5
2,Flower_beetles,C5 LEMA,1,20,3
2,Hoverflies,C5 LEMA,1,8,1
2,Flower_beetles,C6 LEMA,1,20,3
2,Small_beetles,C6 LEMA,1,6,0
2,Flies,D1 CHFU,3,0,4
2,Flower_beetles,D1 LEMA,2,20,3
2,House_flies,D1 LEMA,1,0,2
2,Hoverflies,D1 LEMA,1,8,1
2,Small_beetles,D1 LEMA,1,6,0
2,Small_flies,D1 LEMA,3,13,5
2,Bees,D2 ME,1,1,3
2,House_flies,D3 ME,2,1,1
2,Flower_beetles,D4 LEMA,1,20,3
2,Small_flies,D4 LEMA,2,13,5
2,Hoverflies,D5 LEMA,1,8,1
2,Hoverflies,D6 LEMA,1,8,1
2,Small_flies,D6 LEMA,1,13,5
2,Small_flies,E1 CHFU,1,3,15
2,Flower_beetles,E1 LEMA,6,20,3
2,Small_flies,E1 LEMA,5,13,5
2,Hoverflies,E2 LEMA,1,8,1
2,Small_flies,E2 LEMA,1,13,5
2,Flies,E2 ME,1,2,2
2,Small_flies,E2 ME,1,0,18
2,Small_beetles,E3 LEMA,1,6,0
2,Bees,E4 LEMA,1,2,2
2,Flower_beetles,E4 LEMA,3,20,3
