Plot,G_F,Subplot_Plant_Label,Visits_tot,homo_motif,hete_motif
1,Flower_beetles,A1 LEMA,3,23,6
1,Small_flies,A1 LEMA,1,13,3
1,Flies,A2 LEMA,2,2,2
1,Flower_beetles,A2 LEMA,3,23,6
1,Small_flies,A2 LEMA,2,13,3
1,Flower_beetles,A3 LEMA,4,23,6
1,Small_flies,A3 LEMA,1,13,3
1,Bees,A4 LEMA,1,1,0
1,Flower_beetles,A4 LEMA,2,23,6
1,Small_flies,A5 LEMA,1,13,3
1,Flower_beetles,A6 LEMA,4,23,6
1,Small_flies,A6 LEMA,1,13,3
1,Flower_beetles,B1 LEMA,1,23,6
1,Hoverflies,B1 CHFU,2,3,7
1,Flower_beetles,B2 LEMA,2,23,6
1,Hoverflies,B2 LEMA,2,5,5
1,Small_flies,B2 LEMA,4,13,3
1,Flower_beetles,B5 LEMA,1,23,6
1,Flower_beetles,C1 LEMA,1,23,6
1,House_flies,C1 LEMA,1,1,0
1,Small_flies,C2 LEMA,1,13,3
1,Flower_beetles,C3 CHFU,1,4,25
1,Small_flies,C3 CHFU,1,1,15
1,Bees,C4 LEMA,2,1,0
1,Flower_beetles,C4 LEMA,2,23,6
1,Small_flies,C4 LEMA,1,13,3
1,Flies,C5 LEMA,1,2,2
1,Hoverflies,C5 LEMA,1,5,5
1,Small_flies,C5 LEMA,3,13,3
1,Flower_beetles,D1 LEMA,2,23,6
1,Flower_beetles,D2 LEMA,1,23,6
1,House_flies,D2 LEMA,1,1,0
1,Flower_beetles,D3 LEMA,15,23,6
1,Small_flies,D3 LEMA,2,13,3
1,Flower_beetles,D4 LEMA,1,23,6
1,Flower_beetles,D5 CHFU,4,4,25
1,Flower_beetles,D5 LEMA,4,23,6
1,Flower_beetles,D5 ME,1,0,29
1,Hoverflies,D5 LEMA,1,5,5
1,Small_flies,D5 ME,1,0,16
1,Flower_beetles,E1 LEMA,4,23,6
1,Mosquitoes,E1 LEMA,1,0,0
1,Flies,E2 CHFU,1,0,4
1,Flower_beetles,E2 LEMA,2,23,6
1,Hoverflies,E2 LEMA,4,5,5
1,Small_flies,E2 LEMA,1,13,3
1,Flower_beetles,E3 LEMA,3,23,6
1,Hoverflies,E3 CHFU,2,3,7
1,Hoverflies,E3 LEMA,3,5,5
1,Flower_beetles,E4 CHFU,1,4,25
1,Flower_beetles,E4 LEMA,3,23,6
1,Flies,E5 LEMA,1,2,2
1,Flower_beetles,E5 LEMA,2,23,6
1,Small_flies,E5 LEMA,1,13,3
1,Flower_beetles,E6 LEMA,3,23,6
1,Hoverflies,F1 LEMA,5,5,5
1,Hoverflies,F1 ME,1,0,10
1,Small_flies,F1 LEMA,1,13,3
1,Small_flies,F2 CHFU,1,1,15
1,Flower_beetles,F3 CHFU,1,4,25
1,Flower_beetles,F3 LEMA,2,23,6
1,Hoverflies,F3 CHFU,1,3,7
1,Small_flies,F3 LEMA,1,13,3
1,Flies,F4 ME,1,0,4
1,Flower_beetles,F4 LEMA,1,23,6
1,Flower_beetles,F5 CHFU,1,4,25
1,Flower_beetles,F5 LEMA,1,23,6
1,Hoverflies,F6 CHFU,2,3,7
2,Flies,A1 LEMA,2,3,3
2,Flower_beetles,A1 LEMA,1,15,15
2,Hoverflies,A1 LEMA,1,6,2
2,Small_flies,A1 LEMA,1,10,11
2,Flower_beetles,A3 CHFU,2,3,27
2,Small_flies,A3 LEMA,1,10,11
2,Small_flies,A4 CHFU,1,2,19
2,Small_flies,A4 LEMA,3,10,11
2,Hoverflies,A5 LEMA,2,6,2
2,Flies,B1 LEMA,1,3,3
2,Flies,B1 ME,4,2,4
2,Flower_beetles,B1 LEMA,1,15,15
2,Flower_beetles,B1 ME,5,10,20
2,Small_flies,B1 ME,1,7,14
2,Small_beetles,B2 ME,1,3,4
2,Flower_beetles,B3 LEMA,1,15,15
2,Flower_beetles,B4 CHFU,1,3,27
2,Flower_beetles,B4 LEMA,2,15,15
2,Flower_beetles,B4 ME,1,10,20
2,Flower_beetles,B5 LEMA,1,15,15
2,House_flies,B5 LEMA,1,1,3
2,House_flies,B5 ME,1,2,2
2,Flower_beetles,B6 LEMA,1,15,15
2,Flower_beetles,C1 CHFU,1,3,27
2,Flower_beetles,C1 LEMA,1,15,15
2,Hoverflies,C1 LEMA,1,6,2
2,Small_flies,C1 LEMA,1,10,11
2,Small_flies,C1 ME,1,7,14
2,Flower_beetles,C3 LEMA,2,15,15
