"","Bees","Flower_beetles","Halictidae","House_flies","Hoverflies","Small_flies"
"1 B2 ME",0,0,0,0,0,1
"1 D2 ME",0,0,0,1,0,0
"1 E3 ME",0,0,0,0,1,0
"2 A5 ME",0,0,0,0,1,0
"2 B5 ME",0,1,0,2,0,0
"2 C1 ME",0,1,0,0,0,0
"2 D2 ME",1,0,0,0,0,0
"2 D3 ME",0,0,0,2,0,0
"2 E2 ME",0,0,0,0,0,1
"2 E4 ME",0,1,1,0,0,0
"3 C3 ME",0,1,0,0,0,1
"3 D4 ME",0,1,0,0,0,0
"4 B4 ME",1,0,0,0,0,0
"6 E5 ME",0,0,0,0,1,0
"7 A5 ME",0,0,0,0,2,0
"7 B3 ME",0,0,0,0,1,0
"7 B5 ME",0,0,0,0,1,0
"7 D2 ME",0,0,0,0,0,1
"7 E2 ME",0,0,0,3,0,0
"8 B5 ME",0,0,0,0,1,1
"8 E2 ME",1,1,0,0,0,0
"8 E6 ME",1,0,0,0,0,0
"8 F5 ME",0,1,0,0,0,0
"9 D5 ME",0,1,0,2,0,0
"9 D6 ME",0,0,0,0,0,1
"9 E3 ME",0,0,0,1,0,0
"9 E6 ME",0,0,0,1,0,0
"9 F4 ME",0,0,0,1,0,0
