"","Bees","Flower_beetles","Halictidae","House_flies","Hoverflies","Small_beetles","Small_flies"
"1 A3 CHFU",0,0,0,0,0,0,1
"1 B1 CHFU",0,0,0,0,1,0,0
"1 B2 CHFU",0,0,0,0,0,0,2
"1 B2 ME",0,0,0,0,0,0,1
"1 C4 CHFU",0,0,0,0,0,0,1
"2 A4 CHFU",0,0,0,0,0,0,2
"2 E4 ME",0,0,1,0,0,0,0
"4 A2 CHFU",0,0,0,0,0,0,2
"4 B1 CHFU",0,2,0,0,0,0,1
"4 B2 CHFU",0,0,0,0,0,0,1
"4 B5 CHFU",0,2,0,0,0,0,1
"4 B6 CHFU",0,0,0,0,0,0,2
"4 C2 CHFU",0,0,0,0,0,0,1
"4 D6 CHFU",0,0,0,0,0,0,1
"4 E5 CHFU",0,0,0,0,0,0,1
"4 F4 CHFU",0,1,0,0,0,0,0
"4 F5 CHFU",0,0,0,0,0,0,3
"5 A1 CHFU",0,0,0,0,0,0,1
"5 A3 CHFU",0,0,0,0,0,0,1
"5 A4 CHFU",0,0,0,0,0,0,2
"5 A5 CHFU",0,0,0,0,0,0,1
"5 B1 CHFU",0,0,0,0,0,0,1
"5 B3 CHFU",0,0,0,0,1,0,0
"6 A2 CHFU",0,0,0,0,0,0,1
"6 A3 CHFU",0,0,0,0,0,1,1
"6 A4 LEMA",0,0,0,0,0,0,1
"6 A5 CHFU",0,1,0,0,0,0,0
"6 B1 LEMA",0,0,0,0,0,0,1
"6 B3 LEMA",0,0,0,0,0,0,1
"6 D2 LEMA",1,0,0,0,0,0,0
"6 D3 LEMA",1,0,0,0,0,0,0
"6 E3 CHFU",1,0,0,0,0,0,0
"6 F5 LEMA",0,0,0,0,0,1,0
"7 A1 CHFU",0,0,0,0,0,0,1
"7 A5 CHFU",0,0,0,0,0,0,6
"7 B1 CHFU",0,0,0,0,0,0,1
"7 B2 CHFU",0,0,0,0,1,0,2
"7 B3 CHFU",0,0,0,0,0,0,2
"7 B4 CHFU",0,0,0,0,0,0,1
"7 B5 CHFU",0,0,0,0,0,0,1
"7 B6 CHFU",0,0,0,0,0,0,4
"7 C3 CHFU",0,0,0,0,0,0,2
"7 C4 RAPE",0,0,0,0,0,0,1
"7 C6 CHFU",0,0,0,0,0,0,3
"7 D1 CHFU",0,0,0,0,0,0,2
"7 D2 CHFU",0,0,0,0,0,0,1
"7 D3 CHFU",0,0,0,0,0,0,1
"7 D4 CHFU",0,0,0,0,0,0,1
"7 D4 RAPE",0,0,0,0,0,0,1
"7 D5 CHFU",0,0,0,0,0,0,1
"7 D6 CHFU",0,0,0,0,0,0,3
"7 E2 CHFU",0,0,0,0,0,0,1
"7 E3 CHFU",0,0,0,0,0,0,2
"7 E4 CHFU",0,0,0,0,0,0,2
"7 E5 CHFU",0,0,0,0,0,0,1
"7 F1 CHFU",0,0,0,0,0,0,1
"7 F2 CHFU",0,0,0,0,0,0,3
"7 F3 CHFU",0,0,0,0,0,0,1
"7 F4 CHFU",0,0,0,0,0,0,3
"7 F5 CHFU",0,0,0,0,0,0,1
"8 A5 CHFU",0,0,0,0,0,0,2
"8 A6 CHFU",0,0,0,0,0,0,1
"8 B2 CHFU",0,0,0,0,1,0,0
"8 B3 LEMA",0,0,0,0,0,0,1
"8 B4 CHFU",0,0,0,0,0,0,1
"8 B5 CHFU",0,0,0,0,1,0,2
"8 B6 CHFU",0,0,0,0,0,0,1
"8 C3 CHFU",0,0,0,0,0,0,1
"8 C4 CHFU",0,0,0,0,0,0,1
"8 C6 CHFU",0,0,0,0,0,0,1
"8 D2 CHFU",0,0,0,0,0,0,1
"8 D3 CHFU",0,0,0,0,0,0,1
"8 D5 CHFU",0,0,0,0,0,0,1
"8 E2 CHFU",0,0,0,0,1,0,0
"8 E3 CHFU",0,0,0,0,0,0,1
"8 E4 CHFU",0,0,0,0,0,0,1
"8 E5 CHFU",0,0,0,1,0,0,0
"8 F3 CHFU",0,0,0,0,0,0,1
"8 F4 CHFU",0,0,0,0,0,0,1
"8 F6 CHFU",0,0,0,0,0,0,2
"9 A2 CHFU",0,0,0,0,0,0,2
"9 A5 LEMA",0,0,0,0,0,0,2
"9 C3 LEMA",0,0,0,0,0,0,2
"9 C4 LEMA",0,1,0,0,1,0,0
"9 C5 LEMA",0,0,0,0,0,1,0
"9 D2 LEMA",0,2,0,0,0,0,0
"9 D4 CHFU",0,0,0,0,0,0,2
"9 E1 CHFU",0,0,0,0,0,0,4
"9 E3 CHFU",0,1,0,0,0,0,0
"9 E4 LEMA",1,0,0,0,0,0,0
"9 F1 CHFU",0,0,0,0,0,0,4
"9 F1 LEMA",0,0,0,0,0,0,2
"9 F6 LEMA",0,0,0,0,0,2,0
