"","Bees","Flower_beetles","Hoverflies","Small_beetles","Small_flies"
"1 A1 LEMA",0,3,0,0,0
"1 A2 LEMA",0,3,0,0,1
"1 A3 LEMA",0,2,0,0,0
"1 A4 LEMA",0,2,0,0,0
"1 A5 LEMA",0,0,0,0,1
"1 A6 LEMA",0,2,0,0,1
"1 B2 LEMA",0,1,0,0,1
"1 C1 LEMA",0,1,0,0,0
"1 C3 LEMA",0,1,0,0,1
"1 C4 LEMA",0,2,0,0,0
"1 D1 LEMA",0,2,0,0,0
"1 D3 LEMA",0,5,0,0,1
"1 D4 LEMA",0,1,0,0,0
"1 D5 LEMA",0,2,1,0,0
"1 E1 LEMA",0,3,0,0,0
"1 E3 LEMA",0,2,2,0,0
"1 E4 LEMA",0,1,0,0,0
"1 F5 LEMA",0,1,0,0,0
"2 A1 LEMA",0,1,0,0,1
"2 A3 LEMA",0,1,0,0,0
"2 A5 LEMA",0,0,1,0,0
"2 A5 ME",0,0,1,0,0
"2 B1 LEMA",0,1,0,0,0
"2 C3 LEMA",0,1,0,0,0
"2 C5 LEMA",0,1,0,0,0
"2 C6 LEMA",0,1,0,1,0
"2 D1 LEMA",0,0,1,0,0
"2 D2 ME",1,0,0,0,0
"2 D6 LEMA",0,0,1,0,0
"2 E2 ME",0,0,0,0,1
"2 E3 LEMA",0,0,0,1,0
"2 E6 LEMA",0,4,1,1,0
"2 F6 LEMA",0,1,0,3,0
"3 A1 LEMA",0,0,0,0,1
"3 A5 LEMA",0,1,0,0,0
"3 B1 LEMA",0,1,0,0,0
"3 B2 LEMA",0,1,0,0,0
"3 B3 LEMA",0,2,0,0,0
"3 B5 LEMA",0,2,0,0,0
"3 B6 LEMA",0,2,0,0,0
"3 C1 LEMA",0,2,0,0,0
"3 C5 LEMA",0,1,0,0,0
"3 C6 LEMA",0,3,0,1,0
"3 D1 LEMA",0,3,0,0,0
"3 D2 LEMA",0,1,0,0,0
"3 D6 LEMA",0,1,0,0,0
"3 E1 LEMA",0,2,0,1,0
"3 E3 LEMA",0,0,0,1,0
"3 E5 LEMA",0,1,0,0,0
"3 F1 LEMA",0,2,0,1,0
"3 F2 LEMA",1,1,0,0,0
"3 F4 LEMA",0,2,0,1,0
"3 F5 LEMA",1,1,0,0,0
"3 F6 LEMA",0,2,0,0,0
"4 A2 LEMA",0,2,1,0,0
"4 B4 LEMA",1,0,0,0,0
"4 B4 ME",1,0,0,0,0
"4 C2 LEMA",0,1,1,0,1
"4 D5 LEMA",0,0,1,0,1
"4 F4 LEMA",0,2,0,0,0
"4 F6 LEMA",0,3,0,0,0
"5 A1 LEMA",0,0,1,0,1
"5 A2 LEMA",0,0,1,0,0
"5 A4 LEMA",0,0,0,1,0
"5 A6 LEMA",0,1,0,0,0
"5 B2 LEMA",0,0,1,0,0
"5 B5 LEMA",0,1,0,0,0
"5 C1 LEMA",0,1,1,0,0
"5 C3 LEMA",0,1,0,0,0
"5 C4 LEMA",0,1,0,0,0
"5 C5 LEMA",0,0,0,0,2
"5 D1 LEMA",0,0,0,1,0
"5 D4 LEMA",0,1,0,0,0
"5 D5 LEMA",0,0,1,0,0
"5 E1 LEMA",0,0,2,0,0
"5 E5 LEMA",0,0,0,1,0
"5 F1 LEMA",0,1,0,0,0
"5 F4 LEMA",0,0,0,2,0
"6 A1 LEMA",0,2,0,0,0
"6 A4 LEMA",0,0,1,0,0
"6 B3 LEMA",0,0,0,1,0
"6 C3 LEMA",0,0,0,1,0
"6 C6 LEMA",0,1,0,0,0
"6 D1 LEMA",0,1,0,0,0
"6 D5 LEMA",0,1,0,0,0
"6 F2 LEMA",0,1,0,0,0
"6 F5 LEMA",0,2,0,0,0
"6 F6 LEMA",0,0,0,1,0
"7 B5 LEMA",0,0,0,0,1
"7 B6 LEMA",0,1,0,0,0
"7 C2 LEMA",0,0,0,0,1
"7 C3 LEMA",0,1,0,0,0
"7 D3 LEMA",0,0,1,0,0
"7 D5 LEMA",0,1,0,0,0
"7 D6 LEMA",0,2,0,0,1
"7 E3 LEMA",0,1,1,0,0
"8 A1 LEMA",0,1,0,2,0
"8 B2 LEMA",0,0,0,2,0
"8 B3 LEMA",0,1,0,0,0
"8 B5 LEMA",0,0,0,1,0
"8 B5 ME",0,0,1,0,0
"8 C1 LEMA",0,0,0,1,0
"8 C4 LEMA",0,1,0,0,0
"8 D4 LEMA",0,1,0,0,0
"8 D6 LEMA",0,1,0,0,0
"8 E6 LEMA",0,1,0,0,0
"8 F2 LEMA",0,0,1,0,0
"8 F4 LEMA",0,2,0,1,0
"8 F5 ME",0,1,0,0,0
"8 F6 LEMA",0,0,0,0,1
"9 A3 LEMA",0,2,0,0,0
"9 A5 LEMA",0,1,0,0,0
"9 B2 LEMA",0,1,0,0,0
"9 B4 LEMA",0,1,0,0,0
"9 B5 LEMA",0,4,0,0,0
"9 E1 LEMA",0,2,0,0,0
"9 E2 LEMA",0,1,0,0,0
"9 E5 LEMA",0,1,0,0,0
"9 E6 LEMA",0,1,0,0,0
