"","Bees","Beetles","Flies","Flower_beetles","House_flies","Hoverflies","Small_beetles","Small_flies"
"1 A4 LEMA",1,0,0,0,0,0,0,0
"1 B1 LEMA",0,0,0,0,0,1,0,0
"1 B5 LEMA",0,0,0,1,0,0,0,0
"1 C1 LEMA",0,0,0,0,1,0,0,0
"1 C5 LEMA",0,0,0,0,0,1,0,0
"1 D2 ME",0,0,0,0,1,0,0,0
"1 E1 LEMA",0,0,0,1,0,0,0,0
"1 E2 LEMA",0,0,0,1,0,4,0,0
"1 E6 LEMA",0,0,0,3,0,0,0,0
"1 F6 LEMA",0,0,0,0,0,2,0,0
"2 A1 LEMA",0,0,2,0,0,1,0,0
"2 B1 LEMA",0,0,0,2,0,0,0,0
"2 B1 ME",0,0,5,0,0,0,0,0
"2 B5 ME",0,0,0,1,0,0,0,0
"2 B6 LEMA",0,0,0,1,0,0,0,0
"2 C1 LEMA",0,0,0,1,0,0,0,0
"2 C1 ME",0,0,0,1,0,0,0,0
"2 D1 CHFU",0,0,3,0,0,0,0,0
"2 E2 LEMA",0,0,0,0,0,1,0,0
"2 E2 ME",0,0,1,0,0,0,0,0
"2 E4 ME",0,0,1,0,0,0,0,0
"2 F1 LEMA",0,0,0,2,0,0,0,0
"3 B1 LEMA",0,0,0,1,0,2,0,0
"3 C3 ME",0,0,1,0,0,0,0,0
"3 C6 LEMA",0,0,0,1,0,0,0,0
"3 D2 LEMA",5,0,0,1,0,0,0,0
"3 D3 LEMA",0,0,0,3,0,0,0,0
"3 D6 LEMA",0,0,0,6,0,0,0,0
"3 E1 LEMA",0,0,0,1,0,0,0,0
"3 E2 LEMA",0,0,0,1,0,0,0,0
"3 E3 LEMA",0,0,0,0,0,1,0,0
"3 E3 ME",0,0,1,0,0,0,0,0
"3 E4 LEMA",0,0,1,0,0,0,0,0
"3 E4 ME",0,0,3,0,0,0,0,0
"3 E5 LEMA",0,0,0,1,0,0,0,0
"3 F2 LEMA",0,0,0,2,0,0,0,0
"3 F3 LEMA",0,0,0,1,0,0,1,0
"3 F4 ME",0,0,2,0,0,0,0,0
"4 A1 LEMA",0,0,0,0,0,0,0,1
"4 A2 LEMA",0,0,0,1,0,0,3,1
"4 B2 LEMA",1,0,0,2,0,0,0,0
"4 B6 LEMA",0,0,0,2,0,0,0,0
"4 C4 LEMA",0,0,0,1,0,2,0,0
"4 C5 LEMA",0,0,0,0,0,1,0,0
"4 E2 LEMA",0,0,0,1,0,1,0,0
"4 E4 LEMA",0,0,0,0,0,2,0,0
"4 E5 LEMA",0,0,0,0,0,0,0,1
"4 F1 LEMA",0,0,0,0,0,1,0,0
"5 A2 LEMA",0,1,0,0,0,3,0,0
"5 B2 LEMA",0,0,0,2,0,0,0,0
"5 D2 LEMA",0,0,0,0,0,2,0,0
"6 B2 LEMA",0,0,0,0,0,0,1,0
"6 B4 LEMA",0,0,0,1,0,0,0,0
"6 B6 LEMA",0,0,0,4,0,0,0,0
"6 C1 LEMA",0,0,0,4,0,0,0,0
"6 C4 LEMA",2,0,0,0,0,0,0,0
"6 D1 LEMA",0,0,0,0,0,1,0,0
"6 D3 LEMA",0,0,0,0,0,1,0,0
"6 F4 LEMA",0,0,0,0,0,1,0,0
"7 A5 LEMA",0,0,0,0,0,2,0,0
"7 B3 LEMA",1,0,0,0,0,0,0,0
"7 C1 LEMA",0,0,2,0,0,2,0,0
"7 C3 LEMA",0,0,0,1,0,0,0,0
"7 D1 LEMA",0,0,0,0,0,1,0,0
"7 E2 LEMA",0,0,0,1,0,0,0,0
"7 E2 ME",0,0,0,0,3,0,0,0
"7 F2 LEMA",0,0,0,0,0,0,0,1
"7 F3 LEMA",1,0,0,0,0,0,0,0
"7 F4 LEMA",1,0,0,0,0,0,0,0
"8 A3 LEMA",0,0,1,0,0,1,0,0
"8 A5 LEMA",0,0,0,2,0,0,0,0
"8 B3 LEMA",0,0,0,2,0,0,1,0
"8 B4 LEMA",0,0,0,0,0,0,0,1
"8 B5 LEMA",0,0,0,6,0,0,0,0
"8 C2 LEMA",1,0,0,3,0,1,0,0
"8 C3 LEMA",0,0,0,3,0,0,0,0
"8 C4 LEMA",0,0,0,1,0,0,1,0
"8 C5 ME",0,0,1,0,0,0,0,0
"8 D3 LEMA",0,0,0,1,0,0,0,0
"8 D4 LEMA",0,0,0,0,0,1,0,0
"8 D5 LEMA",0,0,0,1,0,0,0,0
"8 E1 LEMA",0,0,0,1,0,0,0,0
"8 E2 LEMA",0,0,0,1,0,0,0,0
"8 F1 LEMA",0,0,0,0,0,0,1,0
"8 F2 LEMA",0,0,0,1,0,0,0,0
"8 F4 LEMA",0,0,0,8,0,0,0,0
"9 B6 LEMA",0,0,0,1,0,0,0,0
"9 C5 LEMA",0,0,0,2,0,0,0,0
"9 D5 ME",0,0,0,0,1,0,0,0
"9 E3 LEMA",0,0,0,0,0,4,0,0
"9 E6 ME",0,0,0,0,1,0,0,0
"9 F4 ME",0,0,0,0,1,0,0,0
"9 F5 LEMA",0,0,0,2,0,0,0,0
