"","Bees","Flies","House_flies","Hoverflies","Small_beetles","Small_flies"
"1 C5 CHFU",0,0,0,0,0,2
"2 B1 CHFU",0,0,0,0,0,1
"2 F3 LEMA",1,0,0,0,0,0
"3 D2 CHFU",0,0,0,0,1,0
"3 E2 CHFU",0,0,0,0,0,1
"4 A2 CHFU",1,0,0,0,0,0
"4 A6 CHFU",0,0,0,1,0,0
"4 C2 LEMA",1,0,0,0,0,0
"4 E4 LEMA",0,0,0,2,1,0
"4 F1 LEMA",1,0,0,0,0,0
"5 A1 LEMA",0,0,0,0,1,0
"5 B2 CHFU",0,0,0,1,0,0
"5 D5 CHFU",0,0,0,0,0,1
"5 E1 CHFU",0,0,0,0,1,0
"6 A3 CHFU",0,0,0,0,2,0
"6 B3 CHFU",0,0,0,2,0,0
"6 B4 LEMA",0,0,0,3,0,0
"7 A5 CHFU",0,0,1,0,0,1
"7 B2 CHFU",0,0,0,0,0,1
"7 B6 CHFU",0,0,0,0,0,2
"7 C2 CHFU",2,0,0,0,0,0
"7 C3 CHFU",0,2,0,0,0,2
"7 E5 RAPE",2,0,0,0,0,0
"7 F1 CHFU",0,0,0,0,0,1
"7 F6 RAPE",0,0,0,1,0,0
"8 B1 CHFU",0,0,0,0,0,1
"8 B4 RAPE",0,0,0,1,0,0
"8 C2 CHFU",0,0,0,1,0,0
"8 D2 CHFU",0,0,0,1,1,0
"8 E5 CHFU",0,0,0,0,0,1
"9 A2 CHFU",0,0,0,0,0,1
"9 A3 CHFU",0,0,0,0,0,1
"9 B1 CHFU",0,1,0,0,0,0
"9 B2 CHFU",0,0,0,0,0,1
"9 B3 CHFU",0,0,0,0,1,0
"9 D2 CHFU",0,0,0,1,0,0
"9 D4 CHFU",0,0,0,0,0,2
"9 E1 CHFU",0,1,0,0,0,0
"9 E3 CHFU",0,0,0,0,0,1
"9 E4 CHFU",0,0,1,0,0,0
"9 F4 CHFU",0,0,0,0,0,3
"9 F5 CHFU",0,0,0,0,0,2
"9 F6 CHFU",0,0,0,0,0,5
