"","Bees","Flies","Flower_beetles","House_flies","Hoverflies","Small_beetles","Small_flies"
"A2 CHFU",0,0,0,0,1,0,3
"A3 CHFU",0,0,0,0,0,0,1
"A4 CHFU",0,0,0,0,0,0,1
"A6 CHFU",0,0,0,0,0,0,1
"B1 CHFU",0,1,0,0,0,0,1
"B2 CHFU",0,0,0,0,0,0,1
"B3 CHFU",0,0,0,0,0,1,0
"C1 CHFU",0,0,0,0,1,0,0
"C3 CHFU",0,0,0,0,2,0,0
"C5 CHFU",0,0,0,0,1,0,0
"C6 CHFU",0,0,0,0,1,0,1
"D2 CHFU",0,0,0,0,1,0,0
"D3 CHFU",0,0,0,0,1,0,0
"D4 CHFU",0,0,0,0,1,0,4
"E1 CHFU",0,0,0,0,0,0,4
"E3 CHFU",0,0,1,0,0,0,1
"E4 CHFU",0,0,0,1,1,0,1
"E5 CHFU",1,0,0,0,0,0,0
"F1 CHFU",0,0,0,0,0,0,5
"F4 CHFU",0,0,0,0,0,0,3
"F5 CHFU",0,0,0,0,0,0,2
"F6 CHFU",0,0,0,0,0,0,5
