"","Beetles","Flies","Flower_beetles","Hoverflies","Small_beetles","Small_flies"
"A1 LEMA",0,0,0,1,1,1
"A2 LEMA",1,0,0,4,0,0
"A3 LEMA",0,1,0,0,0,0
"A4 LEMA",0,0,0,0,1,0
"A6 LEMA",0,0,1,0,0,0
"B2 LEMA",0,0,2,1,0,0
"B4 LEMA",0,0,2,0,0,0
"B5 LEMA",0,0,1,0,0,0
"C1 LEMA",0,0,1,1,0,1
"C3 LEMA",0,0,1,0,0,0
"C4 LEMA",0,0,1,0,0,1
"C5 LEMA",0,0,0,0,0,3
"D1 LEMA",0,0,3,0,1,8
"D2 LEMA",0,0,0,2,0,1
"D4 LEMA",0,0,1,0,0,0
"D5 LEMA",0,0,0,1,0,0
"E1 LEMA",0,0,4,2,0,2
"E5 LEMA",0,0,0,0,1,0
"F1 LEMA",0,0,1,0,0,0
"F4 LEMA",0,0,0,0,2,0
