"","Bees","Flies","House_flies","Hoverflies","Small_beetles","Small_flies"
"A2 CHFU",0,7,0,0,0,0
"A3 CHFU",0,1,0,1,0,0
"A4 CHFU",0,1,0,0,0,1
"A5 CHFU",0,1,0,0,0,2
"A6 CHFU",0,1,0,1,0,1
"B1 CHFU",0,0,0,0,0,1
"B2 CHFU",0,4,0,1,0,0
"B3 CHFU",0,0,0,1,0,0
"B4 CHFU",0,0,0,0,0,1
"B5 CHFU",0,1,0,1,0,2
"B6 CHFU",0,0,0,0,0,1
"C2 CHFU",0,0,0,1,0,0
"C3 CHFU",1,0,0,1,0,1
"C4 CHFU",0,0,0,0,0,1
"C6 CHFU",0,5,0,0,0,1
"D1 CHFU",0,0,0,3,0,0
"D2 CHFU",0,0,0,1,1,1
"D3 CHFU",0,0,0,0,0,1
"D5 CHFU",0,1,1,0,0,2
"D6 CHFU",0,0,0,1,0,0
"E1 CHFU",0,4,0,0,0,0
"E2 CHFU",0,0,0,1,0,0
"E3 CHFU",0,0,0,0,0,1
"E4 CHFU",1,0,0,0,0,2
"E5 CHFU",0,0,1,0,0,1
"F3 CHFU",0,0,0,0,0,1
"F4 CHFU",0,0,0,0,0,1
"F6 CHFU",0,0,0,0,0,2
