"","bee_1_1_6","Big_bee_2_8_7","Black small melyridae","Brassicogethes_sp.","Cryptocephalus_sp.","Elateridae","Lasioglossum_sp.","Oedemeridae","Psilothrix_viridicoerulea","Small bee 1_8_6","Ulidiidae"
"A1 LEMA",0,0,0,1,0,0,0,0,0,0,0
"A2 LEMA",0,0,0,0,0,0,0,0,0,3,0
"A4 LEMA",0,0,0,1,0,0,0,0,0,0,0
"A6 LEMA",0,0,0,1,0,0,0,0,0,2,0
"B1 LEMA",0,0,0,2,0,0,0,0,0,0,0
"B2 LEMA",0,0,0,3,0,1,0,0,0,0,0
"B3 LEMA",0,0,1,0,0,0,0,0,0,0,0
"B5 LEMA",0,0,0,2,0,0,0,0,1,0,0
"C1 LEMA",0,0,0,3,0,1,0,0,0,0,0
"C2 LEMA",0,0,0,0,0,0,0,0,3,0,0
"C3 LEMA",0,0,0,7,1,0,0,0,3,0,0
"C4 LEMA",0,0,0,3,0,0,0,0,1,0,0
"C5 LEMA",0,0,0,2,0,0,0,0,1,0,0
"D1 LEMA",0,1,0,4,0,0,0,0,1,0,0
"D2 LEMA",2,1,0,0,0,0,0,0,0,0,0
"D3 LEMA",0,0,0,0,0,0,0,0,0,0,1
"D6 LEMA",0,0,0,1,0,0,0,0,0,0,0
"E1 LEMA",0,0,0,1,0,0,0,2,3,0,0
"E2 LEMA",0,0,0,0,0,0,0,0,1,0,0
"E3 LEMA",0,0,0,0,0,1,0,0,0,0,0
"E5 LEMA",0,0,0,5,0,0,0,0,1,0,0
"F1 LEMA",0,0,0,0,0,0,0,0,2,0,0
"F2 LEMA",0,0,0,2,0,0,1,1,0,0,0
"F3 LEMA",0,0,0,1,0,0,0,0,1,0,0
"F4 LEMA",0,0,0,3,0,0,0,0,0,0,0
