"","Andrena_2_10_3","Andrena_sp.","Beetle_orange_3_10_3","Black_beetle_1_10_03","Bombyliidae","Brassicogethes_sp.","Cryptocephalus_sp.","Cylindromyia_sp.","Lagorina_sericea","Lasioglossum_sp.","Malachius_bipustulatus","Nemotelus_sp.","Psilothrix_viridicoerulea","Sphaerophoria_scripta"
"A1 LEMA",0,0,0,0,0,0,0,1,0,0,0,0,1,0
"A2 LEMA",0,0,0,0,0,4,0,0,0,0,0,0,0,0
"A3 LEMA",0,0,0,0,0,2,0,0,0,0,0,0,0,0
"A4 LEMA",0,0,0,0,0,2,0,0,0,0,0,0,3,0
"A5 LEMA",0,0,0,1,0,0,0,0,0,0,0,0,2,0
"A6 LEMA",0,0,0,0,0,1,1,0,0,0,0,0,0,0
"B1 LEMA",3,0,0,0,0,0,0,0,0,0,0,0,2,0
"B2 LEMA",2,0,0,0,0,2,0,0,0,0,1,0,0,0
"B3 LEMA",10,0,0,0,0,0,0,0,0,0,0,0,1,0
"B4 LEMA",3,0,0,0,0,1,0,0,0,0,0,0,1,0
"B5 LEMA",10,0,0,0,0,3,0,0,0,0,0,0,0,0
"B6 LEMA",8,0,0,0,0,0,0,0,0,0,0,0,0,0
"C1 LEMA",3,0,0,0,0,1,0,0,0,0,0,0,1,0
"C2 LEMA",2,0,0,0,0,1,0,0,0,0,0,0,0,0
"C3 LEMA",0,0,0,0,0,1,0,0,0,0,0,0,0,0
"C4 LEMA",0,3,0,0,0,2,0,0,0,1,0,0,1,1
"C5 LEMA",0,0,0,0,0,1,0,0,0,0,0,0,0,0
"C6 LEMA",0,0,0,1,0,7,0,0,0,0,0,0,0,0
"D1 LEMA",11,0,0,0,0,2,0,0,0,0,0,0,0,1
"D4 LEMA",0,0,0,0,0,0,0,0,2,0,0,0,0,1
"D5 LEMA",3,0,1,0,0,1,0,0,0,0,0,0,0,0
"D6 LEMA",0,0,0,0,0,4,0,0,0,1,0,1,0,4
"E1 LEMA",0,0,0,0,1,2,0,1,0,0,0,0,0,0
"E2 LEMA",0,0,0,0,0,3,0,0,0,0,0,0,3,1
"E4 LEMA",0,0,0,0,0,2,0,0,0,0,0,0,1,1
"E5 LEMA",0,0,0,0,0,0,0,0,0,1,0,0,1,0
"E6 LEMA",1,0,0,0,0,6,0,0,0,0,0,0,0,1
"F1 LEMA",0,0,0,0,0,0,0,0,0,0,0,0,1,0
"F2 LEMA",2,0,0,0,0,0,0,0,0,0,0,0,1,0
"F3 LEMA",2,0,0,0,0,2,0,0,0,0,0,0,1,0
"F4 LEMA",1,1,0,0,0,1,0,0,0,0,0,0,2,1
"F5 LEMA",0,0,0,0,0,4,0,0,0,0,0,0,2,0
