"","Andrena_sp.","bee_1_1_6","Brassicogethes_sp.","Melyridae","Musca_sp.","Psilothrix_viridicoerulea","Sarcophaga_sp.","Small bee 1_8_6","Tabanidae","Vanessa_cardui"
"A2 PUPA",0,0,0,0,1,0,0,0,0,0
"A3 PUPA",0,0,0,0,0,0,0,0,1,0
"B2 PUPA",0,0,0,0,0,0,5,0,0,0
"B4 PUPA",1,0,0,0,0,0,0,0,0,0
"B5 PUPA",1,0,1,0,0,0,0,0,0,0
"B6 PUPA",0,0,0,0,0,0,1,0,0,0
"D2 PUPA",0,0,0,0,0,0,0,1,0,0
"D4 PUPA",0,0,0,0,0,0,0,0,0,2
"D5 PUPA",0,0,0,1,0,0,0,0,0,0
"D6 PUPA",0,0,0,0,0,0,3,0,0,0
"E1 PUPA",0,0,0,0,0,0,0,1,0,0
"E2 PUPA",0,0,0,0,0,0,0,2,0,0
"E3 PUPA",0,0,0,0,0,0,0,3,0,0
"E5 PUPA",0,0,0,0,0,0,1,0,0,0
"F1 PUPA",0,0,0,0,0,0,0,2,0,0
"F5 PUPA",0,6,0,0,0,0,0,0,0,0
"F6 PUPA",0,0,0,0,0,1,0,0,0,0
