"","Andrena_cinerea","Anthaxia_semicuprea","Brassicogethes_sp.","Cantharidae","Chrysomelidae","Chrysotoxum_sp.","Dilophus_sp.","Diptera","Episyrphus_balteatus","Eupeodes_corollae","Malachius_bipustulatus","Meligethes_sp.","Melyridae","Mordellidae","Musca_sp.","Nemotelus_sp.","Odontomyia_sp.","Oedemeridae","Psilothrix_viridicoerulea","Scaeva_sp.","Sphaerophoria_scripta"
"1 A1 LEMA",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0
"1 A2 LEMA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0
"1 A3 LEMA",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"1 A4 LEMA",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
"1 A5 LEMA",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1 A6 LEMA",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
"1 B1 LEMA",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
"1 B2 LEMA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,1
"1 B5 LEMA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"1 C1 LEMA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
"1 C2 LEMA",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1 C3 LEMA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
"1 C4 LEMA",2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
"1 C5 LEMA",0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
"1 D1 LEMA",0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
"1 D2 LEMA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"1 D3 LEMA",0,0,0,0,1,0,2,0,0,0,0,0,0,1,0,0,0,0,3,0,0
"1 D4 LEMA",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"1 D5 LEMA",0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0
