"","Andrena_cinerea","Calliphoridae","Cantharidae","Dilophus_sp.","Diptera","Empididae","Eupeodes_corollae","Lassioglosum_ immunitum","Musca_sp.","Nemotelus_sp.","Psilothrix_viridicoerulea","Sphaerophoria_scripta"
"1 B2 ME",0,0,0,0,0,1,0,0,0,0,0,0
"1 D2 ME",0,0,0,0,0,0,0,0,1,0,0,0
"1 E3 ME",0,0,0,0,0,0,0,0,0,0,0,1
"2 A5 ME",0,0,0,0,0,0,1,0,0,0,0,0
"2 B1 ME",0,0,0,0,5,0,0,0,0,0,0,0
"2 B5 ME",0,2,1,0,0,0,0,0,0,0,0,0
"2 C1 ME",0,0,1,0,0,0,0,0,0,0,0,0
"2 D2 ME",1,0,0,0,0,0,0,0,0,0,0,0
"2 D3 ME",0,2,0,0,0,0,0,0,0,0,0,0
"2 E2 ME",0,0,0,0,1,0,0,0,0,1,0,0
"2 E4 ME",0,0,1,0,1,0,0,1,0,0,0,0
"3 C3 ME",0,0,0,1,2,0,0,0,0,0,1,0
"3 D4 ME",0,0,0,0,0,0,0,0,0,0,1,0
"3 E3 ME",0,0,0,0,1,0,0,0,0,0,0,0
"3 E4 ME",0,0,0,0,4,0,0,0,0,0,0,0
"3 F4 ME",0,0,0,0,2,0,0,0,0,0,0,0
