"","Andrena_cinerea","Anthaxia_semicuprea","Coleoptera","Curculionidae","Dilophus_sp.","Diptera","Eucera_sp.","Eupeodes_corollae","Lagorina_sericea","Malachius_bipustulatus","Melanostoma_sp.","Meligethes_sp.","Melyridae","Mordellidae","Musca_sp.","Nemotelus_sp.","Odontomyia_sp.","Oedemeridae","Psilothrix_viridicoerulea","Sphaerophoria_scripta"
"7 A4 LEMA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
"7 A5 LEMA",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
"7 A6 LEMA",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7 B3 LEMA",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"7 B4 LEMA",4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7 B5 LEMA",2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"7 B6 LEMA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
"7 C1 LEMA",0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2
"7 C2 LEMA",0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,2,1
"7 C3 LEMA",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
"7 C4 LEMA",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
"7 C5 LEMA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"7 C6 LEMA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"7 D1 LEMA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"7 D2 LEMA",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"7 D3 LEMA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"7 D4 LEMA",0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"7 D5 LEMA",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,1
"7 D6 LEMA",0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
"7 E1 LEMA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"7 E2 LEMA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
"7 E3 LEMA",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
"7 E4 LEMA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
"7 E6 LEMA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,1,0
"7 F2 LEMA",0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7 F3 LEMA",1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7 F4 LEMA",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8 A1 LEMA",0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,1
"8 A2 LEMA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
"8 A3 LEMA",0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
"8 A4 LEMA",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"8 A5 LEMA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
"8 B2 LEMA",0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1
"8 B3 LEMA",0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,4,0
"8 B4 LEMA",1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8 B5 LEMA",2,0,0,0,3,0,0,0,0,1,0,1,0,1,0,0,0,0,3,0
"8 B6 LEMA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"8 C1 LEMA",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"8 C2 LEMA",1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,4,1
"8 C3 LEMA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0
"8 C4 LEMA",1,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0
"8 D1 LEMA",0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
"8 D2 LEMA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,2
"8 D3 LEMA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"8 D4 LEMA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"8 D5 LEMA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"8 D6 LEMA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"8 E1 LEMA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"8 E2 LEMA",0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"8 E3 LEMA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"8 E4 LEMA",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8 E5 LEMA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
