"","Apoidea","Brassicogethes_sp","Cantharidae","Dilophus_sp","Episyrphus_balteatus","Eupeodes_corollae","Malachius_sp","Meligethes_sp","Melyridae","Mordellidae","Muscidae","nemotelus_sp","Nemotelus_sp","Psilothrix_viridicoerulea","Syrphidae"
"A1 LEMA",0,0,0,0,0,1,0,0,0,0,0,0,1,1,0
"A3 LEMA",0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"A4 LEMA",0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
"A5 LEMA",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"B1 LEMA",0,0,1,0,0,0,0,0,0,0,0,0,0,2,0
"B2 LEMA",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"B3 LEMA",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"B4 LEMA",0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
"B6 LEMA",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"C1 LEMA",0,0,1,2,0,1,0,0,0,0,0,0,0,0,0
"C3 LEMA",0,0,0,0,0,0,0,0,0,0,0,0,1,2,0
"C5 LEMA",0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
"C6 LEMA",0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
"D1 LEMA",0,1,0,3,0,0,0,0,0,0,1,0,0,2,1
"D4 LEMA",0,0,0,0,0,0,0,0,0,0,0,0,2,1,0
"D5 LEMA",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"D6 LEMA",0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
"E1 LEMA",0,0,0,5,0,0,0,0,0,1,0,0,0,2,0
"E2 LEMA",0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
"E3 LEMA",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"E4 LEMA",1,0,0,0,0,0,0,0,0,0,0,0,0,3,0
"E5 LEMA",0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
"E6 LEMA",1,0,0,0,0,0,0,1,0,0,0,0,0,5,1
"F1 LEMA",0,0,1,2,0,0,0,0,0,0,0,0,0,1,0
"F2 LEMA",0,0,0,1,0,0,1,0,1,0,0,0,0,0,0
"F3 LEMA",1,3,0,2,0,0,0,0,0,0,0,0,1,4,0
"F4 LEMA",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"F6 LEMA",0,0,0,1,0,0,0,3,0,0,0,0,0,1,0
