"","Andrena_cinerea","Coleoptera","Curculionidae","Dilophus_sp.","Eupeodes_corollae","Malachius_bipustulatus","Melanostoma_sp.","Mordellidae","Musca_sp.","Odontomyia_sp.","Psilothrix_viridicoerulea","Sphaerophoria_scripta"
"A4 LEMA",0,0,0,0,0,0,0,0,0,0,1,2
"A5 LEMA",0,0,0,0,1,0,0,0,0,0,0,1
"A6 LEMA",0,0,0,1,0,0,0,0,0,0,0,0
"B3 LEMA",1,0,0,0,0,0,0,0,0,0,1,0
"B4 LEMA",4,0,0,0,0,0,0,0,0,0,0,0
"B5 LEMA",2,0,0,1,0,0,0,0,0,0,0,2
"B6 LEMA",0,0,0,0,0,0,0,0,0,0,2,2
"C1 LEMA",0,0,0,2,0,0,0,0,2,0,0,2
"C2 LEMA",0,0,0,1,0,1,0,0,0,0,2,1
"C3 LEMA",2,0,0,0,0,0,0,0,0,0,3,0
"C4 LEMA",3,0,0,0,0,0,0,0,0,1,1,1
"C5 LEMA",0,0,0,0,0,0,0,0,0,0,0,2
"C6 LEMA",0,0,0,0,0,0,0,0,0,1,0,0
"D1 LEMA",0,0,0,0,0,0,0,0,0,0,0,1
"D2 LEMA",0,0,0,1,0,0,0,0,0,0,1,0
"D3 LEMA",0,0,0,0,0,0,0,0,0,0,0,1
"D4 LEMA",0,0,0,1,0,0,1,0,0,0,0,0
"D5 LEMA",0,0,0,0,0,0,0,1,0,3,0,1
"D6 LEMA",0,0,0,1,0,0,0,2,0,0,0,0
"E1 LEMA",0,0,0,0,0,0,0,0,0,0,2,0
"E2 LEMA",0,0,0,0,0,0,0,0,0,0,3,0
"E3 LEMA",0,0,0,0,0,0,0,1,0,0,0,1
"E4 LEMA",0,0,0,0,0,0,0,0,0,1,0,1
"E6 LEMA",0,0,0,0,0,0,0,0,0,6,1,0
"F2 LEMA",0,0,0,2,0,0,0,0,0,0,0,0
"F3 LEMA",1,1,1,0,0,0,0,0,0,0,0,0
"F4 LEMA",1,0,1,0,0,0,0,0,0,0,0,0
