"","Apoidea","Bruchidae","Calliphoridae","Chrysididae","Dilophus_sp","Diplazon_sp","Diptera","Empididae","Episyrphus_sp","Eupeodes_corollae","Lomatia_sp","Musca_sp","Nephrotoma_sp","Odontomyia_sp","Scaeva_sp","Syrphidae"
"A2 CHFU",0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
"A3 CHFU",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"A4 CHFU",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"A5 CHFU",0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
"A6 CHFU",0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
"B1 CHFU",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"B2 CHFU",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"B3 CHFU",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"B4 CHFU",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"B5 CHFU",0,0,0,0,0,0,1,2,0,1,0,0,0,0,0,0
"B6 CHFU",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"C2 CHFU",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"C3 CHFU",1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
"C4 CHFU",0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
"C5 CHFU",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"C6 CHFU",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"D1 CHFU",0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
"D2 CHFU",0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0
"D3 CHFU",0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
"D5 CHFU",0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0
"D6 CHFU",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"E2 CHFU",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"E3 CHFU",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"E4 CHFU",1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
"E5 CHFU",0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
"F3 CHFU",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"F4 CHFU",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"F6 CHFU",0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
