"","Dilophus_sp.","Meligethes_sp.","Melyridae","Mordellidae","Nemotelus_sp.","Odontomyia_sp.","Oedemeridae","Psilothrix_viridicoerulea","Sphaerophoria_scripta"
"A1 LEMA",0,2,0,0,0,0,0,1,1
"A2 LEMA",0,0,0,0,0,0,0,1,2
"A3 LEMA",1,0,0,0,0,0,0,0,1
"A4 LEMA",0,0,0,0,0,0,0,1,0
"A5 LEMA",0,0,0,0,0,0,0,2,2
"B2 LEMA",1,2,0,0,0,0,0,0,1
"B3 LEMA",1,1,0,0,0,0,1,4,0
"B4 LEMA",3,0,0,0,0,0,0,0,0
"B5 LEMA",3,1,1,1,0,0,0,3,0
"B6 LEMA",0,0,0,0,0,0,0,1,0
"C1 LEMA",0,1,0,0,0,0,0,0,0
"C2 LEMA",1,1,0,0,0,0,0,4,1
"C3 LEMA",0,0,0,0,0,0,0,6,0
"C4 LEMA",3,1,0,0,0,0,0,3,0
"D1 LEMA",2,0,0,0,0,0,1,1,0
"D2 LEMA",0,0,0,0,0,1,3,0,2
"D3 LEMA",0,0,0,0,0,0,0,1,0
"D4 LEMA",0,0,0,0,0,0,0,1,1
"D5 LEMA",0,0,0,0,0,0,1,0,0
"D6 LEMA",0,0,0,0,0,0,0,1,0
"E1 LEMA",0,0,0,0,0,0,0,1,0
"E2 LEMA",1,0,0,0,0,0,0,1,0
"E3 LEMA",0,0,0,0,0,0,0,1,0
"E4 LEMA",1,0,0,0,0,0,0,0,0
"E5 LEMA",0,0,0,0,0,0,0,1,0
"E6 LEMA",0,0,0,0,0,0,1,0,0
"F1 LEMA",0,1,0,0,0,0,0,0,0
"F2 LEMA",0,0,0,0,0,0,0,1,1
"F3 LEMA",1,0,0,0,0,0,0,0,0
"F4 LEMA",0,1,1,0,0,0,0,5,0
"F6 LEMA",0,0,0,0,1,0,0,0,0
