"","Bees","Flies","Flower_beetles","Small_beetles","Small_flies"
"A1 LEMA",0,0,0,0,1
"A5 LEMA",0,0,1,0,0
"B1 LEMA",0,0,1,0,0
"B2 LEMA",0,0,1,0,0
"B3 LEMA",0,0,2,0,0
"B5 LEMA",0,0,2,0,0
"B6 LEMA",0,0,2,0,0
"C1 LEMA",0,0,2,0,0
"C5 LEMA",0,0,1,0,0
"C6 LEMA",0,0,3,1,0
"D1 LEMA",0,0,3,0,0
"D2 LEMA",0,0,1,0,0
"D6 LEMA",0,0,2,0,0
"E1 LEMA",0,0,2,1,0
"E3 LEMA",0,0,0,1,0
"E4 ME",0,1,0,0,0
"E5 LEMA",0,0,1,0,0
"F1 LEMA",0,0,2,1,0
"F2 LEMA",1,0,1,0,0
"F4 LEMA",0,0,2,1,0
"F5 LEMA",1,0,1,0,0
"F6 LEMA",0,0,4,0,0
